XINPUT1_3.dll              0x000000400000
steam_api64.dll            0x000053560000
X3DAudio1_7.dll            0x0000535A0000
clbcatq.dll                0x022466380000
XDI.dll                    0x022468AB0000
BakaFramework.dll          0x02246B310000
Fallout4.exe               0x7FF738970000
IPHLPAPI.DLL               0x7FF973C30000
ResampleDmo.DLL            0x7FF974BC0000
steamclient64.dll          0x7FF974C80000
DSOUND.DLL                 0x7FF97B130000
XAudio2_7.dll              0x7FF97C6D0000
cudart64_75.dll            0x7FF97C7C0000
GFSDK_GodraysLib.x64.dll   0x7FF97C820000
MSVCR110.dll               0x7FF97C880000
flexRelease_x64.dll        0x7FF97CBE0000
MSVCP110.dll               0x7FF97CD30000
GFSDK_SSAO_D3D11.win64.dll 0x7FF97D090000
flexExtRelease_x64.dll     0x7FF97D370000
bink2w64.dll               0x7FF97D410000
winmmbase.dll              0x7FF97DE90000
gameoverlayrenderer64.dll  0x7FF97E6F0000
WmkActiveEffects.dll       0x7FF97E8F0000
WhoseQuestIsItAnywayF4.dll 0x7FF97E970000
SUP_F4SE.dll               0x7FF97E9D0000
f4se_steam_loader.dll      0x7FF97EC60000
gdiplus.dll                0x7FF97F360000
nvToolsExt64_1.dll         0x7FF97F780000
UnlimitedFastTravel.dll    0x7FF97F9B0000
RobCo_Patcher.dll          0x7FF97FA00000
ReloadFix.dll              0x7FF97FAD0000
place.dll                  0x7FF97FB20000
Outfit-ReDress-Fix.dll     0x7FF97FBA0000
Buffout4.dll               0x7FF97FBF0000
mcm.dll                    0x7FF980650000
CONCRT140.dll              0x7FF9806F0000
f4ee.dll                   0x7FF980740000
SprintStutteringFix.dll    0x7FF9808F0000
HighFPSPhysicsFix.dll      0x7FF980910000
Discord_Presence_F4SE.dll  0x7FF9809A0000
BetterConsole.dll          0x7FF980A40000
BakaScrapHeap.dll          0x7FF980AB0000
f4se_1_10_163.dll          0x7FF980C70000
tier0_s64.dll              0x7FF980D50000
usvfs_x64.dll              0x7FF98DD80000
msdmo.dll                  0x7FF9B7C20000
Interior-NavCut-Fix.dll    0x7FF9BBFC0000
vstdlib_s64.dll            0x7FF9BC010000
WINSPOOL.DRV               0x7FF9C1110000
Secur32.dll                0x7FF9D4A60000
WININET.dll                0x7FF9D6B80000
COMCTL32.dll               0x7FF9D7200000
VCRUNTIME140_1.dll         0x7FF9DB190000
MSVCP140.dll               0x7FF9DB1A0000
VCRUNTIME140.dll           0x7FF9DB2E0000
Windows.UI.dll             0x7FF9DBE10000
textinputframework.dll     0x7FF9DD2A0000
AUDIOSES.DLL               0x7FF9DD850000
MMDevApi.dll               0x7FF9DE890000
amdihk64.dll               0x7FF9DF080000
atidxx64.dll               0x7FF9DF0C0000
amdxx64.dll                0x7FF9E12B0000
aticfx64.dll               0x7FF9E4B50000
WINMM.dll                  0x7FF9E54D0000
VERSION.dll                0x7FF9E6BE0000
CoreUIComponents.dll       0x7FF9E7A00000
avrt.dll                   0x7FF9E8040000
WINHTTP.dll                0x7FF9E8050000
directxdatabasehelper.dll  0x7FF9E8240000
d3d11.dll                  0x7FF9E9B50000
dcomp.dll                  0x7FF9EA380000
CoreMessaging.dll          0x7FF9EAA00000
MSIMG32.dll                0x7FF9EACE0000
apphelp.dll                0x7FF9EADD0000
UxTheme.dll                0x7FF9EAFC0000
dxcore.dll                 0x7FF9EB0C0000
dxgi.dll                   0x7FF9EB100000
dwmapi.dll                 0x7FF9EB300000
resourcepolicyclient.dll   0x7FF9EB470000
DbgHelp.dll                0x7FF9EB760000
wintypes.dll               0x7FF9EBD30000
windows.storage.dll        0x7FF9EBE70000
HID.DLL                    0x7FF9EC740000
IpHlpAPI.dll               0x7FF9EC9E0000
kernel.appcore.dll         0x7FF9ECED0000
SSPICLI.DLL                0x7FF9ED130000
MSWSOCK.dll                0x7FF9ED3B0000
UMPDC.dll                  0x7FF9ED690000
powrprof.dll               0x7FF9ED6E0000
CRYPTBASE.DLL              0x7FF9ED730000
MSASN1.dll                 0x7FF9ED7A0000
bcrypt.dll                 0x7FF9ED8A0000
DEVOBJ.dll                 0x7FF9EDB90000
cfgmgr32.DLL               0x7FF9EDBE0000
profapi.dll                0x7FF9EDE00000
bcryptPrimitives.dll       0x7FF9EDED0000
CRYPT32.dll                0x7FF9EDF50000
ucrtbase.dll               0x7FF9EE0C0000
KERNELBASE.dll             0x7FF9EE1E0000
win32u.dll                 0x7FF9EE590000
msvcp_win.dll              0x7FF9EE5C0000
WINTRUST.dll               0x7FF9EE660000
gdi32full.dll              0x7FF9EE790000
ADVAPI32.dll               0x7FF9EE8B0000
COMDLG32.dll               0x7FF9EEA10000
SETUPAPI.dll               0x7FF9EEB10000
GDI32.dll                  0x7FF9EEF90000
imagehlp.dll               0x7FF9EF040000
PSAPI.DLL                  0x7FF9EF060000
sechost.dll                0x7FF9EF070000
USER32.dll                 0x7FF9EF120000
WS2_32.dll                 0x7FF9EF2D0000
IMM32.DLL                  0x7FF9EF360000
OLEAUT32.dll               0x7FF9EF3B0000
RPCRT4.dll                 0x7FF9EF650000
KERNEL32.DLL               0x7FF9EF770000
shcore.dll                 0x7FF9EF840000
msvcrt.dll                 0x7FF9EF9B0000
ole32.dll                  0x7FF9EFA60000
combase.dll                0x7FF9EFC00000
SHELL32.dll                0x7FF9EFF90000
MSCTF.dll                  0x7FF9F0860000
SHLWAPI.dll                0x7FF9F0A30000
ntdll.dll                  0x7FF9F0AD0000
