XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x00005F3F0000
steam_api64.dll                  0x00005F400000
mcm.dll                          0x015D5A630000
Fallout4.exe                     0x7FF748090000
nvwgf2umx.dll                    0x7FFADE450000
DSOUND.DLL                       0x7FFB69540000
steamclient64.dll                0x7FFB86830000
d3dcompiler_47_64.dll            0x7FFB88260000
NvCamera64.dll                   0x7FFB8E230000
nvapi64.dll                      0x7FFB8F3C0000
Buffout4.dll                     0x7FFB95BA0000
nvspcap64.dll                    0x7FFB97BE0000
nvldumdx.dll                     0x7FFB98E40000
gameoverlayrenderer64.dll        0x7FFB9AEF0000
BLD_Helper.dll                   0x7FFB9BE60000
wsfw_identifier.dll              0x7FFB9D520000
NVIDIA_Reflex.dll                0x7FFB9D620000
f4ee.dll                         0x7FFB9E0E0000
f4se_1_10_163.dll                0x7FFB9E7D0000
XAudio2_7.dll                    0x7FFB9F2E0000
tier0_s64.dll                    0x7FFBA0010000
flexRelease_x64.dll              0x7FFBA01B0000
AudioDevProps2.dll               0x7FFBA0970000
DINPUT8.dll                      0x7FFBA2490000
BakaScrapHeap.dll                0x7FFBA4E70000
vstdlib_s64.dll                  0x7FFBA6FB0000
MSVCR110.dll                     0x7FFBA7070000
ClassicHolsteredWeapons.dll      0x7FFBAB400000
mskeyprotect.dll                 0x7FFBAB4B0000
ncryptsslp.dll                   0x7FFBAC7F0000
HighFPSPhysicsFix.dll            0x7FFBACA70000
PowerGridTools.dll               0x7FFBADD60000
VCRUNTIME140_1.dll               0x7FFBB0570000
MSVCP140.dll                     0x7FFBB0650000
VCRUNTIME140.dll                 0x7FFBB06E0000
MessageBus.dll                   0x7FFBB0AE0000
COMCTL32.dll                     0x7FFBB1F90000
AudioSes.dll                     0x7FFBB2230000
aswhook.dll                      0x7FFBB5600000
cudart64_75.dll                  0x7FFBBA8A0000
GFSDK_GodraysLib.x64.dll         0x7FFBBAF60000
GFSDK_SSAO_D3D11.win64.dll       0x7FFBBB250000
winmmbase.dll                    0x7FFBBF360000
Secur32.dll                      0x7FFBBF9F0000
rasadhlp.dll                     0x7FFBC0EC0000
fwpuclnt.dll                     0x7FFBC0ED0000
aswAMSI.dll                      0x7FFBC12D0000
WINMM.dll                        0x7FFBC2600000
ProductInfo.dll                  0x7FFBC38E0000
dxcore.dll                       0x7FFBC8940000
inputhost.dll                    0x7FFBCA3C0000
textinputframework.dll           0x7FFBCA520000
MessageBus.dll                   0x7FFBCACE0000
WindowsCodecs.dll                0x7FFBCB490000
Windows.UI.dll                   0x7FFBCB980000
WindowManagementAPI.dll          0x7FFBCBAD0000
f4se_steam_loader.dll            0x7FFBCBBA0000
MSVCP110.dll                     0x7FFBCBBE0000
bink2w64.dll                     0x7FFBCBC90000
webio.dll                        0x7FFBCC560000
amsi.dll                         0x7FFBCCF20000
wbemsvc.dll                      0x7FFBCCFF0000
fastprox.dll                     0x7FFBCD010000
MMDevApi.dll                     0x7FFBCD410000
wbemcomn.dll                     0x7FFBCD720000
wbemprox.dll                     0x7FFBCD7B0000
dbghelp.dll                      0x7FFBCED20000
twinapi.appcore.dll              0x7FFBD0560000
drvstore.dll                     0x7FFBD0770000
dhcpcsvc6.DLL                    0x7FFBD0B50000
cryptnet.dll                     0x7FFBD0BB0000
dhcpcsvc.DLL                     0x7FFBD0DC0000
encounter_zone_recalculation.dll 0x7FFBD1C70000
flexExtRelease_x64.dll           0x7FFBD20F0000
WINNSI.DLL                       0x7FFBD2310000
avrt.dll                         0x7FFBD2B10000
WINHTTP.dll                      0x7FFBD2DE0000
VERSION.dll                      0x7FFBD2EF0000
XINPUT9_1_0.dll                  0x7FFBD3960000
nvToolsExt64_1.dll               0x7FFBD3F10000
PROPSYS.dll                      0x7FFBD42A0000
wintypes.dll                     0x7FFBD43D0000
d3d11.dll                        0x7FFBD4710000
dcomp.dll                        0x7FFBD5410000
CoreUIComponents.dll             0x7FFBD5980000
CoreMessaging.dll                0x7FFBD5CE0000
uxtheme.dll                      0x7FFBD6070000
resourcepolicyclient.dll         0x7FFBD61F0000
dwmapi.dll                       0x7FFBD6400000
kernel.appcore.dll               0x7FFBD65E0000
windows.storage.dll              0x7FFBD67E0000
HID.DLL                          0x7FFBD6F80000
dxgi.dll                         0x7FFBD6FC0000
schannel.DLL                     0x7FFBD7680000
rsaenh.dll                       0x7FFBD7760000
ntmarta.dll                      0x7FFBD7880000
UMPDC.dll                        0x7FFBD7B30000
IPHLPAPI.DLL                     0x7FFBD7B50000
DNSAPI.dll                       0x7FFBD7B90000
powrprof.dll                     0x7FFBD7C60000
MSWSOCK.dll                      0x7FFBD7EB0000
CRYPTSP.dll                      0x7FFBD80A0000
CRYPTBASE.DLL                    0x7FFBD80C0000
Wldp.dll                         0x7FFBD8150000
NTASN1.dll                       0x7FFBD8180000
ncrypt.dll                       0x7FFBD81C0000
msasn1.dll                       0x7FFBD82E0000
devobj.dll                       0x7FFBD84A0000
DPAPI.DLL                        0x7FFBD8500000
USERENV.dll                      0x7FFBD85C0000
SSPICLI.DLL                      0x7FFBD85F0000
profapi.dll                      0x7FFBD8640000
bcrypt.dll                       0x7FFBD8710000
KERNELBASE.dll                   0x7FFBD8740000
ucrtbase.dll                     0x7FFBD8A40000
gdi32full.dll                    0x7FFBD8B40000
bcryptPrimitives.dll             0x7FFBD8C60000
cfgmgr32.dll                     0x7FFBD8CF0000
msvcp_win.dll                    0x7FFBD8D40000
CRYPT32.dll                      0x7FFBD8DE0000
win32u.dll                       0x7FFBD8F40000
wintrust.dll                     0x7FFBD8F70000
combase.dll                      0x7FFBD9090000
COMDLG32.dll                     0x7FFBD9450000
GDI32.dll                        0x7FFBD9530000
NSI.dll                          0x7FFBD9560000
MSCTF.dll                        0x7FFBD9570000
RPCRT4.dll                       0x7FFBD9690000
OLEAUT32.dll                     0x7FFBD97C0000
SHCORE.dll                       0x7FFBD9890000
WS2_32.dll                       0x7FFBD9940000
msvcrt.dll                       0x7FFBD99B0000
shlwapi.dll                      0x7FFBD9A50000
PSAPI.DLL                        0x7FFBD9B40000
KERNEL32.DLL                     0x7FFBD9B50000
imagehlp.dll                     0x7FFBD9C10000
ole32.dll                        0x7FFBD9C30000
ADVAPI32.dll                     0x7FFBD9D70000
SHELL32.dll                      0x7FFBD9E80000
clbcatq.dll                      0x7FFBDA780000
USER32.dll                       0x7FFBDA830000
sechost.dll                      0x7FFBDAAB0000
SETUPAPI.dll                     0x7FFBDAB50000
IMM32.DLL                        0x7FFBDAFC0000
ntdll.dll                        0x7FFBDB030000
