XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000742A0000
steam_api64.dll                    0x0000742B0000
Outfit-ReDress-Fix.dll             0x018E5D800000
WINTRUST.DLL                       0x018F55E00000
Fallout4.exe                       0x7FF7643B0000
steamclient64.dll                  0x7FFEED210000
IPHLPAPI.DLL                       0x7FFEF0770000
XAudio2_7.dll                      0x7FFEFA1D0000
XDI.dll                            0x7FFEFA260000
wsfw_identifier.dll                0x7FFEFA2D0000
UnlimitedSurvivalMode.dll          0x7FFEFAF80000
ShadowBoostFO4.dll                 0x7FFEFAFD0000
PRKF.dll                           0x7FFEFB0A0000
po3_SpellPerkItemDistributorF4.dll 0x7FFEFB130000
NVIDIA_Reflex.dll                  0x7FFEFB240000
f4ee.dll                           0x7FFEFB610000
SettlementOfUnlimitedSize.dll      0x7FFEFB7C0000
RustyFaceFix.dll                   0x7FFEFC970000
PowerGridTools.dll                 0x7FFEFF3A0000
usvfs_x64.dll                      0x7FFF005F0000
mcm.dll                            0x7FFF014B0000
place.dll                          0x7FFF01810000
gameoverlayrenderer64.dll          0x7FFF01890000
Buffout4.dll                       0x7FFF01A30000
tier0_s64.dll                      0x7FFF01D90000
BakaScrapHeap.dll                  0x7FFF02A60000
flexRelease_x64.dll                0x7FFF03FC0000
rename_anything.dll                0x7FFF047F0000
ResampleDmo.DLL                    0x7FFF1F2E0000
DSOUND.DLL                         0x7FFF1F3A0000
nvspcap64.dll                      0x7FFF21E50000
ClassicHolsteredWeapons.dll        0x7FFF4CA30000
PlotUI.dll                         0x7FFF4DA70000
f4se_1_10_163.dll                  0x7FFF4DF00000
HighFPSPhysicsFix.dll              0x7FFF4F000000
MSVCR110.dll                       0x7FFF4F330000
CONCRT140.dll                      0x7FFF4F820000
BulletCountedReload.dll            0x7FFF4FBA0000
xinput1_4.dll                      0x7FFF526A0000
BetterConsole.dll                  0x7FFF526C0000
Interior-NavCut-Fix.dll            0x7FFF52DE0000
crafting_highlight_fix.dll         0x7FFF5DA50000
vstdlib_s64.dll                    0x7FFF5F3D0000
cudart64_75.dll                    0x7FFF5F560000
MSVCP110.dll                       0x7FFF5F5C0000
Secur32.dll                        0x7FFF65170000
GFSDK_SSAO_D3D11.win64.dll         0x7FFF655D0000
bink2w64.dll                       0x7FFF65660000
WeaponDebrisCrashFix.dll           0x7FFF65C90000
GFSDK_GodraysLib.x64.dll           0x7FFF65CB0000
winmmbase.dll                      0x7FFF66E00000
VCRUNTIME140_1.dll                 0x7FFF66E90000
MSVCP140.dll                       0x7FFF66EA0000
VCRUNTIME140.dll                   0x7FFF66F60000
msdmo.dll                          0x7FFF68E20000
f4se_steam_loader.dll              0x7FFF6E3F0000
ncryptsslp.dll                     0x7FFF6FE10000
nvwgf2umx.dll                      0x7FFF70850000
MpOav.dll                          0x7FFF75EA0000
amsi.dll                           0x7FFF75F20000
DbgHelp.dll                        0x7FFF75FB0000
wbemsvc.dll                        0x7FFF76A90000
fastprox.dll                       0x7FFF77620000
WINMM.dll                          0x7FFF77C10000
SprintStutteringFix.dll            0x7FFF79100000
Windows.UI.dll                     0x7FFF7A0B0000
flexExtRelease_x64.dll             0x7FFF7A490000
OneCoreCommonProxyStub.dll         0x7FFF7AB10000
MessageBus.dll                     0x7FFF7B220000
AUDIOSES.DLL                       0x7FFF7C5F0000
WINSPOOL.DRV                       0x7FFF7C890000
COMCTL32.dll                       0x7FFF7C930000
webio.dll                          0x7FFF7CDF0000
wbemcomn.dll                       0x7FFF7D7B0000
MMDevApi.dll                       0x7FFF7D830000
nvldumdx.dll                       0x7FFF7DB70000
inputhost.dll                      0x7FFF7DE60000
OneCoreUAPCommonProxyStub.dll      0x7FFF7E070000
nvapi64.dll                        0x7FFF7E960000
textinputframework.dll             0x7FFF80D60000
MSIMG32.dll                        0x7FFF80F90000
wbemprox.dll                       0x7FFF80FC0000
rasadhlp.dll                       0x7FFF81090000
fwpuclnt.dll                       0x7FFF814A0000
avrt.dll                           0x7FFF817C0000
drvstore.dll                       0x7FFF818F0000
cryptnet.dll                       0x7FFF81CD0000
VERSION.dll                        0x7FFF82220000
directxdatabasehelper.dll          0x7FFF82230000
dhcpcsvc.DLL                       0x7FFF82630000
dhcpcsvc6.DLL                      0x7FFF82790000
CoreUIComponents.dll               0x7FFF827B0000
WINHTTP.dll                        0x7FFF82B20000
D3DCOMPILER_47.dll                 0x7FFF839A0000
d3d11.dll                          0x7FFF84270000
dcomp.dll                          0x7FFF84BE0000
SilentProtagonistF4SE.dll          0x7FFF84F20000
CoreMessaging.dll                  0x7FFF853A0000
nvToolsExt64_1.dll                 0x7FFF85690000
apphelp.dll                        0x7FFF857A0000
UxTheme.dll                        0x7FFF858C0000
dxgi.dll                           0x7FFF85A30000
dwmapi.dll                         0x7FFF85B40000
WINNSI.DLL                         0x7FFF85B70000
dxcore.dll                         0x7FFF85BB0000
resourcepolicyclient.dll           0x7FFF85E50000
wintypes.dll                       0x7FFF86250000
windows.storage.dll                0x7FFF86390000
HID.DLL                            0x7FFF86C60000
IpHlpAPI.dll                       0x7FFF86F30000
DNSAPI.dll                         0x7FFF86FA0000
UMPDC.dll                          0x7FFF87270000
powrprof.dll                       0x7FFF87290000
schannel.DLL                       0x7FFF87330000
rsaenh.dll                         0x7FFF87430000
kernel.appcore.dll                 0x7FFF874C0000
ntmarta.dll                        0x7FFF874E0000
SSPICLI.DLL                        0x7FFF87720000
MSWSOCK.dll                        0x7FFF87940000
USERENV.dll                        0x7FFF87A40000
CRYPTBASE.DLL                      0x7FFF87BA0000
CRYPTSP.dll                        0x7FFF87BB0000
wldp.dll                           0x7FFF87C50000
NTASN1.dll                         0x7FFF87CD0000
ncrypt.dll                         0x7FFF87D10000
bcrypt.dll                         0x7FFF87D40000
msasn1.dll                         0x7FFF88030000
devobj.dll                         0x7FFF88050000
cfgmgr32.dll                       0x7FFF88080000
DPAPI.DLL                          0x7FFF880F0000
profapi.dll                        0x7FFF882C0000
gdi32full.dll                      0x7FFF88390000
bcryptPrimitives.dll               0x7FFF884B0000
CRYPT32.dll                        0x7FFF88530000
win32u.dll                         0x7FFF886A0000
KERNELBASE.dll                     0x7FFF886D0000
ucrtbase.dll                       0x7FFF88B40000
msvcp_win.dll                      0x7FFF88C60000
SETUPAPI.dll                       0x7FFF88D70000
clbcatq.dll                        0x7FFF891F0000
COMDLG32.dll                       0x7FFF892A0000
IMM32.DLL                          0x7FFF893A0000
ole32.dll                          0x7FFF893E0000
GDI32.dll                          0x7FFF89580000
shcore.dll                         0x7FFF89630000
imagehlp.dll                       0x7FFF89780000
NSI.dll                            0x7FFF897A0000
SHELL32.dll                        0x7FFF897B0000
ADVAPI32.dll                       0x7FFF89FB0000
KERNEL32.DLL                       0x7FFF8A060000
SHLWAPI.dll                        0x7FFF8A130000
PSAPI.DLL                          0x7FFF8A190000
combase.dll                        0x7FFF8A1A0000
msvcrt.dll                         0x7FFF8A550000
MSCTF.dll                          0x7FFF8A600000
USER32.dll                         0x7FFF8A730000
sechost.dll                        0x7FFF8A970000
RPCRT4.dll                         0x7FFF8AA20000
WS2_32.dll                         0x7FFF8AB40000
OLEAUT32.dll                       0x7FFF8AC30000
ntdll.dll                          0x7FFF8AF90000
