XINPUT1_3.dll              0x000000400000
X3DAudio1_7.dll            0x0000524F0000
steam_api64.dll            0x000052500000
d3d11.dll                  0x000180000000
MSCTF.dll                  0x024BB6A70000
crafting_highlight_fix.dll 0x024BF5B70000
Fallout4.exe               0x7FF680B90000
nvcuda64.dll               0x7FF86BFC0000
d3dcompiler_47_64.dll      0x7FF86D370000
DINPUT8.dll                0x7FF86DDF0000
NvCamera64.dll             0x7FF86DE40000
d3dcompiler_46e.dll        0x7FF86E7D0000
gameoverlayrenderer64.dll  0x7FF86EB90000
XDI.dll                    0x7FF86ED20000
WeaponsFramework.dll       0x7FF86ED90000
UneducatedShooter.dll      0x7FF86EE20000
SimpleImpact.dll           0x7FF86EE80000
SideAimAni.dll             0x7FF86EEF0000
ShadowBoostFO4.dll         0x7FF86EF90000
place.dll                  0x7FF86F060000
NVIDIA_Reflex.dll          0x7FF86F0E0000
mcm.dll                    0x7FF86F1B0000
HighFPSPhysicsFix.dll      0x7FF86F250000
faster_workshop.dll        0x7FF86F2E0000
FallSouls.dll              0x7FF86F340000
FakeThroughScope.dll       0x7FF86F3A0000
f4ee.dll                   0x7FF86F470000
ExtraItemInfo.dll          0x7FF86F580000
ESPExplorer.dll            0x7FF86F5C0000
enbhelperf4.dll            0x7FF86F620000
def_ui.dll                 0x7FF86F660000
cbp.dll                    0x7FF86F6A0000
BulletCountedReload.dll    0x7FF86F710000
Buffout4.dll               0x7FF86F7A0000
BakaScrapHeap.dll          0x7FF86FB00000
tier0_s64.dll              0x7FF86FBD0000
steamclient64.dll          0x7FF86FD70000
D3DCOMPILER_43.dll         0x7FF871360000
f4se_1_10_163.dll          0x7FF876000000
vstdlib_s64.dll            0x7FF876250000
f4se_steam_loader.dll      0x7FF876310000
d3dx11_43.dll              0x7FF876350000
GFSDK_GodraysLib.x64.dll   0x7FF8763A0000
GFSDK_SSAO_D3D11.win64.dll 0x7FF876400000
cudart64_75.dll            0x7FF8764D0000
flexRelease_x64.dll        0x7FF876530000
bink2w64.dll               0x7FF876680000
flexExtRelease_x64.dll     0x7FF876710000
MSVCP110.dll               0x7FF876770000
MSVCR110.dll               0x7FF876820000
WeaponDebrisCrashFix.dll   0x7FF878B40000
XAudio2_7.dll              0x7FF894D30000
ResampleDmo.DLL            0x7FF8B6C10000
msdmo.dll                  0x7FF8B6CE0000
DSOUND.DLL                 0x7FF8B6CF0000
SprintStutteringFix.dll    0x7FF8B7BE0000
nvspcap64.dll              0x7FF8C0560000
xinput1_4.dll              0x7FF8CF560000
winmmbase.dll              0x7FF8E1000000
AUDIOSES.DLL               0x7FF8E30B0000
XINPUT9_1_0.dll            0x7FF8E41B0000
MessageBus.dll             0x7FF8E8E60000
Secur32.dll                0x7FF8F6C00000
MessageBus.dll             0x7FF8F78A0000
VCRUNTIME140_1.dll         0x7FF8F9820000
VCRUNTIME140.dll           0x7FF8F9910000
MSVCP140.dll               0x7FF8F9930000
nvToolsExt64_1.dll         0x7FF8FB100000
textinputframework.dll     0x7FF8FCCE0000
inputhost.dll              0x7FF8FCE10000
Windows.UI.dll             0x7FF8FF350000
WINMM.dll                  0x7FF8FF8E0000
nvwgf2umx.dll              0x7FF8FF920000
nvldumdx.dll               0x7FF905800000
CoreUIComponents.dll       0x7FF907110000
directxdatabasehelper.dll  0x7FF907710000
avrt.dll                   0x7FF907780000
MMDevApi.dll               0x7FF90A9C0000
dbghelp.dll                0x7FF90AC90000
nvapi64.dll                0x7FF90B0D0000
drvstore.dll               0x7FF90C800000
cryptnet.dll               0x7FF90C960000
VERSION.dll                0x7FF90C9A0000
dhcpcsvc.DLL               0x7FF90CCD0000
WINHTTP.dll                0x7FF90CD10000
D3DCOMPILER_47.dll         0x7FF90DFD0000
WindowsCodecs.dll          0x7FF90E3C0000
d3d11.dll                  0x7FF90EE20000
dcomp.dll                  0x7FF90F430000
CoreMessaging.dll          0x7FF90FDD0000
uxtheme.dll                0x7FF9103A0000
dxcore.dll                 0x7FF9104F0000
dxgi.dll                   0x7FF910530000
dwmapi.dll                 0x7FF910650000
resourcepolicyclient.dll   0x7FF9108A0000
wintypes.dll               0x7FF910C90000
windows.storage.dll        0x7FF910DD0000
HID.DLL                    0x7FF9116C0000
IPHLPAPI.DLL               0x7FF9119A0000
UMPDC.dll                  0x7FF911CE0000
powrprof.dll               0x7FF911D00000
rsaenh.dll                 0x7FF911EB0000
kernel.appcore.dll         0x7FF911EF0000
ntmarta.dll                0x7FF911F60000
SSPICLI.DLL                0x7FF9121A0000
MSWSOCK.dll                0x7FF9123B0000
wldp.dll                   0x7FF912630000
CRYPTBASE.DLL              0x7FF9126B0000
CRYPTSP.dll                0x7FF9126D0000
bcrypt.dll                 0x7FF9127F0000
msasn1.dll                 0x7FF912AF0000
devobj.dll                 0x7FF912B10000
cfgmgr32.dll               0x7FF912B40000
profapi.dll                0x7FF912D80000
gdi32full.dll              0x7FF912E50000
msvcp_win.dll              0x7FF912F70000
KERNELBASE.dll             0x7FF913010000
bcryptPrimitives.dll       0x7FF9133C0000
ucrtbase.dll               0x7FF913440000
CRYPT32.dll                0x7FF913560000
win32u.dll                 0x7FF9136D0000
wintrust.dll               0x7FF913700000
msvcrt.dll                 0x7FF913830000
clbcatq.dll                0x7FF9138E0000
SETUPAPI.dll               0x7FF913A20000
NSI.dll                    0x7FF913EF0000
sechost.dll                0x7FF9140B0000
OLEAUT32.dll               0x7FF914160000
ADVAPI32.dll               0x7FF914240000
USER32.dll                 0x7FF9142F0000
SHELL32.dll                0x7FF9144A0000
KERNEL32.DLL               0x7FF914CC0000
IMM32.DLL                  0x7FF914EA0000
WS2_32.dll                 0x7FF914EE0000
combase.dll                0x7FF915120000
GDI32.dll                  0x7FF9154B0000
SHCORE.dll                 0x7FF915540000
shlwapi.dll                0x7FF915660000
RPCRT4.dll                 0x7FF9156C0000
PSAPI.DLL                  0x7FF9157E0000
ole32.dll                  0x7FF9157F0000
imagehlp.dll               0x7FF915A00000
ntdll.dll                  0x7FF915A70000
