XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000579D0000
steam_api64.dll               0x0000579E0000
mdnsNSP.dll                   0x000058FE0000
d3d11.dll                     0x000180000000
clbcatq.dll                   0x0239324D0000
LL_fourPlay_1_10_163.dll      0x02395C9D0000
COMDLG32.dll                  0x023962040000
Fallout4.exe                  0x7FF687900000
steamclient64.dll             0x7FFA431A0000
ResampleDmo.DLL               0x7FFA44790000
DSOUND.DLL                    0x7FFA44850000
d3dcompiler_46e.dll           0x7FFA524C0000
Buffout4.dll                  0x7FFA541A0000
BLD_Helper.dll                0x7FFA58030000
SUP_F4SE.dll                  0x7FFA588A0000
gameoverlayrenderer64.dll     0x7FFA5BF10000
wsfw_identifier.dll           0x7FFA5DF00000
ScreenArcherMenu.dll          0x7FFA61330000
dxgi.dll                      0x7FFA62AF0000
SmokeAPI64.dll                0x7FFA64870000
SAF.dll                       0x7FFA65D30000
VERSION.dll                   0x7FFA66BE0000
XAudio2_7.dll                 0x7FFA68160000
tier0_s64.dll                 0x7FFA681F0000
RobCo_Patcher.dll             0x7FFA68F30000
PRKF.dll                      0x7FFA706F0000
po3_BaseObjectSwapperF4.dll   0x7FFA72980000
mcm.dll                       0x7FFA72D00000
XDI.dll                       0x7FFA73CD0000
D3DCOMPILER_43.dll            0x7FFA73D40000
HHS.dll                       0x7FFA74110000
PowerGridTools.dll            0x7FFA74370000
f4ee.dll                      0x7FFA749C0000
BakaFramework.dll             0x7FFA756E0000
flexRelease_x64.dll           0x7FFA75A90000
SprintSpeedController.dll     0x7FFA77ED0000
f4se_1_10_163.dll             0x7FFA78160000
SettlementOfUnlimitedSize.dll 0x7FFA78680000
Outfit-ReDress-Fix.dll        0x7FFA78DB0000
LooksmenuPlayerRotation.dll   0x7FFA79C20000
Interior-NavCut-Fix.dll       0x7FFA7A620000
HighFPSPhysicsFix.dll         0x7FFA7BBB0000
GCBugFix.dll                  0x7FFA7BDC0000
F4z Ro D'oh.dll               0x7FFA7C550000
MSVCR110.dll                  0x7FFA7C5C0000
f4pm.dll                      0x7FFA7E4B0000
ClassicHolsteredWeapons.dll   0x7FFA7F100000
hudextension.dll              0x7FFA80070000
vstdlib_s64.dll               0x7FFA805A0000
BetterConsole.dll             0x7FFA80910000
GFSDK_SSAO_D3D11.win64.dll    0x7FFA80BE0000
MSVCP110.dll                  0x7FFA80C70000
BakaWaitAnywhere.dll          0x7FFA81260000
BetterPowerArmorRedux.dll     0x7FFA81330000
ESPExplorer.dll               0x7FFA842E0000
cbp.dll                       0x7FFA86700000
cudart64_75.dll               0x7FFA86DD0000
GFSDK_GodraysLib.x64.dll      0x7FFA8D480000
flexExtRelease_x64.dll        0x7FFA8D560000
bink2w64.dll                  0x7FFA8E7B0000
MpOav.dll                     0x7FFA91290000
pppl.dll                      0x7FFA91680000
d3dx11_43.dll                 0x7FFA91700000
enbhelperf4.dll               0x7FFA92E00000
ondemandconnroutehelper.dll   0x7FFAA54B0000
WeaponDebrisCrashFix.dll      0x7FFAA6AE0000
nvspcap64.dll                 0x7FFAA9740000
PriorityMod.dll               0x7FFAA9F70000
Oleacc.dll                    0x7FFAAA980000
XInput1_4.dll                 0x7FFAADD10000
gdiplus.dll                   0x7FFAADF60000
f4se_steam_loader.dll         0x7FFAB0490000
SprintStutteringFix.dll       0x7FFAB2640000
AUDIOSES.DLL                  0x7FFAB49D0000
Secur32.dll                   0x7FFAB88C0000
COMCTL32.dll                  0x7FFABA470000
VCRUNTIME140_1.dll            0x7FFABACF0000
MSVCP140.dll                  0x7FFABB630000
VCRUNTIME140.dll              0x7FFABB6C0000
xinput9_1_0.dll               0x7FFABB7C0000
msdmo.dll                     0x7FFABBCE0000
WININET.dll                   0x7FFABBCF0000
winmmbase.dll                 0x7FFABCF80000
textinputframework.dll        0x7FFABDDC0000
inputhost.dll                 0x7FFABDEF0000
iertutil.dll                  0x7FFABE880000
nvwgf2umx.dll                 0x7FFABEB40000
MMDevApi.dll                  0x7FFAC3160000
urlmon.dll                    0x7FFAC4160000
Windows.UI.dll                0x7FFAC5700000
wbemprox.dll                  0x7FFAC59D0000
amsi.dll                      0x7FFAC5C80000
webio.dll                     0x7FFAC6390000
fastprox.dll                  0x7FFAC6450000
wbemsvc.dll                   0x7FFAC6880000
wbemcomn.dll                  0x7FFAC69A0000
SilentProtagonistF4SE.dll     0x7FFAC6FE0000
srvcli.dll                    0x7FFAC72F0000
nvapi64.dll                   0x7FFAC75B0000
WINMM.dll                     0x7FFAC8C90000
nvldumdx.dll                  0x7FFAC8D10000
nvToolsExt64_1.dll            0x7FFAC8F80000
rasadhlp.dll                  0x7FFAC9800000
drvstore.dll                  0x7FFACA4D0000
cryptnet.dll                  0x7FFACA670000
version.DLL                   0x7FFACA8D0000
fwpuclnt.dll                  0x7FFACA9C0000
CoreUIComponents.dll          0x7FFACAA50000
directxdatabasehelper.dll     0x7FFACB170000
dhcpcsvc.DLL                  0x7FFACB410000
dhcpcsvc6.DLL                 0x7FFACB430000
WINHTTP.dll                   0x7FFACB8E0000
avrt.dll                      0x7FFACC060000
WindowsCodecs.dll             0x7FFACC4B0000
d3dcompiler_47.dll            0x7FFACC660000
d3d11.dll                     0x7FFACD290000
dcomp.dll                     0x7FFACD550000
CoreMessaging.dll             0x7FFACE0D0000
uxtheme.dll                   0x7FFACEC30000
dxgi.dll                      0x7FFACEDA0000
dwmapi.dll                    0x7FFACEEB0000
WINNSI.DLL                    0x7FFACF1F0000
dxcore.dll                    0x7FFACF230000
resourcepolicyclient.dll      0x7FFACF4D0000
dbghelp.dll                   0x7FFACF7C0000
wintypes.dll                  0x7FFACFD60000
windows.storage.dll           0x7FFACFEA0000
HID.DLL                       0x7FFAD0770000
netutils.dll                  0x7FFAD0A30000
