[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     XDI.esm
[0A]     HUDFramework.esm
[0B]     Companion Infinite Ammo and Unbreakable Power Armour.esm
[0C]     InstituteTechnologyOverhaul.esm
[0D]     ExtendedWeaponSystem.esm
[0E]     TacticalReload.esm
[0F]     ESPExplorerFO4.esp
[10]     CROSS_GoreCrits.esp
[11]     Armorsmith Extended.esp
[12]     CombinedArmsNV.esp
[13]     CombinedArmsEXPack.esp
[14]     InstituteTechnologyOverhaul - LITE.esp
[15]     Eli_Armour_Compendium.esp
[16]     W.A.T.Minutemen.esp
[17]     Radical.esp
[18]     Mercenary.esp
[19]     Fusion Gun.esp
[1A]     Mica-T6M_EMD.esp
[1B]     SovietPowerArmor.esp
[1C]     noveskeRecceL.esp
[1D]     RussianAssaultPack.esp
[1E]     MWRam7.esp
[1F]     EG7.esp
[20]     UltracitePA.esp
[21]     MisriahArmory.esp
[22]     MA37.esp
[23]     WZXM4.esp
[24]     MWAN94.esp
[25]     WattzLaserGun.esp
[26]     BH_MCX_Spear.esp
[27]     PKMnv.esp
[28]     MWIIM4.esp
[29]     MWIIChimera.esp
[2A]     QBZ191.esp
[2B]     SigSauer127.esp
[2C]     BF1 Animations - Double Barrel Shotgun v2.3.esp
[2D]     Escape from Boston - SRSA2.esp
[2E]     127mmSMG.esp
[2F]     RU556.esp
[30]     MWM91.esp
[31]     CazadorML.esp
[32]     Winters_ISO-Hemlock.esp
[33]     PiP-Boy2000.esp
[34]     Remington700.esp
[35]     Winters_FJX-Imperium.esp
[36]     LString_Bow.esp
[37]     Groza.esp
[38]     M1918nv.esp
[39]     American180nv.esp
[3A]     RPD.esp
[3B]     AKeVolk.esp
[3C]     Escape from Boston - Springfield M14.esp
[3D]     M2Agency.esp
[3E]     Mk41GyrojetHMG.esp
[3F]     EnclaveFactionItems.esp
[40]     RequiemClassifiedArmory1.esp
[41]     Ak5C.esp
[42]     ChinaLakeandHolorifle.esp
[43]     powerarmort49.esp
[44]     Master Chief Companion.esp
[45]     LAER.esp
[46]     MWMpapa5.esp
[47]     F4NVRechargerWeapons.esp
[48]     Schotel22.esp
[49]     GalactSpas-12.esp
[4A]     MWStriker.esp
[4B]     BH_StG44.esp
[4C]     X12Plasmacaster.esp
[4D]     ImiGalil.esp
[4E]     WastelandWideWarehouse.esp
[4F]     F4NV-AMR.esp
[50]     Noble Team Companions.esp
[51]     F4NVLaserPistol.esp
[52]     GrenadeExpansionPack.esp
[53]     FO4TribalPowerArmor.esp
[54]     DakCompanion.esp
[55]     Midwest Power Armor Evolution.esp
[56]     Liberator.esp
[57]     T47R_PA.esp
[58]     standaloneconstruct.esp
[59]     tsuki no hana.esp
[5A]     M1Garand.esp
[5B]     llamaCompanionHeatherv2.esp
[5C]     Cinematic Lensflares.esp
[5D]     ECV_Remnants.esp
[5E]     RU556Armouryprojectv3.esp
[5F]     Galac-TactREDUX.esp
[60]     MercsAndMusic.esp
[61]     AEWS.esp
[62]     Reinforcements.esp
[63]     0_Vault120.esp
[64]     BroadcastCenter1.esp
[65]     CHAOTIC SUN.esp
[66]     T6M_ThunderGun.esp
[67]     PowerArmorImpactEffects.esp
[68]     CitySurvivor.esp
[69]     MWM19.esp
[6A]     EM2.esp
[6B]     T6M_MagnumRifle.esp
[6C]     FO4 NPCs Travel.esp
[6D]     LeeEnfieldNo4MkI.esp
[6E]     M2045MagnumRevolverRifle.esp
[6F]     ButtonsCompanion.esp
[70]     MTs255.esp
[71]     STREETSWEEPER.esp
[72]     SkyrimInspiredPowerArmor.esp
[73]     ElMudoStore.esp
[74]     SigMCX.esp
[75]     Zanthir_TasteOfBlues.esp
[76]     G3A3.esp
[77]     Antagonist.esp
[78]     CrudeBlowback.esp
[79]     SVT40.esp
[7A]     CorvalhoWidowShotgun.esp
[7B]     WinCowbowRepeater.esp
[7C]     TacticalCourser.esp
[7D]     F4CW10mmSMG.esp
[7E]     WestTekTacticalOptics.esp
[7F]     TAC.esp
[80]     FG-42.esp
[81]     mjp_PTRS41ATR.esp
[82]     Seiryuu Beam Katana.esp
[83]     AQUILA.esp
[84]     MP7.esp
[85]     Glock19x.esp
[86]     HaxRPG7.esp
[87]     BullpupBozar.esp
[88]     CAPA.esp
[89]     cambridgefacility.esp
[8A]     SelectRapidMG.esp
[8B]     Enclave-X02.esp
[8C]     ExcavatorPA.esp
[8D]     WAR_PA.esp
[8E]     T-51C Power Armor.esp
[8F]     Tomacuzi9.esp
[90]     Wastelanders XM2076 by giggity12345.esp
[91]     VGType11.esp
[92]     GaussRevolver.esp
[93]     GIAT_FAMAS.esp
[94]     M1A.esp
[95]     SR2.esp
[96]     PigAAMKS23.esp
[97]     BOCWNailGun.esp
[98]     Mac10.esp
[99]     MWIILimax.esp
[9A]     HuntingRevolver.esp
[9B]     PigAAM1897.esp
[9C]     PEACEKEEPER.esp
[9D]     uzi.esp
[9E]     50CalMachineGun.esp
[9F]     AlienAssaultRifle.esp
[A0]     FOLON_Bren.esp
[A1]     OSIPR.esp
[A2]     MW2R-WA2000.esp
[A3]     G43.esp
[A4]     Eraser.esp
[A5]     M1928A1.esp
[A6]     Vault-Tec_MPL.esp
[A7]     Vault-Tec Power Armor by NewerMind43 & Captain-Ultima.esp
[A8]     Archimedes-II.esp
[A9]     PAMAP.esp
[AA]     SideAim.esp
[AB]     BH_StG44_SA.esp
[AC]     3dscopes.esp
