[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     WorkshopFramework.esm
[0A]     HUDFramework.esm
[0B]     XDI.esm
[0C]     SOTS.esp
[0D]     SouthOfTheSea.esm
[0E]     DCGuard_Overhaul.esp
[0F]     SS2.esm
[10]     SS2_XPAC_Chapter2.esm
[11]     Toolz.esm
[12]     InstituteTechnologyOverhaul.esm
[13]     CWSS Redux.esp
[14]     Homemaker.esm
[15]     BbaronxScriptLibrary.esm
[16]     EthreonMasterPlan.esm
[17]     TrueStormsFO4.esm
[18]     Fallout 4 Fixes.esm
[19]     LongerPowerLines3x.esp
[1A]     RED.esp
[1B]     TinaDeLucaSettlerAIVoiced.esp
[1C]     ThisIsTrash.esp
[1D]     3DNPC_FO4.esp
[1E]     A Forest.esp
[1F]     WorkshopRearranged.esp
[20]     PiperCaitCurieDialogueOverhaul.esp
[21]     Universal Working Bathroom Fixtures (CWSS and DLCs).esp
[22]     General Atomics Galleria Clean up Project.esp
[23]     MoreLeavesFXSetLess-EN.esp
[24]     RynsFallout4.esp
[25]     NAC.esp
[26]     Armorsmith Extended.esp
[27]     Unique NPCs - Creatures and Monsters.esp
[28]     Better Locational Damage.esp
[29]     BTInteriors_Project.esp
[2A]     Immersive_Lexington.esp
[2B]     BLD - Leveled Lists - DLC.esp
[2C]     InstituteTechnologyOverhaul - FULL.esp
[2D]     EchoLakeEx.esp
[2E]     LongfellowEx.esp
[2F]     someville.esp
[30]     CroupManorEx.esp
[31]     SS2Extended.esp
[32]     Depravity.esp
[33]     Stm_DiamondCityExpansion.esp
[34]     MadKea-01.esp
[35]     SuperMutantRedux.esp
[36]     Rebuilt_SunshineTidings.esp
[37]     OutcastsAndRemnants.esp
[38]     SettlementContainers_NoRespawn.esp
[39]     SlogEx.esp
[3A]     CovenantEx.esp
[3B]     USAFSatelliteStation.esp
[3C]     BunkerHillEx.esp
[3D]     AnimatedCandles.esp
[3E]     StarlightDriveEx.esp
[3F]     Wasteland Illumination Shadow.esp
[40]     RaiderOverhaul.esp
[41]     FaceMaxson.esp
[42]     DeadlierDeathclaws.esp
[43]     CombatZoneRestored.esp
[44]     AA FusionCityRising.esp
[45]     AA FusionCityRising - HotC.esp
[46]     RedRocketEx.esp
[47]     GunnersBridge_BGD00.esp
[48]     Reverb and Ambiance Overhaul.esp
[49]     Boston_Police_Department.esp
[4A]     KingsportEx.esp
[4B]     Eli_Armour_Compendium.esp
[4C]     brotherhood_of_steel_overhaul.esp
[4D]     NationalParkEx.esp
[4E]     FarHarborStory.esp
[4F]     CastleEx.esp
[50]     MurkWaterEx.esp
[51]     AlleyEncampmentSettlement.esp
[52]     NRO-NewRedRocketOverhaul.esp
[53]     The House.esp
[54]     TenPinesEx.esp
[55]     AbernathyEx.esp
[56]     NukaWorldRedRocketEx.esp
[57]     FinchEx.esp
[58]     JalbertBrotherSettlement.esp
[59]     RecruitableSettlers.esp
[5A]     W.A.T.Minutemen.esp
[5B]     WeaponModFixes-GOTY.esp
[5C]     GhoulBlood.esp
[5D]     TaffingtonEx.esp
[5E]     MoreUniques.esp
[5F]     Firelance2.5.esp
[60]     GreenTopEx.esp
[61]     GrayGardenEx.esp
[62]     OberlandEx.esp
[63]     Diamond City Enhanced.esp
[64]     DT_GunnerOutfitPack.esp
[65]     NordhagenEx.esp
[66]     DTG_LeveledListIntegration.esp
[67]     PrivateContract.esp
[68]     Vivid Waters.esp
[69]     g2m_Workshop_Nexus.esp
[6A]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[6B]     Flashy_CrimeAndPunishment.esp
[6C]     CoastalCottageEx.esp
[6D]     3DNPC_FO4Settler.esp
[6E]     Flashy_Infestations.esp
[6F]     DaltonFarmEx.esp
[70]     RecruitableSettlersFH.esp
[71]     Teddies 76.esp
[72]     cVc Dead Wasteland 6.esp
[73]     JSSynths.esp
[74]     Mercenary.esp
[75]     ProjectValkyrie.esp
[76]     Toolz and Turretz.esp
[77]     bbprepatch.esp
[78]     InsideJobs.esp
[79]     CF_AtomicWarlord.esp
[7A]     SS2HappyTrails.esp
[7B]     9mmPistol.esp
[7C]     WattzLaserGun.esp
[7D]     Raider Overhaul - AE Patch-Restored Content.esp
[7E]     Midwest Power Armor Evolution.esp
[7F]     ZimonjaEx.esp
[80]     SS2_XDI Patch.esp
[81]     SynthPA.esp
[82]     F4NVServiceRifleRedux.esp
[83]     ellen.esp
[84]     M1Garand.esp
[85]     QuantumBox.esp
[86]     ZebrinasWorkshopDevices.esp
[87]     SS2WastelandVenturers.esp
[88]     llamaCompanionHeatherv2.esp
[89]     SKKNatickWarehouseSettlement.esp
[8A]     Dogmeat and Strong Armor - Tumba Munky.esp
[8B]     VisibleWeaponsOnPacks.esp
[8C]     FO4 NPCs Travel.esp
[8D]     SS2_FDK_TinyLiving.esp
[8E]     [SS20Addon] SimSettlements SuperStructures.esp
[8F]     EnclaveRemnants.esp
[90]     DefensePistol.esp
[91]     AtomicRadio.esp
[92]     BullpupBozar.esp
[93]     PigAAM1897.esp
[94]     InstitutePowerArmor.esp
[95]     Lucky Rabbit Foot In Vault 111.esp
[96]     real.AI - Untethered.esp
[97]     RealAI.esp
[98]     PAMAP.esp
[99]     Perk Up.esp
[9A]     CleanMySettlement.esp
[9B]     Better Perks.esp
[9C]     Better Locational Damage - DLC_WWorkshop.esp
