XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000058540000
steam_api64.dll                    0x000058550000
BakaFramework.dll                  0x0209DCFD0000
WINTRUST.DLL                       0x0209EC2E0000
Fallout4.exe                       0x7FF6601B0000
steamclient64.dll                  0x7FFC4BD20000
Buffout4.dll                       0x7FFC5EA10000
XAudio2_7.dll                      0x7FFC5EF60000
gameoverlayrenderer64.dll          0x7FFC5F190000
XDI.dll                            0x7FFC5F540000
UnlimitedSurvivalMode.dll          0x7FFC5F5B0000
po3_SpellPerkItemDistributorF4.dll 0x7FFC5F770000
po3_BaseObjectSwapperF4.dll        0x7FFC5F880000
HHS.dll                            0x7FFC5FA40000
f4ee.dll                           0x7FFC658E0000
UneducatedShooter.dll              0x7FFC65B70000
BLD_Helper.dll                     0x7FFC65BD0000
mcm.dll                            0x7FFC666F0000
ProjectMojave.dll                  0x7FFC67410000
f4pm.dll                           0x7FFC67490000
f4se_1_10_163.dll                  0x7FFC67AA0000
tier0_s64.dll                      0x7FFC67B80000
vstdlib_s64.dll                    0x7FFC69860000
cudart64_75.dll                    0x7FFC6A780000
flexRelease_x64.dll                0x7FFC6A7E0000
hudextension.dll                   0x7FFC6B610000
GFSDK_GodraysLib.x64.dll           0x7FFC6B660000
GFSDK_SSAO_D3D11.win64.dll         0x7FFC6B6C0000
MSVCR110.dll                       0x7FFC6B750000
MSVCP110.dll                       0x7FFC6CA40000
bink2w64.dll                       0x7FFC6CC40000
flexExtRelease_x64.dll             0x7FFC6EA90000
enbhelperf4.dll                    0x7FFC71980000
Windows.UI.dll                     0x7FFC7F7C0000
OneCoreCommonProxyStub.dll         0x7FFC81270000
encounter_zone_recalculation.dll   0x7FFC818F0000
textinputframework.dll             0x7FFC8A8C0000
InputHost.dll                      0x7FFC8C5F0000
MessageBus.dll                     0x7FFC8C750000
f4se_steam_loader.dll              0x7FFC8F340000
nvwgf2umx.dll                      0x7FFC8FD90000
MSVCP140.dll                       0x7FFC96560000
VCRUNTIME140.dll                   0x7FFC96E40000
VCRUNTIME140_1.dll                 0x7FFC97480000
Secur32.dll                        0x7FFC977D0000
COMCTL32.dll                       0x7FFC99440000
dbghelp.dll                        0x7FFC99C30000
WINMM.dll                          0x7FFC9B0E0000
nvapi64.dll                        0x7FFC9B540000
nvldumdx.dll                       0x7FFC9BD00000
OneCoreUAPCommonProxyStub.dll      0x7FFC9CC80000
dxcore.dll                         0x7FFC9DD80000
WINHTTP.dll                        0x7FFC9E320000
drvstore.dll                       0x7FFC9E5A0000
cryptnet.dll                       0x7FFC9EA10000
twinapi.appcore.dll                0x7FFC9F8D0000
MMDevApi.dll                       0x7FFC9FAE0000
VERSION.dll                        0x7FFC9FBD0000
dhcpcsvc.DLL                       0x7FFC9FBE0000
WindowManagementAPI.dll            0x7FFC9FD00000
AUDIOSES.DLL                       0x7FFCA0000000
avrt.dll                           0x7FFCA09F0000
MSVCP140_ATOMIC_WAIT.dll           0x7FFCA1300000
nvToolsExt64_1.dll                 0x7FFCA1430000
PROPSYS.dll                        0x7FFCA2840000
d3d11.dll                          0x7FFCA29C0000
wintypes.dll                       0x7FFCA37A0000
dcomp.dll                          0x7FFCA3900000
CoreUIComponents.dll               0x7FFCA3E80000
CoreMessaging.dll                  0x7FFCA41E0000
apphelp.dll                        0x7FFCA4520000
uxtheme.dll                        0x7FFCA46D0000
resourcepolicyclient.dll           0x7FFCA4790000
dwmapi.dll                         0x7FFCA49C0000
kernel.appcore.dll                 0x7FFCA4BA0000
windows.storage.dll                0x7FFCA4DA0000
HID.DLL                            0x7FFCA5540000
dxgi.dll                           0x7FFCA5580000
rsaenh.dll                         0x7FFCA5D30000
ntmarta.dll                        0x7FFCA5E50000
UMPDC.dll                          0x7FFCA6100000
IPHLPAPI.DLL                       0x7FFCA6120000
powrprof.dll                       0x7FFCA6240000
MSWSOCK.dll                        0x7FFCA6480000
CRYPTSP.dll                        0x7FFCA6670000
CRYPTBASE.DLL                      0x7FFCA6690000
Wldp.dll                           0x7FFCA6720000
msasn1.dll                         0x7FFCA68B0000
devobj.dll                         0x7FFCA6A80000
SSPICLI.DLL                        0x7FFCA6B90000
profapi.dll                        0x7FFCA6C10000
bcrypt.dll                         0x7FFCA6D80000
CRYPT32.dll                        0x7FFCA6DB0000
msvcp_win.dll                      0x7FFCA6F10000
gdi32full.dll                      0x7FFCA6FB0000
ucrtbase.dll                       0x7FFCA7140000
cfgmgr32.dll                       0x7FFCA7240000
bcryptPrimitives.dll               0x7FFCA7290000
