XINPUT1_3.dll                      0x000000400000
steam_api64.dll                    0x0000714A0000
X3DAudio1_7.dll                    0x0000714E0000
BakaFramework.dll                  0x02B53AE00000
Fallout4.exe                       0x7FF6DD6E0000
nvcuda64.dll                       0x7FFC94CD0000
NvCamera64.dll                     0x7FFC95690000
XAudio2_7.dll                      0x7FFC97BD0000
d3dcompiler_47_64.dll              0x7FFCA19A0000
gameoverlayrenderer64.dll          0x7FFCA5E50000
DINPUT8.dll                        0x7FFCA61B0000
XDI.dll                            0x7FFCA6200000
wsfw_identifier.dll                0x7FFCA6270000
SUP_F4SE.dll                       0x7FFCA6370000
RobCo_Patcher.dll                  0x7FFCA6600000
ProjectMojave.dll                  0x7FFCA66D0000
PowerGridTools.dll                 0x7FFCA6750000
po3_SpellPerkItemDistributorF4.dll 0x7FFCA67C0000
place.dll                          0x7FFCA68D0000
mcm.dll                            0x7FFCA6950000
HighFPSPhysicsFix.dll              0x7FFCA69F0000
HHS.dll                            0x7FFCA6A80000
f4ee.dll                           0x7FFCA6B70000
crafting_highlight_fix.dll         0x7FFCA6C80000
ConsoleUtilF4.dll                  0x7FFCA6CD0000
ClassicHolsteredWeapons.dll        0x7FFCA74D0000
CHW_ASS.dll                        0x7FFCA7580000
BulletCountedReload.dll            0x7FFCA75D0000
Buffout4.dll                       0x7FFCA7660000
BakaScrapHeap.dll                  0x7FFCA79C0000
f4se_1_10_163.dll                  0x7FFCA7B80000
tier0_s64.dll                      0x7FFCA7C60000
cbp.dll                            0x7FFCA7EA0000
vstdlib_s64.dll                    0x7FFCA7EF0000
steamclient64.dll                  0x7FFCA7FB0000
GFSDK_GodraysLib.x64.dll           0x7FFCA95A0000
IPHLPAPI.DLL                       0x7FFCA9600000
GFSDK_SSAO_D3D11.win64.dll         0x7FFCA9BD0000
cudart64_75.dll                    0x7FFCA9C60000
flexRelease_x64.dll                0x7FFCA9CC0000
MSVCR110.dll                       0x7FFCA9E10000
BodyPartsUI.dll                    0x7FFCB3660000
DSOUND.DLL                         0x7FFCB52E0000
usvfs_x64.dll                      0x7FFCC0990000
f4se_steam_loader.dll              0x7FFCC0B30000
flexExtRelease_x64.dll             0x7FFCC0B70000
MSVCP110.dll                       0x7FFCC0BD0000
bink2w64.dll                       0x7FFCC0C80000
nvspcap64.dll                      0x7FFCC0D90000
WeaponDebrisCrashFix.dll           0x7FFCDC120000
encounter_zone_recalculation.dll   0x7FFCDD370000
MessageBus.dll                     0x7FFCE0F60000
MessageBus.dll                     0x7FFCE23C0000
AUDIOSES.DLL                       0x7FFCE32A0000
nvwgf2umx.dll                      0x7FFCE4C00000
nvapi64.dll                        0x7FFCEC390000
WININET.dll                        0x7FFCED760000
winmmbase.dll                      0x7FFCEDC40000
VCRUNTIME140_1.dll                 0x7FFCEE8B0000
Secur32.dll                        0x7FFCEE8C0000
MSVCP140.dll                       0x7FFCEE8D0000
VCRUNTIME140.dll                   0x7FFCEE960000
WINSPOOL.DRV                       0x7FFCEEF80000
COMCTL32.dll                       0x7FFCEF020000
gdiplus.dll                        0x7FFCEF2C0000
MSIMG32.dll                        0x7FFCEF470000
DbgHelp.dll                        0x7FFCF01F0000
WINMM.dll                          0x7FFCF2910000
