[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     SS2.esm
[0A]     SS2_XPAC_Chapter2.esm
[0B]     ArmorKeywords.esm
[0C]     HUDFramework.esm
[0D]     TacticalReload.esm
[0E]     TheFarmlands.esm
[0F]     SOTS.esp
[10]     TheWilderness.esm
[11]     EthreonMasterPlan.esm
[12]     Darlene.esm
[13]     DCGuard_Overhaul.esp
[14]     SpecialBuyers.esm
[15]     SpringCleaning.esm
[16]     FortStronger.esm
[17]     TheMarshland.esm
[18]     SS2_XPAC_Chapter3.esm
[19]     StartMeUp.esp
[1A]     SS2_BluesMinutemenFlagPack.esp
[1B]     SS2_Addon_FHE.esp
[1C]     MojaveImports.esp
[1D]     WorkshopPlus.esp
[1E]     Scopes.esp
[1F]     Armorsmith Extended.esp
[20]     EFF.esp
[21]     SettlementMenuManager.esp
[22]     Youth of the Commonwealth.esp
[23]     SKKRedRocketWorkshopsFaction.esp
[24]     MaticusIsland.esp
[25]     cat_wildlands.esp
[26]     EvilViking13_MinutemenMorale.esp
[27]     Conquest.esp
[28]     Thematic and Practical.esp
[29]     WorkshopRearranged.esp
[2A]     V88Improvements.esp
[2B]     Vault-Tec Workshop Overhaul Redux.esp
[2C]     CompactCrafting.esp
[2D]     Prefabs.esp
[2E]     AEH_ShackinUp.esp
[2F]     cVc Dead Wasteland 6.esp
[30]     cVc Dead Wasteland 6 DLC.esp
[31]     cVc Dead Wasteland 6 DLC2.esp
[32]     cVc Dead Wasteland 6 DLC3.esp
[33]     Settlement_Markers.esp
[34]     WWP - PC.esp
[35]     KURO.esp
[36]     ruined_handmadeturrets.esp
[37]     V88MRI.esp
[38]     Vault88 - Essentials.esp
[39]     VanillaExtensions.esp
[3A]     SnapBeds.esp
[3B]     AkaSinger.esp
[3C]     AkaSingersWardrobe.esp
[3D]     constructible_faction_guards.esp
[3E]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[3F]     SS2WastelandVenturers.esp
[40]     SS2_MsB_PlainPlans.esp
[41]     [SS20Addon] SimSettlements SuperStructures.esp
[42]     SS2_ruined_simsettlement_addonpack.esp
[43]     SS2_FDK_TinyLiving.esp
[44]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[45]     SS2_SIMPDDDD.esp
[46]     SS2-Jampads2.esp
[47]     SS2WastelandReconstructionKit.esp
[48]     SS2_Addon_R2R.esp
[49]     SS2_STRA_Buildings_and_Skins.esp
[4A]     SS2HappyTrails.esp
[4B]     GtN_SettlersatPlay.esp
[4C]     Follower Revive System.esp
[4D]     BeastWhisperer.esp
[4E]     Be Exceptional - Uninstall.esp
[4F]     Be Exceptional.esp
[50]     PiperCaitCurieDialogueOverhaul.esp
[51]     PhotoMode.esp
[52]     llamaCompanionHeatherv2.esp
[53]     WRVR.esp
[54]     ButtonsCompanion.esp
[55]     Dogmeat  A True Companion Normal.esp
[56]     VisibleCompanionAffinity.esp
[57]     ellen.esp
[58]     FS_AtomCatsBostonOriginal.esp
[59]     ProvisionerOverhaul.esp
[5A]     Realistic_conversations.esp
[5B]     3DNPC_FO4.esp
[5C]     3DNPC_FO4Settler.esp
[5D]     ___DC Interiors_LessBooze.esp
[5E]     ABundleofTape.esp
[5F]     AccessibleBackpacks.esp
[60]     AFSSAB.esp
[61]     AlleyEncampmentSettlement.esp
[62]     atlanticofficesf23.esp
[63]     Atomic World.esp
[64]     AtomicRadio.esp
[65]     Backpacks of the Commonwealth.esp
[66]     Barneys.Bunker.Reborn.esp
[67]     BetterDrumlinDiner.esp
[68]     BetterSettlers.esp
[69]     BOS weapons pack.esp
[6A]     BountifulBoards.esp
[6B]     Bridgeport_Prescrapped.esp
[6C]     CBBE.esp
[6D]     cedricscardisposal.esp
[6E]     CHAOTIC SUN.esp
[6F]     ClassicSniper.esp
[70]     CleanMySettlement.esp
[71]     clppyQuest_PaperClipBandits.esp
[72]     CombatZoneRestored.esp
[73]     CombinedArmsEXPack.esp
[74]     CombinedArmsNV.esp
[75]     CompanionStatus.esp
[76]     CraftingNPCs.esp
[77]     CSEPBountyMod.esp
[78]     DamDam.esp
[79]     DCGuard_Overhaul-DCEPatch.esp
[7A]     DCGuard_Overhaul-Workshop.esp
[7B]     Deathclaw_valley.esp
[7C]     DiamondNewVendors.esp
[7D]     DocDrumlin.esp
[7E]     EasyHacking.esp
[7F]     Eli_Armour_Compendium.esp
[80]     Eli_RespondersForAustralia.esp
[81]     EnergyComboDeal.esp
[82]     EvilViking13_PatchworkSanctuaryBridge.esp
[83]     FCOM.esp
[84]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[85]     FO4 NPCs Travel.esp
[86]     FOLON-StandaloneReleaser.esp
[87]     G36Complex.esp
[88]     GIAT_FAMAS.esp
[89]     Goodfellow's Goodneighbor Defences.esp
[8A]     GoodneighborAttic.esp
[8B]     Gunners Weapon Pack.esp
[8C]     Harbor City Commonwealth.esp
[8D]     Immersive Nahant.esp
[8E]     Immersive_Lexington.esp
[8F]     ImmersiveCovenantCompound.esp
[90]     ImmersiveGunnersPlazaExterior.esp
[91]     ImmersiveHubCityAutoWreckers.esp
[92]     KrissVector.esp
[93]     M2Agency.esp
[94]     MercenaryOutfits.esp
[95]     MinuteMen Patrols.esp
[96]     Minutemen Supply Caches.esp
[97]     Minutemen Weapon Pack.esp
[98]     MiscOutfitPackv2.esp
[99]     MitchSt01.esp
