XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000059CE0000
steam_api64.dll               0x000059CF0000
BulletCountedReload.dll       0x01F8A8070000
wintrust.dll                  0x01F8D5B40000
Fallout4.exe                  0x7FF772300000
ResampleDmo.DLL               0x7FF866C40000
DSOUND.DLL                    0x7FF866D00000
XAudio2_7.dll                 0x7FF869560000
gameoverlayrenderer64.dll     0x7FF875680000
XDI.dll                       0x7FF875810000
wsfw_identifier.dll           0x7FF875880000
mcm.dll                       0x7FF875980000
LighthousePapyrusExtender.dll 0x7FF875A20000
HighFPSPhysicsFix.dll         0x7FF875B00000
f4ee.dll                      0x7FF875B90000
Buffout4.dll                  0x7FF875CA0000
steamclient64.dll             0x7FF876000000
ClassicHolsteredWeapons.dll   0x7FF877A40000
f4se_1_10_163.dll             0x7FF877B80000
tier0_s64.dll                 0x7FF877C60000
BakaScrapHeap.dll             0x7FF877F90000
vstdlib_s64.dll               0x7FF878060000
SprintSpeedController.dll     0x7FF884070000
RustyFaceFix.dll              0x7FF8856F0000
PowerGridTools.dll            0x7FF8858B0000
Outfit-ReDress-Fix.dll        0x7FF886EA0000
f4pm.dll                      0x7FF88E860000
flexRelease_x64.dll           0x7FF899EF0000
msdmo.dll                     0x7FF89E650000
CONCRT140.dll                 0x7FF89E6B0000
GFSDK_SSAO_D3D11.win64.dll    0x7FF8A2110000
IPHLPAPI.DLL                  0x7FF8A3860000
Interior-NavCut-Fix.dll       0x7FF8A81E0000
GCBugFix.dll                  0x7FF8A86B0000
MSVCR110.dll                  0x7FF8A8710000
MSVCP110.dll                  0x7FF8A8DD0000
ESPExplorer.dll               0x7FF8A8F20000
bink2w64.dll                  0x7FF8A8F80000
cbp.dll                       0x7FF8A9490000
crafting_highlight_fix.dll    0x7FF8B2100000
usvfs_x64.dll                 0x7FF8B6B70000
BetterConsole.dll             0x7FF8B7E70000
cudart64_75.dll               0x7FF8B84B0000
GFSDK_GodraysLib.x64.dll      0x7FF8B8830000
nvspcap64.dll                 0x7FF8C3470000
nvwgf2umx.dll                 0x7FF8C3750000
nvldumdx.dll                  0x7FF8C9630000
achievements.dll              0x7FF8DFAA0000
ncryptsslp.dll                0x7FF8E01A0000
flexExtRelease_x64.dll        0x7FF8E01F0000
f4se_steam_loader.dll         0x7FF8E02A0000
WeaponDebrisCrashFix.dll      0x7FF8E3130000
MessageBus.dll                0x7FF8E7480000
WINSPOOL.DRV                  0x7FF8E8490000
amsi.dll                      0x7FF8EDDA0000
MSIMG32.dll                   0x7FF8EF2F0000
OneCoreCommonProxyStub.dll    0x7FF8F4680000
Secur32.dll                   0x7FF8F6210000
textinputframework.dll        0x7FF8F6350000
fastprox.dll                  0x7FF8F6990000
COMCTL32.dll                  0x7FF8F74F0000
igc64.dll                     0x7FF8F7BF0000
wbemprox.dll                  0x7FF8F9FE0000
wbemsvc.dll                   0x7FF8FB090000
SprintStutteringFix.dll       0x7FF8FB2B0000
nvToolsExt64_1.dll            0x7FF8FB2D0000
igdgmm64.dll                  0x7FF8FB6C0000
wbemcomn.dll                  0x7FF8FB7E0000
webio.dll                     0x7FF8FBD50000
VCRUNTIME140_1.dll            0x7FF8FD500000
VCRUNTIME140.dll              0x7FF8FD510000
MSVCP140.dll                  0x7FF8FD530000
winmmbase.dll                 0x7FF8FD730000
igd10iumd64.dll               0x7FF8FDB70000
Windows.UI.dll                0x7FF8FF2E0000
rasadhlp.dll                  0x7FF9004C0000
AUDIOSES.DLL                  0x7FF900610000
OneCoreUAPCommonProxyStub.dll 0x7FF900ED0000
nvapi64.dll                   0x7FF9018E0000
CoreUIComponents.dll          0x7FF903420000
MMDevApi.dll                  0x7FF904460000
fwpuclnt.dll                  0x7FF904660000
drvstore.dll                  0x7FF904B60000
cryptnet.dll                  0x7FF904D10000
WINMM.dll                     0x7FF905050000
dhcpcsvc.DLL                  0x7FF9052A0000
dhcpcsvc6.DLL                 0x7FF9052C0000
WINHTTP.dll                   0x7FF9055B0000
directxdatabasehelper.dll     0x7FF9056F0000
avrt.dll                      0x7FF905780000
VERSION.dll                   0x7FF905C30000
d3d11.dll                     0x7FF908B40000
dcomp.dll                     0x7FF908DA0000
CoreMessaging.dll             0x7FF909400000
apphelp.dll                   0x7FF9097F0000
WINNSI.DLL                    0x7FF909990000
UxTheme.dll                   0x7FF9099A0000
dxcore.dll                    0x7FF90A420000
dxgi.dll                      0x7FF90A550000
dwmapi.dll                    0x7FF90A750000
resourcepolicyclient.dll      0x7FF90A7D0000
DbgHelp.dll                   0x7FF90AAE0000
wintypes.dll                  0x7FF90AF90000
windows.storage.dll           0x7FF90B0D0000
HID.DLL                       0x7FF90B9A0000
IpHlpAPI.dll                  0x7FF90BC00000
DNSAPI.dll                    0x7FF90BC70000
schannel.DLL                  0x7FF90BFC0000
rsaenh.dll                    0x7FF90C0C0000
kernel.appcore.dll            0x7FF90C150000
ntmarta.dll                   0x7FF90C170000
SSPICLI.DLL                   0x7FF90C3B0000
MSWSOCK.dll                   0x7FF90C5D0000
CRYPTSP.dll                   0x7FF90C830000
CRYPTBASE.DLL                 0x7FF90C850000
wldp.dll                      0x7FF90C950000
UMPDC.dll                     0x7FF90C9E0000
NTASN1.dll                    0x7FF90CA00000
ncrypt.dll                    0x7FF90CA40000
bcrypt.dll                    0x7FF90CA70000
powrprof.dll                  0x7FF90CB90000
