XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000066210000
steam_api64.dll                    0x000066220000
d3d11.dll                          0x000180000000
cbp.dll                            0x025F1E300000
MSCTF.dll                          0x025F5A1C0000
CoreUIComponents.dll               0x025F5A2F0000
wintrust.dll                       0x025F5AFB0000
Fallout4.exe                       0x7FF77CA40000
DSOUND.DLL                         0x7FF96ED40000
nvcuda64.dll                       0x7FF96EDE0000
d3dcompiler_47_64.dll              0x7FF96F7A0000
NvCamera64.dll                     0x7FF96FF00000
d3dcompiler_46e.dll                0x7FF970A80000
XAudio2_7.dll                      0x7FF971820000
gameoverlayrenderer64.dll          0x7FF971B50000
steamclient64.dll                  0x7FF971CE0000
transfer_settlements.dll           0x7FF978C40000
DINPUT8.dll                        0x7FF97A0C0000
XDI.dll                            0x7FF97A370000
wsfw_identifier.dll                0x7FF97B490000
terminal+.dll                      0x7FF97B590000
WmkActiveEffects.dll               0x7FF97DCC0000
UneducatedShooter.dll              0x7FF97DD40000
SimpleImpact.dll                   0x7FF97DDA0000
PRKF.dll                           0x7FF97DE10000
Buffout4.dll                       0x7FF97DEA0000
PowerGridTools.dll                 0x7FF986930000
po3_SpellPerkItemDistributorF4.dll 0x7FF9869A0000
place.dll                          0x7FF986AB0000
mcm.dll                            0x7FF986B30000
PrivateProfileRedirector.dll       0x7FF986C40000
HHS.dll                            0x7FF98AFE0000
f4ee.dll                           0x7FF98B0D0000
rename_anything.dll                0x7FF98B580000
HighFPSPhysicsFix.dll              0x7FF98B5D0000
LooksmenuPlayerRotation.dll        0x7FF9B79A0000
faster_workshop.dll                0x7FF9B79F0000
ENBInputDisabler.dll               0x7FF9B7E90000
ESPExplorer.dll                    0x7FF9B8DE0000
tier0_s64.dll                      0x7FF9B8E40000
BakaFramework.dll                  0x7FF9BA0E0000
f4se_1_10_163.dll                  0x7FF9BA640000
BulletCountedReload.dll            0x7FF9BD330000
crafting_highlight_fix.dll         0x7FF9BDFE0000
BetterPowerArmorRedux.dll          0x7FF9BE030000
CHW_ASS.dll                        0x7FF9BE0D0000
BetterConsole.dll                  0x7FF9BE120000
vstdlib_s64.dll                    0x7FF9BE4F0000
D3DCOMPILER_43.dll                 0x7FF9BFD90000
cudart64_75.dll                    0x7FF9C0000000
flexRelease_x64.dll                0x7FF9C0060000
MSVCR110.dll                       0x7FF9C01B0000
GFSDK_SSAO_D3D11.win64.dll         0x7FF9C1600000
IPHLPAPI.DLL                       0x7FF9C1D80000
GFSDK_GodraysLib.x64.dll           0x7FF9C2E50000
MSVCP110.dll                       0x7FF9C2EB0000
bink2w64.dll                       0x7FF9C4270000
enbhelperf4.dll                    0x7FF9C6570000
usvfs_x64.dll                      0x7FF9C6960000
def_ui.dll                         0x7FF9C79E0000
BodyPartsUI.dll                    0x7FF9C8610000
cc_cleaner.dll                     0x7FF9CCF60000
PriorityMod.dll                    0x7FF9CE9F0000
flexExtRelease_x64.dll             0x7FF9CF170000
WeaponDebrisCrashFix.dll           0x7FF9CF440000
SprintStutteringFix.dll            0x7FF9CF600000
encounter_zone_recalculation.dll   0x7FF9D2E90000
AmmoRemover.dll                    0x7FF9D2F80000
f4se_steam_loader.dll              0x7FF9D30C0000
OneCoreCommonProxyStub.dll         0x7FF9D61B0000
MessageBus.dll                     0x7FF9D7250000
NoScrollwheelPOVChange.dll         0x7FF9E5AA0000
COMCTL32.dll                       0x7FF9E6D50000
OLEACC.dll                         0x7FF9E8CE0000
winmmbase.dll                      0x7FF9E8E20000
VCRUNTIME140_1.dll                 0x7FF9E9540000
MSVCP140.dll                       0x7FF9E96B0000
VCRUNTIME140.dll                   0x7FF9E9740000
MSIMG32.dll                        0x7FF9E9A20000
XINPUT9_1_0.dll                    0x7FF9EB4F0000
DWrite.dll                         0x7FF9EC290000
inputhost.dll                      0x7FF9ED800000
textinputframework.dll             0x7FF9ED960000
Windows.UI.dll                     0x7FF9EDA60000
d3dx11_43.dll                      0x7FF9EE410000
nvToolsExt64_1.dll                 0x7FF9EE5D0000
WINMM.dll                          0x7FF9EFBA0000
nvwgf2umx.dll                      0x7FF9EFC20000
nvldumdx.dll                       0x7FF9F5C80000
OneCoreUAPCommonProxyStub.dll      0x7FF9F6440000
WindowsCodecs.dll                  0x7FF9F70D0000
WindowManagementAPI.dll            0x7FF9F7290000
avrt.dll                           0x7FF9F75E0000
nvapi64.dll                        0x7FF9F8850000
DbgHelp.dll                        0x7FF9F9B30000
drvstore.dll                       0x7FF9FB3A0000
