[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     XDI.esm
[0A]     HUDFramework.esm
[0B]     WorkshopFramework.esm
[0C]     MutantMenagerie.esm
[0D]     MutantMenagerie_FarHarbor.esm
[0E]     SouthOfTheSea.esm
[0F]     AmmoTweaks_Core.esp
[10]     SS2.esm
[11]     SS2_XPAC_Chapter2.esm
[12]     SS2_XPAC_Chapter3.esm
[13]     CWPointLookoutFO4.esm
[14]     MutantMenagerie_NukaWorld.esm
[15]     MutantMenagerie_PointLookout.esm
[16]     ProjectHelljumper.esm
[17]     Homemaker.esm
[18]     EC_ElementaryCoherence.esm
[19]     ExtendedWeaponSystem.esm
[1A]     Overlays.esm
[1B]     TacticalReload.esm
[1C]     Desperados Overhaul.esp
[1D]     Car variety Commonwealth Nika Colla.esp
[1E]     Car Variety Commonwealth Nika Colla ENGLISH.esp
[1F]     FATE Core - Tweaks.esp
[20]     Car variety Far Harbor.esp
[21]     Car Variety Far Harbor ENGLISH.esp
[22]     PEACE-ProjectExtendAndChangeEverything.esp
[23]     WARS-WeaponAdditionandReplacementSuite.esp
[24]     FOLIP - After Generation.esp
[25]     WARS-AmmoTweaksV1Integration.esp
[26]     Diello_ExtraIconsForFIS.esp
[27]     Unique NPCs - Creatures and Monsters.esp
[28]     STS_StaticTrashScraper.esp
[29]     Reverb and Ambiance Overhaul.esp
[2A]     RED.esp
[2B]     3DNPC_FO4.esp
[2C]     MutilatedDeadBodies.esp
[2D]     MojaveImports.esp
[2E]     AmmoTweaks_Default.esp
[2F]     Better Manufacturing.esp
[30]     AnimatedCandles.esp
[31]     CombinedArmsNV.esp
[32]     CombinedArmsEXPack.esp
[33]     AmmoTweaks_Default_NoDLCs.esp
[34]     SS2Extended.esp
[35]     America Rising - A Tale of the Enclave.esp
[36]     VertibirdOverhaulHackAndMark.esp
[37]     jsrs.esp
[38]     Vault4.esp
[39]     Flashy_PersonalEssentials.esp
[3A]     Armament.esp
[3B]     WZWildWasteland.esp
[3C]     AtlasSummit.esp
[3D]     Reinforcements.esp
[3E]     CheatTerminal.esp
[3F]     TU3SD4Y'S Commonwealth Responders.esp
[40]     Skb_RiflesRebirth.esp
[41]     MilitarizedMinutemen.esp
[42]     3DNPC_FO4Settler.esp
[43]     SKKFastReunions.esp
[44]     NAC.esp
[45]     MA37.esp
[46]     MisriahArmory.esp
[47]     WhirligigSentry.esp
[48]     3dscopes.esp
[49]     Mark V[B] Redux.esp
[4A]     MWIIM4.esp
[4B]     MWM91.esp
[4C]     ehtyeci_MPX.esp
[4D]     American180nv.esp
[4E]     Ak5C.esp
[4F]     WZXM4.esp
[50]     MjolnirMKVB.esp
[51]     ProjectHelljumper.esp
[52]     Whirly.esp
[53]     LimaOutpost.esp
[54]     AER15.esp
[55]     MREs.esp
[56]     HaxRPG7.esp
[57]     RU556.esp
[58]     Schotel22.esp
[59]     M203.esp
[5A]     GaussRevolver.esp
[5B]     HK416.esp
[5C]     Glock19x.esp
[5D]     9mmPistol.esp
[5E]     MK18.esp
[5F]     BR77.esp
[60]     CWCreateABot.esp
[61]     llamaCompanionHeatherv2.esp
[62]     MCXREDACTED.esp
[63]     RU556Armouryprojectv3.esp
[64]     NAC-FH.esp
[65]     NAC-NW.esp
[66]     InstituteReformation.esp
[67]     ManufacturingExtended.esp
[68]     Better Manufacturing - Manufacturing Extended Additions.esp
[69]     DLC items to manufacturing.esp
[6A]     BH_MCX_Spear.esp
[6B]     MWM19.esp
[6C]     VarmintRifle.esp
[6D]     TheGrinder.esp
[6E]     SigMCX.esp
[6F]     FOLON_Lewis_No TR_LLI.esp
[70]     Factor.esp
[71]     HVSG_LLInjector.esp
[72]     Zanthir_TasteOfBlues.esp
[73]     SIGMCXArmoryProject.esp
[74]     TacticalReloadVanilla.esp
[75]     JOKR.esp
[76]     MisriahArmory_TacticalReloadPatch.esp
[77]     Nexus_PMC.esp
[78]     PMC_extended.esp
[79]     Private Military Company_PMC Extended_LLI.esp
[7A]     SelectAssaultRifle_LLI.esp
[7B]     ManufacturingExtendedFH.esp
[7C]     PIMS_BM_Addons.esp
[7D]     Better Manufacturing - Manufacturing Extended Expanded Patch.esp
[7E]     Better Manufacturing - Valdacil Patch.esp
[7F]     127mmSMG.esp
[80]     MiamiEnclave.esp
[81]     _00Stingray.esp
[82]     SettlementTidyBot.esp
[83]     WhirlyNWP.esp
[84]     AtomicRadio.esp
[85]     MP7.esp
[86]     HK_MP5.esp
[87]     GIAT_FAMAS.esp
[88]     real.AI - Dialogue.esp
[89]     AddEnemyFootstepSound.esp
[8A]     Urban Raider.esp
[8B]     LexaPip2000Trans.esp
[8C]     Pip2000MkVi_Replacer.esp
[8D]     real.AI - Untethered.esp
[8E]     PMC Operators Pack.esp
[8F]     155mm Howitzer M1.esp
[90]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[91]     AI Adjust Range.esp
[92]     Mark V[B] Armory.esp
[93]     WWM Gear Pack.esp
[94]     Homemaker - Streetlights Use Passive Power.esp
[95]     Homemaker - Unlocked Institute Objects.esp
[96]     SigSauer127.esp
[97]     LooksMenu.esp
[98]     MK18 Armory Project.esp
[99]     AnotherMK18Addon.esp
[9A]     Glock17-18.esp
[9B]     3dscopes-ru556.esp
[9C]     Helios Outfit.esp
[9D]     SIGMCXArmoryProject2.esp
[9E]     SettleObjExpandPack.esp
[9F]     HKUSP9mm.esp
