XINPUT1_3.dll                 0x000000400000
steam_api64.dll               0x000067AD0000
X3DAudio1_7.dll               0x000067B10000
tbb.dll                       0x000180000000
tbbmalloc.dll                 0x026F3D100000
BakaFramework.dll             0x026F3FDE0000
wsfw_identifier.dll           0x026F4C0B0000
Fallout4.exe                  0x7FF610A80000
NvCamera64.dll                0x7FFE0E910000
d3dcompiler_47_64.dll         0x7FFE205D0000
DINPUT8.dll                   0x7FFE209E0000
gameoverlayrenderer64.dll     0x7FFE20A30000
WmkActiveEffects.dll          0x7FFE20CC0000
UnlimitedFastTravel.dll       0x7FFE20D40000
transfer_settlements.dll      0x7FFE20D90000
terminal+.dll                 0x7FFE21060000
SUP_F4SE.dll                  0x7FFE211B0000
PrivateProfileRedirector.dll  0x7FFE21440000
PowerGridTools.dll            0x7FFE214A0000
po3_BaseObjectSwapperF4.dll   0x7FFE21510000
place.dll                     0x7FFE21620000
NVIDIA_Reflex.dll             0x7FFE216A0000
MODExplorer.dll               0x7FFE21770000
MGEFConditionFix.dll          0x7FFE217F0000
mcm.dll                       0x7FFE21840000
Buffout4.dll                  0x7FFE218E0000
steamclient64.dll             0x7FFE21C40000
IPHLPAPI.DLL                  0x7FFE23250000
LooksmenuPlayerRotation.dll   0x7FFE2B6E0000
HHS.dll                       0x7FFE2B730000
f4ee.dll                      0x7FFE2B820000
BakaScrapHeap.dll             0x7FFE2B930000
f4se_1_10_163.dll             0x7FFE2BAF0000
WINHTTP.dll                   0x7FFE2BBD0000
nvspcap64.dll                 0x7FFE2E520000
ResampleDmo.DLL               0x7FFE2FA40000
DSOUND.DLL                    0x7FFE2FB00000
HighFPSPhysicsFix.dll         0x7FFE302A0000
tier0_s64.dll                 0x7FFE307F0000
CONCRT140.dll                 0x7FFE313F0000
Interior-NavCut-Fix.dll       0x7FFE31760000
FloatingDamage.dll            0x7FFE317B0000
faster_workshop.dll           0x7FFE32BA0000
vstdlib_s64.dll               0x7FFE32C00000
MSVCR110.dll                  0x7FFE33130000
winmmbase.dll                 0x7FFE334F0000
crafting_highlight_fix.dll    0x7FFE33520000
ClockWidget.dll               0x7FFE335F0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFE33860000
flexRelease_x64.dll           0x7FFE338F0000
BetterConsole.dll             0x7FFE353E0000
MSVCP110.dll                  0x7FFE41110000
BodyPartsUI.dll               0x7FFE412C0000
AUDIOSES.DLL                  0x7FFE43320000
WININET.dll                   0x7FFE43510000
cudart64_75.dll               0x7FFE47070000
GFSDK_GodraysLib.x64.dll      0x7FFE47340000
nvwgf2umx.dll                 0x7FFE48A00000
COMCTL32.dll                  0x7FFE4E8E0000
inputhost.dll                 0x7FFE4EB70000
WINSPOOL.DRV                  0x7FFE4EDF0000
gdiplus.dll                   0x7FFE4EE90000
MSIMG32.dll                   0x7FFE50690000
Windows.UI.dll                0x7FFE511F0000
MpOav.dll                     0x7FFE51580000
amsi.dll                      0x7FFE51600000
msdmo.dll                     0x7FFE52300000
textinputframework.dll        0x7FFE52A00000
DbgHelp.dll                   0x7FFE52EC0000
ncryptsslp.dll                0x7FFE55DD0000
PriorityMod.dll               0x7FFE56030000
SprintStutteringFix.dll       0x7FFE56480000
flexExtRelease_x64.dll        0x7FFE564A0000
PlotUI.dll                    0x7FFE56540000
bink2w64.dll                  0x7FFE56580000
achievements.dll              0x7FFE567F0000
XAudio2_7.dll                 0x7FFE56860000
