XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000072B80000
steam_api64.dll               0x000072B90000
tbb.dll                       0x000180000000
tbbmalloc.dll                 0x0271DA590000
HighFPSPhysicsFix.dll         0x0271DADB0000
LL_fourPlay_1_10_163.dll      0x0271DAE40000
Fallout4.exe                  0x7FF799100000
steamclient64.dll             0x7FF956590000
ResampleDmo.DLL               0x7FF957BA0000
DSOUND.DLL                    0x7FF957C60000
nvspcap64.dll                 0x7FF984C40000
gameoverlayrenderer64.dll     0x7FF997700000
wsfw_identifier.dll           0x7FF997B60000
Buffout4.dll                  0x7FF997C60000
IPHLPAPI.DLL                  0x7FF997FC0000
RobCo_Patcher.dll             0x7FF9986A0000
f4ee.dll                      0x7FF998770000
tier0_s64.dll                 0x7FF998880000
WINHTTP.dll                   0x7FF998A20000
mcm.dll                       0x7FF999320000
XDI.dll                       0x7FF9AACC0000
BakaScrapHeap.dll             0x7FF9AAD30000
f4se_1_10_163.dll             0x7FF9AB030000
PowerGridTools.dll            0x7FF9B4370000
vstdlib_s64.dll               0x7FF9B4570000
RustyFaceFix.dll              0x7FF9B4810000
CONCRT140.dll                 0x7FF9B4A90000
Interior-NavCut-Fix.dll       0x7FF9B4B60000
F4z Ro D'oh.dll               0x7FF9B53E0000
flexRelease_x64.dll           0x7FF9B5450000
cudart64_75.dll               0x7FF9B5A00000
GFSDK_SSAO_D3D11.win64.dll    0x7FF9B6010000
GFSDK_GodraysLib.x64.dll      0x7FF9B7040000
MSVCR110.dll                  0x7FF9BE9B0000
MSVCP110.dll                  0x7FF9BF270000
ncryptsslp.dll                0x7FF9C30E0000
flexExtRelease_x64.dll        0x7FF9C4400000
msdmo.dll                     0x7FF9C5FD0000
bink2w64.dll                  0x7FF9CB930000
Secur32.dll                   0x7FF9CEBF0000
XAudio2_7.dll                 0x7FF9D2240000
VCRUNTIME140_1.dll            0x7FF9D3090000
VCRUNTIME140.dll              0x7FF9D30B0000
MSVCP140.dll                  0x7FF9D31A0000
webio.dll                     0x7FF9D5110000
winmmbase.dll                 0x7FF9D6DB0000
textinputframework.dll        0x7FF9D6E80000
MessageBus.dll                0x7FF9D84E0000
Windows.UI.dll                0x7FF9DA170000
WINSPOOL.DRV                  0x7FF9DA360000
COMCTL32.dll                  0x7FF9DA460000
MSIMG32.dll                   0x7FF9DA8B0000
f4se_steam_loader.dll         0x7FF9DAB00000
OneCoreCommonProxyStub.dll    0x7FF9DB300000
AUDIOSES.DLL                  0x7FF9DBB90000
MpOav.dll                     0x7FF9DC470000
DbgHelp.dll                   0x7FF9DC4F0000
fastprox.dll                  0x7FF9DE0F0000
nvapi64.dll                   0x7FF9DE6B0000
amsi.dll                      0x7FF9DEE50000
wbemsvc.dll                   0x7FF9DEE70000
MMDevApi.dll                  0x7FF9DF470000
nvwgf2umx.dll                 0x7FF9DFBB0000
rasadhlp.dll                  0x7FF9E5A90000
wbemcomn.dll                  0x7FF9E5D60000
wbemprox.dll                  0x7FF9E5DE0000
nvldumdx.dll                  0x7FF9E5EA0000
drvstore.dll                  0x7FF9E6A40000
fwpuclnt.dll                  0x7FF9E6BA0000
cryptnet.dll                  0x7FF9E6C30000
OneCoreUAPCommonProxyStub.dll 0x7FF9E6DB0000
WINHTTP.DLL                   0x7FF9E7A70000
WINMM.dll                     0x7FF9E7D40000
VERSION.dll                   0x7FF9E8100000
dhcpcsvc.DLL                  0x7FF9E8110000
dhcpcsvc6.DLL                 0x7FF9E8130000
nvToolsExt64_1.dll            0x7FF9E9B30000
CoreUIComponents.dll          0x7FF9E9C70000
avrt.dll                      0x7FF9EA290000
directxdatabasehelper.dll     0x7FF9EA350000
WINNSI.DLL                    0x7FF9EA5D0000
d3d11.dll                     0x7FF9EB3D0000
dcomp.dll                     0x7FF9EBC00000
CoreMessaging.dll             0x7FF9EC260000
apphelp.dll                   0x7FF9EC540000
UxTheme.dll                   0x7FF9EC620000
dxcore.dll                    0x7FF9EC700000
dxgi.dll                      0x7FF9EC830000
dwmapi.dll                    0x7FF9ECA30000
resourcepolicyclient.dll      0x7FF9ECAB0000
wintypes.dll                  0x7FF9ECEB0000
windows.storage.dll           0x7FF9ECFF0000
HID.DLL                       0x7FF9ED8E0000
IpHlpAPI.dll                  0x7FF9EDBB0000
DNSAPI.dll                    0x7FF9EDC20000
UMPDC.dll                     0x7FF9EDEE0000
powrprof.dll                  0x7FF9EDF00000
schannel.DLL                  0x7FF9EDFA0000
rsaenh.dll                    0x7FF9EE0B0000
kernel.appcore.dll            0x7FF9EE140000
ntmarta.dll                   0x7FF9EE160000
SSPICLI.DLL                   0x7FF9EE3A0000
MSWSOCK.dll                   0x7FF9EE5C0000
USERENV.dll                   0x7FF9EE6B0000
CRYPTSP.dll                   0x7FF9EE810000
CRYPTBASE.DLL                 0x7FF9EE830000
wldp.dll                      0x7FF9EE8C0000
NTASN1.dll                    0x7FF9EE940000
ncrypt.dll                    0x7FF9EE980000
bcrypt.dll                    0x7FF9EE9B0000
devobj.dll                    0x7FF9EECB0000
cfgmgr32.dll                  0x7FF9EECE0000
DPAPI.DLL                     0x7FF9EED30000
MSASN1.dll                    0x7FF9EED60000
profapi.dll                   0x7FF9EEF40000
bcryptPrimitives.dll          0x7FF9EF010000
CRYPT32.dll                   0x7FF9EF090000
gdi32full.dll                 0x7FF9EF2C0000
msvcp_win.dll                 0x7FF9EF3E0000
KERNELBASE.dll                0x7FF9EF480000
win32u.dll                    0x7FF9EF830000
ucrtbase.dll                  0x7FF9EF860000
WINTRUST.dll                  0x7FF9EF980000
RPCRT4.dll                    0x7FF9EF9F0000
shcore.dll                    0x7FF9EFB10000
sechost.dll                   0x7FF9EFC10000
ADVAPI32.dll                  0x7FF9EFCC0000
ole32.dll                     0x7FF9EFD70000
KERNEL32.DLL                  0x7FF9EFF10000
IMM32.DLL                     0x7FF9F01B0000
USER32.dll                    0x7FF9F01F0000
MSCTF.dll                     0x7FF9F03A0000
NSI.dll                       0x7FF9F0580000
SETUPAPI.dll                  0x7FF9F0590000
OLEAUT32.dll                  0x7FF9F0A10000
msvcrt.dll                    0x7FF9F0AF0000
combase.dll                   0x7FF9F0BA0000
clbcatq.dll                   0x7FF9F0F30000
SHLWAPI.dll                   0x7FF9F1040000
GDI32.dll                     0x7FF9F10A0000
imagehlp.dll                  0x7FF9F10D0000
