XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000066B20000
steam_api64.dll                  0x000066B30000
d3d11.dll                        0x000180000000
Buffout4.dll                     0x021E79310000
Fallout4.exe                     0x7FF7A8000000
XAudio2_7.dll                    0x7FF9F8B30000
d3dcompiler_47_64.dll            0x7FF9F9E20000
DINPUT8.dll                      0x7FF9FA430000
NvCamera64.dll                   0x7FF9FA480000
d3dcompiler_46e.dll              0x7FF9FB580000
gameoverlayrenderer64.dll        0x7FF9FB940000
XDI.dll                          0x7FF9FBAD0000
WhoseQuestIsItAnywayF4.dll       0x7FF9FBB40000
UnlimitedSurvivalMode.dll        0x7FF9FBBA0000
SprintSpeedController.dll        0x7FF9FBBF0000
ReloadFix.dll                    0x7FF9FBC40000
Outfit-ReDress-Fix.dll           0x7FF9FBC90000
MGEFConditionFix.dll             0x7FF9FBCE0000
mcm.dll                          0x7FF9FBD30000
LooksmenuPlayerRotation.dll      0x7FF9FBDD0000
CONCRT140.dll                    0x7FF9FBE20000
HighFPSPhysicsFix.dll            0x7FF9FBE70000
FavoritesMenuEx.dll              0x7FF9FBF00000
f4ee.dll                         0x7FF9FBF90000
ClassicHolsteredWeapons.dll      0x7FF9FC0A0000
BulletCountedReload.dll          0x7FF9FC150000
ShadowBoostFO4.dll               0x7FF9FC1E0000
RobCo_Patcher.dll                0x7FF9FC2B0000
f4se_1_10_163.dll                0x7FF9FC6E0000
Interior-NavCut-Fix.dll          0x7FF9FC810000
CCExtenderF4.dll                 0x7FF9FC860000
vstdlib_s64.dll                  0x7FF9FC8D0000
GCBugFix.dll                     0x7FF9FCA20000
tier0_s64.dll                    0x7FF9FCA80000
BetterConsole.dll                0x7FF9FD140000
steamclient64.dll                0x7FF9FD1B0000
GFSDK_SSAO_D3D11.win64.dll       0x7FF9FE7C0000
flexRelease_x64.dll              0x7FF9FE850000
MSVCR110.dll                     0x7FF9FE9A0000
IPHLPAPI.DLL                     0x7FF9FEA80000
BetterPowerArmorRedux.dll        0x7FFA00150000
MSVCP110.dll                     0x7FFA001B0000
nvspcap64.dll                    0x7FFA117F0000
ESPExplorer.dll                  0x7FFA12AC0000
D3DCOMPILER_43.dll               0x7FFA373B0000
xinput1_4.dll                    0x7FFA75650000
crafting_highlight_fix.dll       0x7FFA89760000
usvfs_x64.dll                    0x7FFA8C710000
d3dx11_43.dll                    0x7FFA93640000
WeaponDebrisCrashFix.dll         0x7FFA94E00000
encounter_zone_recalculation.dll 0x7FFA94EA0000
cudart64_75.dll                  0x7FFA94F10000
GFSDK_GodraysLib.x64.dll         0x7FFA97BD0000
mskeyprotect.dll                 0x7FFA98600000
SprintStutteringFix.dll          0x7FFA9F1F0000
Secur32.dll                      0x7FFA9F240000
MessageBus.dll                   0x7FFAA3330000
flexExtRelease_x64.dll           0x7FFAA6FF0000
AmmoRemover.dll                  0x7FFAA7080000
bink2w64.dll                     0x7FFAA70B0000
MSVCP140_ATOMIC_WAIT.dll         0x7FFAA7300000
MSVCP140.dll                     0x7FFAAD500000
winmmbase.dll                    0x7FFAAD590000
DSOUND.DLL                       0x7FFAADC60000
VCRUNTIME140_1.dll               0x7FFAAFDC0000
Windows.UI.dll                   0x7FFAB0410000
fwpuclnt.dll                     0x7FFAB1B10000
webio.dll                        0x7FFAB1BA0000
rasadhlp.dll                     0x7FFAB1E00000
inputhost.dll                    0x7FFAB2430000
textinputframework.dll           0x7FFAB3110000
AUDIOSES.DLL                     0x7FFAB3260000
nvwgf2umx.dll                    0x7FFAB4370000
wbemcomn.dll                     0x7FFABA550000
wbemprox.dll                     0x7FFABA5E0000
nvapi64.dll                      0x7FFABA700000
ncryptsslp.dll                   0x7FFABCD70000
XINPUT9_1_0.dll                  0x7FFABDF40000
MessageBus.dll                   0x7FFABE000000
WINSPOOL.DRV                     0x7FFABE880000
COMCTL32.dll                     0x7FFABE920000
DbgHelp.dll                      0x7FFABEE20000
amsi.dll                         0x7FFAC0270000
MSIMG32.dll                      0x7FFAC0290000
MpOav.dll                        0x7FFAC04F0000
WINMM.dll                        0x7FFAC0800000
wbemsvc.dll                      0x7FFAC0B00000
fastprox.dll                     0x7FFAC0B20000
MMDevApi.dll                     0x7FFAC12B0000
drvstore.dll                     0x7FFAC1EC0000
nvldumdx.dll                     0x7FFAC2040000
cryptnet.dll                     0x7FFAC2120000
VERSION.dll                      0x7FFAC2960000
dxcore.dll                       0x7FFAC2970000
WINHTTP.dll                      0x7FFAC2C00000
dhcpcsvc6.DLL                    0x7FFAC3000000
WindowsCodecs.dll                0x7FFAC3020000
twinapi.appcore.dll              0x7FFAC31E0000
WindowManagementAPI.dll          0x7FFAC33F0000
VCRUNTIME140.dll                 0x7FFAC3670000
dhcpcsvc.DLL                     0x7FFAC3720000
