XINPUT1_3.dll                    0x000000400000
steam_api64.dll                  0x0000712D0000
X3DAudio1_7.dll                  0x000071690000
LL_fourPlay_1_10_163.dll         0x000180000000
BetterConsole.dll                0x01EADADF0000
NSI.dll                          0x01EAF4700000
nvwgf2umx.dll                    0x01EAF4FA0000
Fallout4.exe                     0x7FF7D8610000
steamclient64.dll                0x7FF8CC490000
d3dcompiler_47_64.dll            0x7FF8CE8E0000
NvCamera64.dll                   0x7FF8CF000000
IPHLPAPI.DLL                     0x7FF8CFBF0000
Buffout4.dll                     0x7FF8DBB00000
XAudio2_7.dll                    0x7FF8DE5C0000
PRKF.dll                         0x7FF8F0540000
PowerGridTools.dll               0x7FF8F05D0000
place.dll                        0x7FF8F0640000
Outfit-ReDress-Fix.dll           0x7FF8F0FB0000
MGEFConditionFix.dll             0x7FF8F1000000
mcm.dll                          0x7FF8F1110000
HighFPSPhysicsFix.dll            0x7FF8F11B0000
Interior-NavCut-Fix.dll          0x7FF8F1640000
GCBugFix.dll                     0x7FF8F5990000
FavoritesMenuEx.dll              0x7FF8F59F0000
F4z Ro D'oh.dll                  0x7FF8F5A80000
crafting_highlight_fix.dll       0x7FF8F63B0000
DSOUND.DLL                       0x7FF919A90000
CCExtenderF4.dll                 0x7FF921100000
BulletCountedReload.dll          0x7FF955CD0000
BetterPowerArmorRedux.dll        0x7FF955D60000
f4se_1_10_163.dll                0x7FF955E30000
vstdlib_s64.dll                  0x7FF955F10000
tier0_s64.dll                    0x7FF955FD0000
cudart64_75.dll                  0x7FF956170000
DINPUT8.dll                      0x7FF956340000
gameoverlayrenderer64.dll        0x7FF956390000
XDI.dll                          0x7FF956520000
GFSDK_GodraysLib.x64.dll         0x7FF956600000
flexRelease_x64.dll              0x7FF956660000
wsfw_identifier.dll              0x7FF9567D0000
WhoseQuestIsItAnywayF4.dll       0x7FF9568D0000
UnlimitedSurvivalMode.dll        0x7FF956930000
ShadowBoostFO4.dll               0x7FF956980000
RobCo_Patcher.dll                0x7FF956F90000
GFSDK_SSAO_D3D11.win64.dll       0x7FF9573E0000
MSVCR110.dll                     0x7FF957470000
MSVCP110.dll                     0x7FF957550000
nvspcap64.dll                    0x7FF958A80000
xinput1_4.dll                    0x7FF960620000
encounter_zone_recalculation.dll 0x7FF965B00000
AmmoRemover.dll                  0x7FF965D70000
WeaponDebrisCrashFix.dll         0x7FF965DA0000
SprintSpeedController.dll        0x7FF965DC0000
ReloadFix.dll                    0x7FF965E10000
SprintStutteringFix.dll          0x7FF965ED0000
MSVCP140_ATOMIC_WAIT.dll         0x7FF96B7F0000
COMCTL32.dll                     0x7FF96C1F0000
WINSPOOL.DRV                     0x7FF96C490000
winmmbase.dll                    0x7FF96C560000
flexExtRelease_x64.dll           0x7FF96E430000
bink2w64.dll                     0x7FF96E490000
usvfs_x64.dll                    0x7FF971B00000
Windows.UI.dll                   0x7FF978390000
MessageBus.dll                   0x7FF97BB30000
MSIMG32.dll                      0x7FF986770000
Secur32.dll                      0x7FF986A70000
f4se_steam_loader.dll            0x7FF9876C0000
MSVCP140.dll                     0x7FF987900000
WINMM.dll                        0x7FF989180000
MessageBus.dll                   0x7FF989760000
XINPUT9_1_0.dll                  0x7FF98A860000
nvldumdx.dll                     0x7FF98AB60000
dxcore.dll                       0x7FF98AC90000
WindowsCodecs.dll                0x7FF98C4F0000
WindowManagementAPI.dll          0x7FF98C6B0000
avrt.dll                         0x7FF98CB00000
VCRUNTIME140.dll                 0x7FF98CEA0000
textinputframework.dll           0x7FF98D290000
inputhost.dll                    0x7FF98D6E0000
nvToolsExt64_1.dll               0x7FF98DCA0000
nvapi64.dll                      0x7FF98E710000
WINHTTP.dll                      0x7FF98F750000
twinapi.appcore.dll              0x7FF98FBF0000
dhcpcsvc.DLL                     0x7FF9904F0000
DbgHelp.dll                      0x7FF9905B0000
drvstore.dll                     0x7FF990A30000
cryptnet.dll                     0x7FF991540000
VERSION.dll                      0x7FF991700000
VCRUNTIME140_1.dll               0x7FF9919B0000
MMDevApi.dll                     0x7FF992070000
AUDIOSES.DLL                     0x7FF992100000
PROPSYS.dll                      0x7FF992CA0000
D3DCOMPILER_47.dll               0x7FF993840000
d3d11.dll                        0x7FF993CA0000
wintypes.dll                     0x7FF993F10000
dcomp.dll                        0x7FF994070000
CoreUIComponents.dll             0x7FF9945E0000
CoreMessaging.dll                0x7FF994940000
apphelp.dll                      0x7FF994B70000
UxTheme.dll                      0x7FF994CD0000
