[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     XDI.esm
[09]     HUDFramework.esm
[0A]     Homemaker.esm
[0B]     WorkshopFramework.esm
[0C]     SS2.esm
[0D]     SS2_XPAC_Chapter2.esm
[0E]     SouthOfTheSea.esm
[0F]     DCGuard_Overhaul.esp
[10]     CWPointLookoutFO4.esm
[11]     MutantMenagerie.esm
[12]     MutantMenagerie_FarHarbor.esm
[13]     MutantMenagerie_NukaWorld.esm
[14]     MutantMenagerie_PointLookout.esm
[15]     CookingAdventuresInFallout.esp
[16]     InstituteTechnologyOverhaul.esm
[17]     PANPC.esm
[18]     SS2_XPAC_Chapter3.esm
[19]     Better Power Armor - Redux.esp
[1A]     Perk Up.esp
[1B]     Capped Out.esp
[1C]     Complex Vendors.esp
[1D]     InstitWeapPosit.esp
[1E]     RemoveBlur.esp
[1F]     Vault4.esp
[20]     GCM.esp
[21]     T60 Shoulder Cape.esp
[22]     DT_GunnerOutfitPack.esp
[23]     FCOM.esp
[24]     Sandbag Fortifications - Version 2C.esp
[25]     HotDiggity.esp
[26]     SettlementMenuManager.esp
[27]     Thematic and Practical.esp
[28]     Thematic and Practical - DLC.esp
[29]     PostBravoExterior.esp
[2A]     WDP-PC.esp
[2B]     SpiritofSteel.esp
[2C]     SS2Extended.esp
[2D]     SS2_CityPlanPack_RiseOfTheCommonwealth.esp
[2E]     SS2-PraRandomAddon.esp
[2F]     SS2_ruined_simsettlement_addonpack.esp
[30]     SS2WastelandReconstructionKit.esp
[31]     SS2WastelandVenturers.esp
[32]     155mm Howitzer M1.esp
[33]     X01Light.esp
[34]     T-60 Equipment.esp
[35]     T47R_PA.esp
[36]     Altyn Assault Helmet.esp
[37]     WestTekTacticalOptics.esp
[38]     CROSS_Cybernetics.esp
[39]     CROSS_Jetpack.esp
[3A]     RoboAsimov_LoreFriendlyTattooAPalooza.esp
[3B]     vb_doublespeed.esp
[3C]     AEWS.esp
[3D]     AEWS_NukaWorldPatch.esp
[3E]     MsAutomatronPartsCollection.esp
[3F]     AutomatronSDTank.esp
[40]     CWCreateABot.esp
[41]     CHAOTIC SUN.esp
[42]     _hod.esp
[43]     Radical.esp
[44]     Antagonist.esp
[45]     Reinforcements.esp
[46]     SlowTime.esp
[47]     Hellfirenew.esp
[48]     FO4TribalPowerArmor.esp
[49]     CombatZoneRestored.esp
[4A]     MaxwellsWorl.esp
[4B]     WelcometoGoodneighbor.esp
[4C]     AGNISNikaCola01.esp
[4D]     SimpleBounties.esp
[4E]     Submarine Base Echo.esp
[4F]     TheCode.esp
[50]     LimaOutpost.esp
[51]     AR_DLC01.esp
[52]     BoSStory.esp
[53]     ConceptCentaur.esp
[54]     MiscOutfitPackv2.esp
[55]     SKKFeralNights.esp
[56]     [ARRETH] FGEP.esp
[57]     Floaters.esp
[58]     Deathwings.esp
[59]     Chem Station Renamed.esp
[5A]     ManufacturingExtended.esp
[5B]     WorthwhileEyebots.esp
[5C]     EyeBotMoreResources.esp
[5D]     OCDecorator.esp
[5E]     OCDecoratorDLC.esp
[5F]     OCDispenser.esp
[60]     Fleshsmith.esp
[61]     PowerArmorDelivery.esp
[62]     OWR_OWT.esp
[63]     Stm_DiamondCityExpansion.esp
[64]     DCGuard_Overhaul-DCEPatch.esp
[65]     3DNPC_FO4Settler.esp
[66]     Liga.esp
[67]     SynthPA.esp
[68]     powerarmort49.esp
[69]     DrugCraftin'.esp
[6A]     CAFBackyardChemistry.esp
[6B]     CAFFarHarborExpansion.esp
[6C]     CAFImplementation.esp
[6D]     CAFNukaWorldExpansion.esp
[6E]     PowerPacks.esp
[6F]     CROSS_GoreCrits.esp
[70]     CROSS_GoreCrits_FarHarborPatch.esp
[71]     Dogmeat's Backpack.esp
[72]     Zanthir_TasteOfBlues.esp
[73]     cambridgefacility.esp
[74]     shoddymemone.esp
[75]     X03Factions.esp
[76]     ruined_handmadeturrets.esp
[77]     ImmersiveHandmadeTurretsReplacer.esp
[78]     Backpacks of the Commonwealth.esp
[79]     CCV-MarineCombatArmor.esp
[7A]     CROSS_FireworksCannon.esp
[7B]     Archimedes-II.esp
[7C]     Zapgun.esp
[7D]     GaussRevolver.esp
[7E]     FOLON_Bren.esp
[7F]     Scopes.esp
[80]     LeeEnfieldNo4MkI.esp
[81]     Wana_SA58.esp
[82]     smmg.esp
[83]     Skb_RiflesRebirth.esp
[84]     M4k4rov - PPSh.esp
[85]     SelectRapidMG.esp
[86]     GreaseGunSMG.esp
[87]     Yona_Weapon_DefenseGun.esp
[88]     127mmSMG.esp
[89]     F4NVServiceRifleRedux.esp
[8A]     F4NVRechargerWeapons.esp
[8B]     WattzLaserGun.esp
[8C]     ChinaLakeandHolorifle.esp
[8D]     ChinaLake_1.5xDamage.esp
[8E]     Holorifle_1.5xDamage.esp
[8F]     ClassicSniper.esp
[90]     F4CW10mmSMG.esp
[91]     MG42.esp
[92]     mjp_PTRS41ATR.esp
[93]     MG69.esp
[94]     Mica-T6M_EMD.esp
[95]     InstituteTechnologyOverhaul - FULL.esp
[96]     BOCWNailGun.esp
[97]     RocketRifle.esp
[98]     MilitiaGun_Release.esp
[99]     TeslaCannonRedux.esp
[9A]     Vault-Tec_MPL.esp
[9B]     GunnerJuryRigYLC.esp
[9C]     SelectShotgun.esp
[9D]     CSEPBountyMod.esp
[9E]     CSEPLoadedBases.esp
[9F]     LoadedBasesFSDPatch.esp
[A0]     MilitarizedMinutemen.esp
