XINPUT1_3.dll                     0x000000400000
mdnsNSP.dll                       0x000069B90000
X3DAudio1_7.dll                   0x000069C10000
steam_api64.dll                   0x000069C20000
d3d11.dll                         0x000180000000
BulletCountedReload.dll           0x022341F60000
Fallout4.exe                      0x7FF6EF6D0000
nvwgf2umx.dll                     0x7FF9294D0000
nvapi64.dll                       0x7FF937910000
XAudio2_7.dll                     0x7FF9389C0000
steamclient64.dll                 0x7FF939470000
gameoverlayrenderer64.dll         0x7FF956D40000
XDI.dll                           0x7FF956ED0000
wsfw_identifier.dll               0x7FF956F40000
WhoseQuestIsItAnywayF4.dll        0x7FF957040000
UnlimitedSurvivalMode.dll         0x7FF9570A0000
IPHLPAPI.DLL                      0x7FF9570F0000
Buffout4.dll                      0x7FF957F50000
SprintSpeedController.dll         0x7FF958340000
ShadowBoostFO4.dll                0x7FF9583F0000
RobCo_Patcher.dll                 0x7FF9584C0000
mcm.dll                           0x7FF958630000
tier0_s64.dll                     0x7FF9586D0000
PowerGridTools.dll                0x7FF958F00000
HighFPSPhysicsFix.dll             0x7FF9590E0000
CCExtenderF4.dll                  0x7FF959170000
f4se_1_10_163.dll                 0x7FF959310000
dbghelp_sk64.dll                  0x7FF9593F0000
ReloadFix.dll                     0x7FF95CD10000
vstdlib_s64.dll                   0x7FF95CD60000
Outfit-ReDress-Fix.dll            0x7FF964780000
MSVCR110.dll                      0x7FF9647D0000
MGEFConditionFix.dll              0x7FF964D00000
BetterConsole.dll                 0x7FF965D30000
ResampleDmo.DLL                   0x7FF965DA0000
GCBugFix.dll                      0x7FF966590000
GFSDK_SSAO_D3D11.win64.dll        0x7FF966A70000
cudart64_75.dll                   0x7FF966E20000
flexRelease_x64.dll               0x7FF966E80000
GFSDK_GodraysLib.x64.dll          0x7FF96F960000
ieframe.dll                       0x7FF96FE40000
flexExtRelease_x64.dll            0x7FF970E80000
MSVCP110.dll                      0x7FF970FF0000
WeaponDebrisCrashFix.dll          0x7FF97B220000
Interior-NavCut-Fix.dll           0x7FF97C3E0000
SprintStutteringFix.dll           0x7FF97C830000
encounter_zone_recalculation.dll  0x7FF97C850000
bink2w64.dll                      0x7FF97C880000
nvspcap64.dll                     0x7FF981920000
crafting_highlight_fix.dll        0x7FF982EF0000
AmmoRemover.dll                   0x7FF982F70000
usvfs_x64.dll                     0x7FF9837F0000
DSOUND.DLL                        0x7FF984560000
edputil.dll                       0x7FF992A70000
ondemandconnroutehelper.dll       0x7FF992E00000
MLANG.dll                         0x7FF994610000
VAULTCLI.dll                      0x7FF994850000
amsi.dll                          0x7FF995390000
Windows.StateRepositoryPS.dll     0x7FF998280000
mskeyprotect.dll                  0x7FF998500000
