XINPUT1_3.dll                0x000000400000
X3DAudio1_7.dll              0x000065500000
steam_api64.dll              0x000065510000
d3d11.dll                    0x000180000000
clbcatq.dll                  0x01F7A7800000
tbb.dll                      0x01F7CF290000
tbbmalloc.dll                0x01F7CF340000
LL_fourPlay_1_10_163.dll     0x01F7E62F0000
wsfw_identifier.dll          0x01F7E8040000
MSCTF.dll                    0x01F7ED2E0000
Fallout4.exe                 0x7FF671450000
PhysXDevice64.dll            0x7FFBB8400000
nvcuda64.dll                 0x7FFBB84C0000
nvcuda.dll                   0x7FFBBA7D0000
XAudio2_7.dll                0x7FFBBAB30000
d3dcompiler_46e.dll          0x7FFBBADF0000
gameoverlayrenderer64.dll    0x7FFBBB1B0000
XDI.dll                      0x7FFBBB340000
WmkActiveEffects.dll         0x7FFBBB4B0000
WhoseQuestIsItAnywayF4.dll   0x7FFBBB530000
SUP_F4SE.dll                 0x7FFBBB590000
steamclient64.dll            0x7FFBBB820000
vertibird_jump.dll           0x7FFBBE8C0000
UnlimitedSurvivalMode.dll    0x7FFBBE910000
UnlimitedFastTravel.dll      0x7FFBBE960000
TIM.dll                      0x7FFBBE9B0000
PRKF.dll                     0x7FFBBEA10000
PowerGridTools.dll           0x7FFBBEAA0000
mcm.dll                      0x7FFBBEB10000
Buffout4.dll                 0x7FFBBEBB0000
BLD_Helper.dll               0x7FFBBEF10000
IPHLPAPI.DLL                 0x7FFBBF9C0000
place.dll                    0x7FFBC13C0000
KnockoutFramework.dll        0x7FFBC1440000
HUDPlusPlus.dll              0x7FFBC14A0000
HighFPSPhysicsFix.dll        0x7FFBC1520000
f4ee.dll                     0x7FFBC15B0000
faster_workshop.dll          0x7FFBD1B10000
D3DCOMPILER_43.dll           0x7FFBD1B70000
f4pm.dll                     0x7FFBD1F40000
ClassicHolsteredWeapons.dll  0x7FFBD1FB0000
BakaScrapHeap.dll            0x7FFBD2060000
ESPExplorer.dll              0x7FFBD2230000
BakaFullscreenPipboy.dll     0x7FFBD2290000
Interior-NavCut-Fix.dll      0x7FFBD24B0000
WINHTTP.dll                  0x7FFBD3A50000
DamageThresholdFramework.dll 0x7FFBD97C0000
tier0_s64.dll                0x7FFBD9830000
