XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000060C00000
steam_api64.dll               0x000060C10000
d3d11.dll                     0x000180000000
PSAPI.DLL                     0x01A354AC0000
sfc.dll                       0x01A377300000
Fallout4.exe                  0x7FF645F30000
nvspcap64.dll                 0x7FFA858D0000
nvcuda64.dll                  0x7FFA87810000
steamclient64.dll             0x7FFA881D0000
d3dcompiler_47_64.dll         0x7FFA89E70000
NvCamera64.dll                0x7FFA8BB50000
dxgi.dll                      0x7FFA8D6D0000
d3dcompiler_46e.dll           0x7FFA8DD30000
Buffout4.dll                  0x7FFABC980000
AcLayers.DLL                  0x7FFABDAF0000
ResampleDmo.DLL               0x7FFAC32E0000
DSOUND.DLL                    0x7FFAC33A0000
D3DCOMPILER_43.dll            0x7FFAC3F50000
flexRelease_x64.dll           0x7FFAC6290000
gameoverlayrenderer64.dll     0x7FFAC91B0000
cudart64_75.dll               0x7FFACAA10000
MSVCR110.dll                  0x7FFACAD50000
GFSDK_GodraysLib.x64.dll      0x7FFACAE80000
GFSDK_SSAO_D3D11.win64.dll    0x7FFACB110000
f4se_1_10_163.dll             0x7FFAD1600000
vstdlib_s64.dll               0x7FFAD16E0000
tier0_s64.dll                 0x7FFAD2770000
msdmo.dll                     0x7FFADF600000
MSVCP110.dll                  0x7FFADFC80000
flexExtRelease_x64.dll        0x7FFAE02C0000
AudioDevProps2.dll            0x7FFAE0580000
ASM.Plugin.AudioDevProps2.dll 0x7FFAE1BD0000
bink2w64.dll                  0x7FFAE3B10000
XAudio2_7.dll                 0x7FFAE4000000
AcGenral.DLL                  0x7FFAE43B0000
ondemandconnroutehelper.dll   0x7FFAEB270000
nvwgf2umx.dll                 0x7FFAEEB90000
nvldumdx.dll                  0x7FFAF4A70000
d3dx11_43.dll                 0x7FFAF4B50000
DINPUT8.dll                   0x7FFAF5A00000
usvfs_x64.dll                 0x7FFAF8880000
f4se_steam_loader.dll         0x7FFAFCBF0000
ProductInfo.dll               0x7FFAFCDD0000
WININET.dll                   0x7FFB04F20000
ncryptsslp.dll                0x7FFB08D30000
MessageBus.dll                0x7FFB09AD0000
MPR.dll                       0x7FFB0A4D0000
nvToolsExt64_1.dll            0x7FFB0BDE0000
SortWindows61.dll             0x7FFB0DB10000
Secur32.dll                   0x7FFB0FFC0000
XINPUT9_1_0.dll               0x7FFB10E90000
Windows.UI.dll                0x7FFB158D0000
iertutil.dll                  0x7FFB18100000
srvcli.dll                    0x7FFB183C0000
urlmon.dll                    0x7FFB18C80000
dbghelp.dll                   0x7FFB1DCD0000
inputhost.dll                 0x7FFB1E4B0000
winmmbase.dll                 0x7FFB1FBA0000
WINMM.dll                     0x7FFB201E0000
textinputframework.dll        0x7FFB226C0000
AudioSes.dll                  0x7FFB23550000
nvapi64.dll                   0x7FFB24210000
rasadhlp.dll                  0x7FFB261A0000
MMDevApi.dll                  0x7FFB26DF0000
fwpuclnt.dll                  0x7FFB27200000
drvstore.dll                  0x7FFB273E0000
cryptnet.dll                  0x7FFB275C0000
directxdatabasehelper.dll     0x7FFB27600000
dhcpcsvc.DLL                  0x7FFB27920000
WINHTTP.dll                   0x7FFB27960000
avrt.dll                      0x7FFB27C80000
VERSION.dll                   0x7FFB27E20000
PropSys.dll                   0x7FFB28460000
WindowsCodecs.dll             0x7FFB28BB0000
d3d11.dll                     0x7FFB29A60000
CoreMessaging.dll             0x7FFB2A4E0000
sfc_os.DLL                    0x7FFB2A8C0000
apphelp.dll                   0x7FFB2A8D0000
uxtheme.dll                   0x7FFB2AA30000
dxgi.dll                      0x7FFB2AB60000
dwmapi.dll                    0x7FFB2AC70000
WINNSI.DLL                    0x7FFB2ACA0000
dxcore.dll                    0x7FFB2ACE0000
resourcepolicyclient.dll      0x7FFB2AF80000
wintypes.dll                  0x7FFB2B370000
windows.storage.dll           0x7FFB2B4B0000
HID.DLL                       0x7FFB2BDA0000
netutils.dll                  0x7FFB2C060000
IPHLPAPI.DLL                  0x7FFB2C070000
DNSAPI.dll                    0x7FFB2C0E0000
UMPDC.dll                     0x7FFB2C3A0000
powrprof.dll                  0x7FFB2C3C0000
schannel.DLL                  0x7FFB2C460000
rsaenh.dll                    0x7FFB2C570000
kernel.appcore.dll            0x7FFB2C5B0000
ntmarta.dll                   0x7FFB2C620000
SspiCli.dll                   0x7FFB2C860000
MSWSOCK.dll                   0x7FFB2CA80000
USERENV.dll                   0x7FFB2CB70000
CRYPTSP.dll                   0x7FFB2CCD0000
CRYPTBASE.DLL                 0x7FFB2CCF0000
wldp.dll                      0x7FFB2CD80000
NTASN1.dll                    0x7FFB2CE00000
ncrypt.dll                    0x7FFB2CE40000
bcrypt.dll                    0x7FFB2CE70000
msasn1.dll                    0x7FFB2D170000
devobj.dll                    0x7FFB2D190000
