XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000055A40000
steam_api64.dll               0x000055A50000
d3d11.dll                     0x000180000000
RTSSHooks64.dll               0x01A810740000
MSCTF.dll                     0x01A8389D0000
Fallout4.exe                  0x7FF70C1C0000
steamclient64.dll             0x7FFE40110000
d3dcompiler_46e.dll           0x7FFE45820000
IPHLPAPI.DLL                  0x7FFE45BE0000
Buffout4.dll                  0x7FFE470B0000
gameoverlayrenderer64.dll     0x7FFE47FC0000
wsfw_identifier.dll           0x7FFE48D40000
tier0_s64.dll                 0x7FFE48E40000
XDI.dll                       0x7FFE49400000
PrivateProfileRedirector.dll  0x7FFE49470000
PowerGridTools.dll            0x7FFE494D0000
DSOUND.DLL                    0x7FFE49660000
place.dll                     0x7FFE497F0000
mcm.dll                       0x7FFE49870000
f4se_1_10_163.dll             0x7FFE49BE0000
HighFPSPhysicsFix.dll         0x7FFE4A010000
def_ui.dll                    0x7FFE4A0A0000
D3DCOMPILER_43.dll            0x7FFE4A0E0000
vstdlib_s64.dll               0x7FFE59D30000
crafting_highlight_fix.dll    0x7FFE5B310000
XAudio2_7.dll                 0x7FFE5B3B0000
f4se_steam_loader.dll         0x7FFE6E960000
d3dx11_43.dll                 0x7FFE74210000
winmmbase.dll                 0x7FFE7CF60000
MSVCP140.dll                  0x7FFE821C0000
usvfs_x64.dll                 0x7FFE82820000
flexRelease_x64.dll           0x7FFE82BC0000
cudart64_75.dll               0x7FFE82DD0000
GFSDK_GodraysLib.x64.dll      0x7FFE82EC0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFE83020000
MSVCR110.dll                  0x7FFE830B0000
MSVCP110.dll                  0x7FFE83190000
bink2w64.dll                  0x7FFE83240000
OneCoreCommonProxyStub.dll    0x7FFE8B2E0000
InputHost.dll                 0x7FFE8DF50000
Windows.UI.dll                0x7FFE8E0B0000
VCRUNTIME140.dll              0x7FFE8E680000
textinputframework.dll        0x7FFE8EC70000
MessageBus.dll                0x7FFE90680000
nvwgf2umx.dll                 0x7FFE90FB0000
WINSPOOL.DRV                  0x7FFE972F0000
COMCTL32.dll                  0x7FFE97540000
Oleacc.dll                    0x7FFE98F50000
flexExtRelease_x64.dll        0x7FFE992D0000
webio.dll                     0x7FFE9E690000
MSIMG32.dll                   0x7FFE9E960000
WINMM.dll                     0x7FFE9EF60000
mskeyprotect.dll              0x7FFE9FBD0000
MpOav.dll                     0x7FFE9FE10000
ncryptsslp.dll                0x7FFE9FE90000
amsi.dll                      0x7FFE9FF10000
wbemsvc.dll                   0x7FFEA0330000
fastprox.dll                  0x7FFEA0990000
DbgHelp.dll                   0x7FFEA1160000
wbemcomn.dll                  0x7FFEA15E0000
nvapi64.dll                   0x7FFEA1CC0000
WINHTTP.dll                   0x7FFEA2E30000
drvstore.dll                  0x7FFEA2F40000
Secur32.dll                   0x7FFEA3090000
fwpuclnt.dll                  0x7FFEA32C0000
MMDevApi.dll                  0x7FFEA3470000
dhcpcsvc.DLL                  0x7FFEA3590000
dhcpcsvc6.DLL                 0x7FFEA35F0000
WINNSI.DLL                    0x7FFEA3610000
cryptnet.dll                  0x7FFEA36A0000
VERSION.dll                   0x7FFEA36E0000
nvldumdx.dll                  0x7FFEA3750000
wbemprox.dll                  0x7FFEA3820000
rasadhlp.dll                  0x7FFEA3840000
AUDIOSES.DLL                  0x7FFEA3A90000
OneCoreUAPCommonProxyStub.dll 0x7FFEA3DD0000
dxcore.dll                    0x7FFEA45A0000
twinapi.appcore.dll           0x7FFEA5910000
WindowManagementAPI.dll       0x7FFEA5B70000
WindowsCodecs.dll             0x7FFEA5D10000
avrt.dll                      0x7FFEA61E0000
PROPSYS.dll                   0x7FFEA6450000
nvToolsExt64_1.dll            0x7FFEA68F0000
VCRUNTIME140_1.dll            0x7FFEA6900000
wintypes.dll                  0x7FFEA69D0000
d3d11.dll                     0x7FFEA6F90000
dcomp.dll                     0x7FFEA77C0000
CoreUIComponents.dll          0x7FFEA79B0000
CoreMessaging.dll             0x7FFEA8090000
apphelp.dll                   0x7FFEA82C0000
UxTheme.dll                   0x7FFEA83D0000
dwmapi.dll                    0x7FFEA85A0000
resourcepolicyclient.dll      0x7FFEA85D0000
kernel.appcore.dll            0x7FFEA8990000
windows.storage.dll           0x7FFEA8B90000
HID.DLL                       0x7FFEA9330000
dxgi.dll                      0x7FFEA9370000
schannel.DLL                  0x7FFEA9A30000
rsaenh.dll                    0x7FFEA9B10000
ntmarta.dll                   0x7FFEA9C30000
UMPDC.dll                     0x7FFEA9EF0000
IpHlpAPI.dll                  0x7FFEA9F10000
DNSAPI.dll                    0x7FFEA9F60000
powrprof.dll                  0x7FFEAA080000
MSWSOCK.dll                   0x7FFEAA270000
CRYPTSP.dll                   0x7FFEAA460000
CRYPTBASE.DLL                 0x7FFEAA480000
Wldp.dll                      0x7FFEAA510000
NTASN1.dll                    0x7FFEAA540000
ncrypt.dll                    0x7FFEAA580000
msasn1.dll                    0x7FFEAA6A0000
devobj.dll                    0x7FFEAA860000
DPAPI.DLL                     0x7FFEAA8C0000
USERENV.dll                   0x7FFEAA980000
SSPICLI.DLL                   0x7FFEAA9B0000
profapi.dll                   0x7FFEAAA00000
ucrtbase.dll                  0x7FFEAAAD0000
bcrypt.dll                    0x7FFEAABD0000
bcryptPrimitives.dll          0x7FFEAAC00000
gdi32full.dll                 0x7FFEAAC90000
KERNELBASE.dll                0x7FFEAADB0000
CRYPT32.dll                   0x7FFEAB0B0000
win32u.dll                    0x7FFEAB210000
msvcp_win.dll                 0x7FFEAB240000
cfgmgr32.dll                  0x7FFEAB2E0000
wintrust.dll                  0x7FFEAB330000
SHELL32.dll                   0x7FFEAB450000
OLEAUT32.dll                  0x7FFEABBA0000
USER32.dll                    0x7FFEABC70000
ole32.dll                     0x7FFEABE10000
sechost.dll                   0x7FFEABF40000
COMDLG32.dll                  0x7FFEAC060000
ADVAPI32.dll                  0x7FFEAC350000
SHLWAPI.dll                   0x7FFEAC400000
KERNEL32.DLL                  0x7FFEAC460000
clbcatq.dll                   0x7FFEAC580000
PSAPI.DLL                     0x7FFEAC630000
RPCRT4.dll                    0x7FFEAC6E0000
combase.dll                   0x7FFEAC810000
WS2_32.dll                    0x7FFEACB70000
NSI.dll                       0x7FFEACBE0000
imagehlp.dll                  0x7FFEACC50000
IMM32.DLL                     0x7FFEACC70000
GDI32.dll                     0x7FFEACCA0000
msvcrt.dll                    0x7FFEACCD0000
shcore.dll                    0x7FFEACE90000
SETUPAPI.dll                  0x7FFEACF40000
ntdll.dll                     0x7FFEAD3F0000
