XINPUT1_3.dll                0x000000400000
steam_api64.dll              0x00006C0B0000
X3DAudio1_7.dll              0x00006C0F0000
tbb.dll                      0x000180000000
tbbmalloc.dll                0x01623ABD0000
BetterConsole.dll            0x01623B350000
Fallout4.exe                 0x7FF7E0200000
nvwgf2umx.dll                0x7FFC54DC0000
NvCamera64.dll               0x7FFC63530000
steamclient64.dll            0x7FFC65E10000
d3dcompiler_47_64.dll        0x7FFC67700000
transfer_settlements.dll     0x7FFC67BB0000
gameoverlayrenderer64.dll    0x7FFC6B510000
MessageBus.dll               0x7FFC6B6A0000
XAudio2_7.dll                0x7FFC6C110000
wsfw_identifier.dll          0x7FFC6C690000
SUP_F4SE.dll                 0x7FFC6C790000
Buffout4.dll                 0x7FFC6CA30000
IPHLPAPI.DLL                 0x7FFC6CD90000
DINPUT8.dll                  0x7FFC6D410000
UnlimitedFastTravel.dll      0x7FFC6D930000
terminal+.dll                0x7FFC6D980000
PrivateProfileRedirector.dll 0x7FFC6DAD0000
po3_BaseObjectSwapperF4.dll  0x7FFC6DB30000
WINHTTP.dll                  0x7FFC6DC40000
PowerGridTools.dll           0x7FFC6E0F0000
NVIDIA_Reflex.dll            0x7FFC6E220000
place.dll                    0x7FFC6E760000
MODExplorer.dll              0x7FFC6E7E0000
mcm.dll                      0x7FFC6E860000
HHS.dll                      0x7FFC6EB00000
f4ee.dll                     0x7FFC6EBF0000
MGEFConditionFix.dll         0x7FFC6EE50000
LooksmenuPlayerRotation.dll  0x7FFC6EEA0000
nvspcap64.dll                0x7FFC6F270000
LongLoadingTimesFix.dll      0x7FFC6F630000
BakaFramework.dll            0x7FFC6F690000
HighFPSPhysicsFix.dll        0x7FFC73120000
CONCRT140.dll                0x7FFC73680000
FloatingDamage.dll           0x7FFC74430000
faster_workshop.dll          0x7FFC74490000
gdiplus.dll                  0x7FFC74DE0000
BakaScrapHeap.dll            0x7FFC758A0000
BakaMaxPapyrusOps.dll        0x7FFC759E0000
Interior-NavCut-Fix.dll      0x7FFC75D20000
crafting_highlight_fix.dll   0x7FFC76070000
PlotUI.dll                   0x7FFC76480000
ClockWidget.dll              0x7FFC76EC0000
BodyPartsUI.dll              0x7FFC776F0000
tier0_s64.dll                0x7FFC77740000
f4se_1_10_163.dll            0x7FFC782F0000
vstdlib_s64.dll              0x7FFC783D0000
cudart64_75.dll              0x7FFC78490000
achievements.dll             0x7FFC79550000
GFSDK_SSAO_D3D11.win64.dll   0x7FFC796D0000
GFSDK_GodraysLib.x64.dll     0x7FFC79760000
MSVCR110.dll                 0x7FFC797C0000
WINSPOOL.DRV                 0x7FFC79CB0000
ncryptsslp.dll               0x7FFC7A3F0000
COMCTL32.dll                 0x7FFC7D8F0000
AUDIOSES.DLL                 0x7FFC80440000
Secur32.dll                  0x7FFC808E0000
MpOav.dll                    0x7FFC81380000
amsi.dll                     0x7FFC81400000
fastprox.dll                 0x7FFC81760000
wbemprox.dll                 0x7FFC81860000
nvapi64.dll                  0x7FFC818E0000
winmmbase.dll                0x7FFC82980000
flexExtRelease_x64.dll       0x7FFC832C0000
wbemsvc.dll                  0x7FFC85850000
VCRUNTIME140_1.dll           0x7FFC863C0000
MSVCP140.dll                 0x7FFC863D0000
VCRUNTIME140.dll             0x7FFC86460000
MessageBus.dll               0x7FFC86FE0000
DbgHelp.dll                  0x7FFC87F40000
webio.dll                    0x7FFC88FB0000
wbemcomn.dll                 0x7FFC89BA0000
WINMM.dll                    0x7FFC8AA90000
WININET.dll                  0x7FFC8BE90000
WeaponDebrisCrashFix.dll     0x7FFC8CF10000
ResampleDmo.DLL              0x7FFC8D880000
DSOUND.DLL                   0x7FFC8D940000
inputhost.dll                0x7FFC8DC10000
textinputframework.dll       0x7FFC900C0000
MSVCP110.dll                 0x7FFC90460000
flexRelease_x64.dll          0x7FFC90510000
cryptnet.dll                 0x7FFC916C0000
VERSION.dll                  0x7FFC919C0000
Windows.UI.dll               0x7FFC92980000
SprintStutteringFix.dll      0x7FFC93B00000
bink2w64.dll                 0x7FFC94140000
CoreUIComponents.dll         0x7FFC94230000
drvstore.dll                 0x7FFC95070000
rasadhlp.dll                 0x7FFC957A0000
nvldumdx.dll                 0x7FFC95AB0000
fwpuclnt.dll                 0x7FFC961D0000
directxdatabasehelper.dll    0x7FFC96260000
MMDevApi.dll                 0x7FFC963A0000
PriorityMod.dll              0x7FFC964A0000
f4se_steam_loader.dll        0x7FFC967F0000
dhcpcsvc.DLL                 0x7FFC96A30000
dhcpcsvc6.DLL                0x7FFC96A50000
WINHTTP.DLL                  0x7FFC96BC0000
avrt.dll                     0x7FFC96D30000
msdmo.dll                    0x7FFC97750000
WindowsCodecs.dll            0x7FFC98050000
d3d11.dll                    0x7FFC98510000
dcomp.dll                    0x7FFC98D40000
CoreMessaging.dll            0x7FFC98F90000
XINPUT9_1_0.dll              0x7FFC99710000
MSIMG32.dll                  0x7FFC99720000
nvToolsExt64_1.dll           0x7FFC997A0000
apphelp.dll                  0x7FFC998F0000
WINNSI.DLL                   0x7FFC99A90000
UxTheme.dll                  0x7FFC99AD0000
dxcore.dll                   0x7FFC99BC0000
dxgi.dll                     0x7FFC99C20000
dwmapi.dll                   0x7FFC99D30000
resourcepolicyclient.dll     0x7FFC9A070000
wintypes.dll                 0x7FFC9A380000
windows.storage.dll          0x7FFC9A4C0000
HID.DLL                      0x7FFC9ADB0000
IpHlpAPI.dll                 0x7FFC9B010000
DNSAPI.dll                   0x7FFC9B080000
schannel.DLL                 0x7FFC9B390000
rsaenh.dll                   0x7FFC9B4A0000
kernel.appcore.dll           0x7FFC9B4E0000
ntmarta.dll                  0x7FFC9B550000
SSPICLI.DLL                  0x7FFC9B790000
MSWSOCK.dll                  0x7FFC9BA20000
USERENV.dll                  0x7FFC9BB10000
UMPDC.dll                    0x7FFC9BC80000
CRYPTBASE.DLL                0x7FFC9BCA0000
CRYPTSP.dll                  0x7FFC9BCB0000
powrprof.dll                 0x7FFC9BD00000
wldp.dll                     0x7FFC9BDA0000
NTASN1.dll                   0x7FFC9BE20000
ncrypt.dll                   0x7FFC9BE60000
