XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005A880000
steam_api64.dll               0x00005A890000
mcm.dll                       0x026ABC850000
NSI.dll                       0x026AE59F0000
Fallout4.exe                  0x7FF708980000
PhysXDevice64.dll             0x7FFCC2370000
nvcuda64.dll                  0x7FFCC2430000
nvcuda.dll                    0x7FFCC2DF0000
steamclient64.dll             0x7FFCC51E0000
Buffout4.dll                  0x7FFCE7090000
XAudio2_7.dll                 0x7FFCF2570000
place.dll                     0x7FFCF2600000
nvspcap64.dll                 0x7FFCF46E0000
f4se_1_10_163.dll             0x7FFD05670000
vstdlib_s64.dll               0x7FFD05750000
tier0_s64.dll                 0x7FFD05810000
FloatingDamage.dll            0x7FFD05E40000
cudart64_75.dll               0x7FFD05EA0000
GFSDK_GodraysLib.x64.dll      0x7FFD05F00000
GFSDK_SSAO_D3D11.win64.dll    0x7FFD05F60000
flexRelease_x64.dll           0x7FFD05FF0000
MSVCR110.dll                  0x7FFD064D0000
AchievementsModsEnabler.dll   0x7FFD06DF0000
MSVCP110.dll                  0x7FFD06E30000
bink2w64.dll                  0x7FFD07000000
gameoverlayrenderer64.dll     0x7FFD07090000
flexExtRelease_x64.dll        0x7FFD07D70000
hudextension.dll              0x7FFD12600000
f4se_steam_loader.dll         0x7FFD13ED0000
X3DAudio1_7.dll               0x7FFD1A2B0000
DSOUND.DLL                    0x7FFD1AD10000
MessageBus.dll                0x7FFD1EB40000
OneCoreCommonProxyStub.dll    0x7FFD26BD0000
nvwgf2umx.dll                 0x7FFD27A30000
Windows.UI.dll                0x7FFD2F890000
dxcore.dll                    0x7FFD2FA00000
nvldumdx.dll                  0x7FFD2FB30000
textinputframework.dll        0x7FFD2FD30000
InputHost.dll                 0x7FFD302B0000
WindowManagementAPI.dll       0x7FFD309C0000
mskeyprotect.dll              0x7FFD36770000
ncryptsslp.dll                0x7FFD36880000
OneCoreUAPCommonProxyStub.dll 0x7FFD368B0000
WINMM.dll                     0x7FFD3B8D0000
symamsi.dll                   0x7FFD3F3F0000
Secur32.dll                   0x7FFD3FAC0000
avrt.dll                      0x7FFD40120000
winmmbase.dll                 0x7FFD40130000
amsi.dll                      0x7FFD41230000
wbemsvc.dll                   0x7FFD41690000
fastprox.dll                  0x7FFD41BF0000
wbemcomn.dll                  0x7FFD42BA0000
wbemprox.dll                  0x7FFD42FF0000
fwpuclnt.dll                  0x7FFD43700000
rasadhlp.dll                  0x7FFD43890000
webio.dll                     0x7FFD43B80000
PROPSYS.dll                   0x7FFD43C70000
nvapi64.dll                   0x7FFD43D90000
nvToolsExt64_1.dll            0x7FFD448B0000
dbghelp.dll                   0x7FFD45670000
WINHTTP.dll                   0x7FFD45960000
dhcpcsvc.DLL                  0x7FFD46240000
dhcpcsvc6.DLL                 0x7FFD46430000
WINNSI.DLL                    0x7FFD46450000
drvstore.dll                  0x7FFD46630000
cryptnet.dll                  0x7FFD46880000
VERSION.dll                   0x7FFD469D0000
twinapi.appcore.dll           0x7FFD469E0000
MMDevApi.dll                  0x7FFD474D0000
AUDIOSES.DLL                  0x7FFD47560000
d3d11.dll                     0x7FFD47920000
CoreMessaging.dll             0x7FFD47B90000
wintypes.dll                  0x7FFD48280000
dcomp.dll                     0x7FFD48450000
CoreUIComponents.dll          0x7FFD48B70000
uxtheme.dll                   0x7FFD490C0000
dwmapi.dll                    0x7FFD491A0000
resourcepolicyclient.dll      0x7FFD492D0000
kernel.appcore.dll            0x7FFD495B0000
windows.storage.dll           0x7FFD497B0000
HID.DLL                       0x7FFD49F50000
dxgi.dll                      0x7FFD4A0B0000
schannel.DLL                  0x7FFD4A5F0000
rsaenh.dll                    0x7FFD4A6D0000
ntmarta.dll                   0x7FFD4A810000
IPHLPAPI.DLL                  0x7FFD4AAB0000
DNSAPI.dll                    0x7FFD4AAF0000
MSWSOCK.dll                   0x7FFD4ADC0000
CRYPTSP.dll                   0x7FFD4AFB0000
CRYPTBASE.DLL                 0x7FFD4AFD0000
Wldp.dll                      0x7FFD4B0C0000
NTASN1.dll                    0x7FFD4B0F0000
ncrypt.dll                    0x7FFD4B130000
UMPDC.dll                     0x7FFD4B250000
powrprof.dll                  0x7FFD4B270000
msasn1.dll                    0x7FFD4B2C0000
devobj.dll                    0x7FFD4B480000
DPAPI.DLL                     0x7FFD4B4E0000
USERENV.dll                   0x7FFD4B5A0000
SSPICLI.DLL                   0x7FFD4B5D0000
profapi.dll                   0x7FFD4B620000
KERNELBASE.dll                0x7FFD4B6F0000
bcryptPrimitives.dll          0x7FFD4B9F0000
gdi32full.dll                 0x7FFD4BA80000
cfgmgr32.dll                  0x7FFD4BBA0000
CRYPT32.dll                   0x7FFD4BBF0000
bcrypt.dll                    0x7FFD4BD50000
wintrust.dll                  0x7FFD4BD80000
win32u.dll                    0x7FFD4BEA0000
msvcp_win.dll                 0x7FFD4BED0000
ucrtbase.dll                  0x7FFD4BF70000
OLEAUT32.dll                  0x7FFD4C070000
ADVAPI32.dll                  0x7FFD4C140000
WS2_32.dll                    0x7FFD4C1F0000
clbcatq.dll                   0x7FFD4C260000
PSAPI.DLL                     0x7FFD4C310000
GDI32.dll                     0x7FFD4C320000
msvcrt.dll                    0x7FFD4C350000
KERNEL32.DLL                  0x7FFD4C3F0000
SHCORE.dll                    0x7FFD4C590000
MSCTF.dll                     0x7FFD4C800000
imagehlp.dll                  0x7FFD4C920000
sechost.dll                   0x7FFD4C940000
RPCRT4.dll                    0x7FFD4C9E0000
shlwapi.dll                   0x7FFD4CB10000
SHELL32.dll                   0x7FFD4CB70000
combase.dll                   0x7FFD4D2C0000
IMM32.DLL                     0x7FFD4D620000
SETUPAPI.dll                  0x7FFD4D7A0000
ole32.dll                     0x7FFD4DCA0000
USER32.dll                    0x7FFD4DDD0000
ntdll.dll                     0x7FFD4E010000
