XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006AC90000
steam_api64.dll                    0x00006ACA0000
d3d11.dll                          0x000180000000
tbb.dll                            0x02508DBD0000
PSAPI.DLL                          0x02508DCA0000
tbbmalloc.dll                      0x02508DCC0000
LL_fourPlay_1_10_163.dll           0x0250BAAC0000
wsfw_identifier.dll                0x0250CBAD0000
RTSSHooks64.dll                    0x0250CC890000
Fallout4.exe                       0x7FF7C5970000
d3dcompiler_46e.dll                0x7FF9E1630000
gameoverlayrenderer64.dll          0x7FF9E19F0000
steamclient64.dll                  0x7FF9E1B80000
XAudio2_7.dll                      0x7FF9EF3D0000
XDI.dll                            0x7FF9EF550000
WmkActiveEffects.dll               0x7FF9EF6C0000
WhoseQuestIsItAnywayF4.dll         0x7FF9EF740000
SUP_F4SE.dll                       0x7FF9EF8A0000
IPHLPAPI.DLL                       0x7FF9EFB40000
UnlimitedSurvivalMode.dll          0x7FF9FAF30000
UneducatedShooter.dll              0x7FF9FBCC0000
TIM.dll                            0x7FF9FC9B0000
SprintSpeedController.dll          0x7FF9FCA10000
ShadowBoostFO4.dll                 0x7FF9FCA60000
SettlementOfUnlimitedSize.dll      0x7FF9FCB30000
ScreenArcherMenu.dll               0x7FF9FCB80000
SAF.dll                            0x7FF9FCCE0000
RustyFaceFix.dll                   0x7FF9FCDD0000
RobCo_Patcher.dll                  0x7FF9FD160000
PRKF.dll                           0x7FF9FD240000
PowerGridTools.dll                 0x7FF9FD2D0000
ENBInputDisabler.dll               0x7FF9FD340000
rename_anything.dll                0x7FF9FED20000
enbhelperf4.dll                    0x7FF9FED70000
ReloadFix.dll                      0x7FF9FF3E0000
po3_SpellPerkItemDistributorF4.dll 0x7FF9FF430000
place.dll                          0x7FF9FF540000
Outfit-ReDress-Fix.dll             0x7FF9FF5C0000
mcm.dll                            0x7FF9FF610000
NativeSync.dll                     0x7FFA00590000
LighthousePapyrusExtender.dll      0x7FFA005E0000
MGEFConditionFix.dll               0x7FFA02830000
HHS.dll                            0x7FFA02880000
LooksmenuPlayerRotation.dll        0x7FFA09F50000
HighFPSPhysicsFix.dll              0x7FFA0A160000
f4ee.dll                           0x7FFA0A590000
LongLoadingTimesFix.dll            0x7FFA0A930000
Buffout4.dll                       0x7FFA0A990000
FavoritesMenuEx.dll                0x7FFA0BA50000
CONCRT140.dll                      0x7FFA12B40000
Interior-NavCut-Fix.dll            0x7FFA17CA0000
usvfs_x64.dll                      0x7FFA1FCC0000
BakaFramework.dll                  0x7FFA24E60000
GCBugFix.dll                       0x7FFA2B040000
ClassicHolsteredWeapons.dll        0x7FFA2CED0000
f4pm.dll                           0x7FFA2F7F0000
f4se_1_10_163.dll                  0x7FFA2F920000
D3DCOMPILER_43.dll                 0x7FFA2FE90000
WINHTTP.dll                        0x7FFA30100000
DisableExitSave.dll                0x7FFA305A0000
tier0_s64.dll                      0x7FFA305F0000
crafting_highlight_fix.dll         0x7FFA31EF0000
CCExtenderF4.dll                   0x7FFA327B0000
BakaMaxPapyrusOps.dll              0x7FFA33A30000
cbp.dll                            0x7FFA33D40000
ConsoleUtilF4.dll                  0x7FFA344A0000
BulletCountedReload.dll            0x7FFA34700000
CHW_ASS.dll                        0x7FFA37A40000
BodyPartsUI.dll                    0x7FFA39910000
vstdlib_s64.dll                    0x7FFA39AB0000
PriorityMod.dll                    0x7FFA3A1A0000
encounter_zone_recalculation.dll   0x7FFA3B8C0000
BlockingOverhaul.dll               0x7FFA3B8F0000
BetterConsole.dll                  0x7FFA3BBC0000
flexRelease_x64.dll                0x7FFA3BCA0000
