XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000050120000
steam_api64.dll               0x000050130000
Fallout4.exe                  0x7FF6895C0000
nvcuda64.dll                  0x7FFF40980000
d3dcompiler_47_64.dll         0x7FFF41340000
NvCamera64.dll                0x7FFF41750000
Buffout4.dll                  0x7FFF41FC0000
steamclient64.dll             0x7FFF42320000
IPHLPAPI.DLL                  0x7FFF43930000
XAudio2_7.dll                 0x7FFF45320000
gameoverlayrenderer64.dll     0x7FFF45860000
HHS.dll                       0x7FFF45BE0000
tier0_s64.dll                 0x7FFF58A10000
f4ee.dll                      0x7FFF58CA0000
BakaScrapHeap.dll             0x7FFF5CC60000
f4se_1_10_163.dll             0x7FFF5DB30000
HighFPSPhysicsFix.dll         0x7FFF5DCB0000
flexRelease_x64.dll           0x7FFF5E140000
nvspcap64.dll                 0x7FFF5ED50000
vstdlib_s64.dll               0x7FFF6D860000
ResampleDmo.DLL               0x7FFF7D760000
DSOUND.DLL                    0x7FFF7D820000
DINPUT8.dll                   0x7FFF7DE60000
cudart64_75.dll               0x7FFF7DEB0000
MSVCR110.dll                  0x7FFF7DF10000
MSVCP110.dll                  0x7FFF7E080000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF7E150000
GFSDK_GodraysLib.x64.dll      0x7FFF7E520000
bink2w64.dll                  0x7FFF7E580000
flexExtRelease_x64.dll        0x7FFF90D10000
MSVCP140.dll                  0x7FFF93FF0000
VCRUNTIME140.dll              0x7FFF94080000
VCRUNTIME140_1.dll            0x7FFF992B0000
f4se_steam_loader.dll         0x7FFF9B340000
Secur32.dll                   0x7FFF9EE60000
MessageBus.dll                0x7FFFA9C90000
msdmo.dll                     0x7FFFAABB0000
XINPUT9_1_0.dll               0x7FFFAC060000
nvwgf2umx.dll                 0x7FFFAD060000
winmmbase.dll                 0x7FFFB4070000
Windows.UI.dll                0x7FFFB4420000
inputhost.dll                 0x7FFFB46C0000
textinputframework.dll        0x7FFFB5EF0000
OneCoreCommonProxyStub.dll    0x7FFFB6020000
AUDIOSES.DLL                  0x7FFFB6290000
MessageBus.dll                0x7FFFB74E0000
WINSPOOL.DRV                  0x7FFFB7DA0000
COMCTL32.dll                  0x7FFFB7E40000
MSIMG32.dll                   0x7FFFB8290000
DbgHelp.dll                   0x7FFFB8500000
WINMM.dll                     0x7FFFB8FB0000
nvapi64.dll                   0x7FFFB9E70000
nvldumdx.dll                  0x7FFFBA920000
MMDevApi.dll                  0x7FFFBB240000
OneCoreUAPCommonProxyStub.dll 0x7FFFBB2E0000
drvstore.dll                  0x7FFFBD750000
cryptnet.dll                  0x7FFFBDAB0000
VERSION.dll                   0x7FFFBDAF0000
CoreUIComponents.dll          0x7FFFBDB80000
WINHTTP.dll                   0x7FFFBE3D0000
directxdatabasehelper.dll     0x7FFFBE510000
dhcpcsvc.DLL                  0x7FFFBE940000
avrt.dll                      0x7FFFBE9F0000
WindowsCodecs.dll             0x7FFFBFEB0000
d3d11.dll                     0x7FFFC02D0000
nvToolsExt64_1.dll            0x7FFFC0B30000
dcomp.dll                     0x7FFFC0C60000
CoreMessaging.dll             0x7FFFC1390000
UxTheme.dll                   0x7FFFC2050000
dxgi.dll                      0x7FFFC21C0000
dwmapi.dll                    0x7FFFC22D0000
dxcore.dll                    0x7FFFC2340000
resourcepolicyclient.dll      0x7FFFC25E0000
wintypes.dll                  0x7FFFC29D0000
windows.storage.dll           0x7FFFC2B10000
HID.DLL                       0x7FFFC3400000
IpHlpAPI.dll                  0x7FFFC36D0000
UMPDC.dll                     0x7FFFC3A00000
powrprof.dll                  0x7FFFC3A20000
rsaenh.dll                    0x7FFFC3BD0000
kernel.appcore.dll            0x7FFFC3C10000
ntmarta.dll                   0x7FFFC3C80000
SSPICLI.DLL                   0x7FFFC3EC0000
MSWSOCK.dll                   0x7FFFC40E0000
CRYPTSP.dll                   0x7FFFC4330000
CRYPTBASE.DLL                 0x7FFFC4350000
wldp.dll                      0x7FFFC43E0000
bcrypt.dll                    0x7FFFC44D0000
msasn1.dll                    0x7FFFC47D0000
devobj.dll                    0x7FFFC47F0000
cfgmgr32.dll                  0x7FFFC4820000
profapi.dll                   0x7FFFC4A60000
win32u.dll                    0x7FFFC4B30000
CRYPT32.dll                   0x7FFFC4C20000
gdi32full.dll                 0x7FFFC4D90000
KERNELBASE.dll                0x7FFFC4EB0000
bcryptPrimitives.dll          0x7FFFC5260000
ucrtbase.dll                  0x7FFFC52E0000
msvcp_win.dll                 0x7FFFC5400000
wintrust.dll                  0x7FFFC54A0000
MSCTF.dll                     0x7FFFC5530000
PSAPI.DLL                     0x7FFFC5660000
clbcatq.dll                   0x7FFFC5700000
RPCRT4.dll                    0x7FFFC57B0000
ole32.dll                     0x7FFFC58D0000
NSI.dll                       0x7FFFC5A70000
imagehlp.dll                  0x7FFFC5A80000
msvcrt.dll                    0x7FFFC5B20000
ADVAPI32.dll                  0x7FFFC5BE0000
shcore.dll                    0x7FFFC5CF0000
COMDLG32.dll                  0x7FFFC5DF0000
WS2_32.dll                    0x7FFFC5EF0000
SETUPAPI.dll                  0x7FFFC5FF0000
SHELL32.dll                   0x7FFFC6470000
KERNEL32.DLL                  0x7FFFC6C90000
SHLWAPI.dll                   0x7FFFC6F20000
OLEAUT32.dll                  0x7FFFC6F80000
IMM32.DLL                     0x7FFFC7060000
USER32.dll                    0x7FFFC70A0000
combase.dll                   0x7FFFC7250000
GDI32.dll                     0x7FFFC7630000
sechost.dll                   0x7FFFC7660000
ntdll.dll                     0x7FFFC7750000
