XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000073BB0000
steam_api64.dll                    0x000073BC0000
d3d11.dll                          0x000180000000
PSAPI.DLL                          0x0262328B0000
ESPExplorer.dll                    0x026235240000
LL_fourPlay_1_10_163.dll           0x026235320000
Fallout4.exe                       0x7FF7E37F0000
PhysXDevice64.dll                  0x7FF905E30000
nvcuda64.dll                       0x7FF905EF0000
nvcuda.dll                         0x7FF9068B0000
XAudio2_7.dll                      0x7FF906C10000
d3dcompiler_46e.dll                0x7FF906CA0000
gameoverlayrenderer64.dll          0x7FF907060000
XDI.dll                            0x7FF9073B0000
wsfw_identifier.dll                0x7FF907420000
UneducatedShooter.dll              0x7FF907520000
RobCo_Patcher.dll                  0x7FF907580000
PRKF.dll                           0x7FF907660000
PowerGridTools.dll                 0x7FF9076F0000
po3_SpellPerkItemDistributorF4.dll 0x7FF907760000
po3_BaseObjectSwapperF4.dll        0x7FF907870000
place.dll                          0x7FF907980000
NVIDIA_Reflex.dll                  0x7FF907A00000
mcm.dll                            0x7FF907AD0000
LighthousePapyrusExtender.dll      0x7FF907B70000
CONCRT140.dll                      0x7FF907C50000
Interior-NavCut-Fix.dll            0x7FF907CA0000
HighFPSPhysicsFix.dll              0x7FF907CF0000
FakeThroughScope.dll               0x7FF907D80000
f4ee.dll                           0x7FF907E50000
BulletCountedReload.dll            0x7FF907F60000
Buffout4.dll                       0x7FF907FF0000
steamclient64.dll                  0x7FF9099B0000
hudextension.dll                   0x7FF90BB90000
BLD_Helper.dll                     0x7FF90BBE0000
BakaMaxPapyrusOps.dll              0x7FF90BF40000
BakaFramework.dll                  0x7FF90BFF0000
f4se_1_10_163.dll                  0x7FF90C920000
tier0_s64.dll                      0x7FF90CA00000
D3DCOMPILER_43.dll                 0x7FF90CBA0000
enbhelperf4.dll                    0x7FF90E0F0000
flexRelease_x64.dll                0x7FF90E130000
crafting_highlight_fix.dll         0x7FF910610000
AutoBeam.dll                       0x7FF910660000
MSVCR110.dll                       0x7FF9106C0000
vstdlib_s64.dll                    0x7FF913650000
f4se_steam_loader.dll              0x7FF913FA0000
MSVCP110.dll                       0x7FF913FE0000
cudart64_75.dll                    0x7FF914320000
GFSDK_SSAO_D3D11.win64.dll         0x7FF9163A0000
bink2w64.dll                       0x7FF916430000
GFSDK_GodraysLib.x64.dll           0x7FF916B60000
encounter_zone_recalculation.dll   0x7FF917E10000
flexExtRelease_x64.dll             0x7FF918CF0000
nvspcap64.dll                      0x7FF933730000
atcuf64.dll                        0x7FF93D0F0000
bdhkm64.dll                        0x7FF93D250000
d3dx11_43.dll                      0x7FF93D5B0000
xinput1_4.dll                      0x7FF94BCE0000
WeaponDebrisCrashFix.dll           0x7FF951240000
SprintStutteringFix.dll            0x7FF953530000
mskeyprotect.dll                   0x7FF953780000
ncryptsslp.dll                     0x7FF953CB0000
MSVCP140.dll                       0x7FF9569C0000
VCRUNTIME140_1.dll                 0x7FF956A60000
VCRUNTIME140.dll                   0x7FF956A70000
winmmbase.dll                      0x7FF956A90000
DSOUND.DLL                         0x7FF956AC0000
nvToolsExt64_1.dll                 0x7FF95B210000
textinputframework.dll             0x7FF95B5F0000
Windows.UI.dll                     0x7FF95BB90000
inputhost.dll                      0x7FF95BCE0000
AUDIOSES.DLL                       0x7FF95CDE0000
OneCoreCommonProxyStub.dll         0x7FF95DB20000
dbgcore.DLL                        0x7FF95E170000
webio.dll                          0x7FF961B50000
nvwgf2umx.dll                      0x7FF963AD0000
nvapi64.dll                        0x7FF9699B0000
rasadhlp.dll                       0x7FF96A150000
Secur32.dll                        0x7FF96AD00000
amsi.dll                           0x7FF96BD10000
MessageBus.dll                     0x7FF96C6A0000
fwpuclnt.dll                       0x7FF96D2A0000
COMCTL32.dll                       0x7FF96D620000
MMDevApi.dll                       0x7FF96FD90000
wbemsvc.dll                        0x7FF970CD0000
fastprox.dll                       0x7FF970EC0000
wbemcomn.dll                       0x7FF9717E0000
wbemprox.dll                       0x7FF971870000
drvstore.dll                       0x7FF972910000
nvldumdx.dll                       0x7FF972EA0000
dxcore.dll                         0x7FF9735C0000
dbghelp.dll                        0x7FF9736F0000
WINHTTP.dll                        0x7FF9742E0000
OneCoreUAPCommonProxyStub.dll      0x7FF9746F0000
dhcpcsvc6.DLL                      0x7FF9751F0000
dhcpcsvc.DLL                       0x7FF9754E0000
cryptnet.dll                       0x7FF975570000
WINNSI.DLL                         0x7FF9755B0000
VERSION.dll                        0x7FF975820000
WindowsCodecs.dll                  0x7FF9759B0000
twinapi.appcore.dll                0x7FF975CA0000
WINMM.dll                          0x7FF975EB0000
WindowManagementAPI.dll            0x7FF975F90000
avrt.dll                           0x7FF976620000
PROPSYS.dll                        0x7FF976E20000
d3d11.dll                          0x7FF976FB0000
D3DCOMPILER_47.dll                 0x7FF977260000
wintypes.dll                       0x7FF977C80000
dcomp.dll                          0x7FF977F80000
CoreUIComponents.dll               0x7FF978540000
