XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000068320000
steam_api64.dll               0x000068330000
d3d11.dll                     0x000180000000
NSI.dll                       0x021E20AB0000
Fallout4.exe                  0x7FF799BC0000
nvwgf2umx.dll                 0x7FFA97A70000
steamclient64.dll             0x7FFABB010000
MessageBus.dll                0x7FFAC0170000
d3dcompiler_46e.dll           0x7FFAC6AA0000
XAudio2_7.dll                 0x7FFAC8B00000
transfer_settlements.dll      0x7FFAC8E50000
auto_backup_executable.dll    0x7FFACAC40000
gameoverlayrenderer64.dll     0x7FFACB000000
wsfw_identifier.dll           0x7FFACE390000
XDI.dll                       0x7FFAD2EC0000
terminal+.dll                 0x7FFAD3F80000
Buffout4.dll                  0x7FFAD4160000
mcm.dll                       0x7FFAD55F0000
f4ee.dll                      0x7FFAD5690000
BakaScrapHeap.dll             0x7FFAD57A0000
f4se_1_10_163.dll             0x7FFADA850000
HighFPSPhysicsFix.dll         0x7FFADE1C0000
D3DCOMPILER_43.dll            0x7FFADEEF0000
DSOUND.DLL                    0x7FFADF160000
PowerGridTools.dll            0x7FFADF200000
ClassicHolsteredWeapons.dll   0x7FFADFCF0000
BulletCountedReload.dll       0x7FFAE03F0000
vstdlib_s64.dll               0x7FFAE1400000
tier0_s64.dll                 0x7FFAE14C0000
IPHLPAPI.DLL                  0x7FFAE1660000
flexRelease_x64.dll           0x7FFAE1C20000
MSVCR110.dll                  0x7FFAE26C0000
place.dll                     0x7FFAE2DE0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFAE44F0000
FloatingDamage.dll            0x7FFAE4AB0000
bink2w64.dll                  0x7FFAE5540000
F4z Ro D'oh.dll               0x7FFAF18D0000
BetterConsole.dll             0x7FFAF2310000
MSVCP110.dll                  0x7FFAF2E80000
GFSDK_GodraysLib.x64.dll      0x7FFAF4850000
cudart64_75.dll               0x7FFAF5250000
flexExtRelease_x64.dll        0x7FFAF5A30000
winmmbase.dll                 0x7FFAF9120000
nvspcap64.dll                 0x7FFAFA410000
ncryptsslp.dll                0x7FFB01670000
enbhelperf4.dll               0x7FFB048C0000
d3dx11_43.dll                 0x7FFB04A90000
f4se_steam_loader.dll         0x7FFB05B40000
nvapi64.dll                   0x7FFB084E0000
PriorityMod.dll               0x7FFB09DB0000
WeaponDebrisCrashFix.dll      0x7FFB0CF40000
MpOav.dll                     0x7FFB0DB60000
mskeyprotect.dll              0x7FFB0EC70000
amsi.dll                      0x7FFB17EE0000
dxcore.dll                    0x7FFB18260000
WindowsCodecs.dll             0x7FFB19460000
WindowManagementAPI.dll       0x7FFB19A70000
Windows.UI.dll                0x7FFB19B20000
textinputframework.dll        0x7FFB19D80000
InputHost.dll                 0x7FFB1A930000
WINSPOOL.DRV                  0x7FFB1AA90000
COMCTL32.dll                  0x7FFB1B7F0000
Secur32.dll                   0x7FFB1C200000
MSVCP140.dll                  0x7FFB1C6E0000
OneCoreUAPCommonProxyStub.dll 0x7FFB1CC50000
WINMM.dll                     0x7FFB1DC50000
fwpuclnt.dll                  0x7FFB21A30000
webio.dll                     0x7FFB21CC0000
fastprox.dll                  0x7FFB22390000
rasadhlp.dll                  0x7FFB228A0000
wbemsvc.dll                   0x7FFB228F0000
wbemcomn.dll                  0x7FFB22A10000
nvldumdx.dll                  0x7FFB23830000
OneCoreCommonProxyStub.dll    0x7FFB24CC0000
wbemprox.dll                  0x7FFB24F10000
twinapi.appcore.dll           0x7FFB24F30000
WINHTTP.dll                   0x7FFB252F0000
drvstore.dll                  0x7FFB25940000
dhcpcsvc6.DLL                 0x7FFB25AE0000
cryptnet.dll                  0x7FFB25D20000
VERSION.dll                   0x7FFB26570000
MSIMG32.dll                   0x7FFB268E0000
dhcpcsvc.DLL                  0x7FFB26A40000
SprintStutteringFix.dll       0x7FFB26B00000
WINNSI.DLL                    0x7FFB26E50000
avrt.dll                      0x7FFB26E60000
MMDevApi.dll                  0x7FFB276C0000
AUDIOSES.DLL                  0x7FFB278B0000
nvToolsExt64_1.dll            0x7FFB27C90000
VCRUNTIME140.dll              0x7FFB27E80000
VCRUNTIME140_1.dll            0x7FFB28890000
PROPSYS.dll                   0x7FFB28D60000
d3d11.dll                     0x7FFB290E0000
wintypes.dll                  0x7FFB29D70000
dcomp.dll                     0x7FFB29EE0000
CoreUIComponents.dll          0x7FFB2A450000
CoreMessaging.dll             0x7FFB2A7B0000
UxTheme.dll                   0x7FFB2ABD0000
resourcepolicyclient.dll      0x7FFB2AC90000
dwmapi.dll                    0x7FFB2AF90000
DbgHelp.dll                   0x7FFB2B340000
windows.storage.dll           0x7FFB2B530000
HID.DLL                       0x7FFB2BE20000
kernel.appcore.dll            0x7FFB2BEA0000
dxgi.dll                      0x7FFB2BEC0000
schannel.DLL                  0x7FFB2C520000
rsaenh.dll                    0x7FFB2C600000
ntmarta.dll                   0x7FFB2C720000
IpHlpAPI.dll                  0x7FFB2CA30000
DNSAPI.dll                    0x7FFB2CA70000
UMPDC.dll                     0x7FFB2CB50000
powrprof.dll                  0x7FFB2CBD0000
MSWSOCK.dll                   0x7FFB2CDB0000
CRYPTSP.dll                   0x7FFB2CFA0000
CRYPTBASE.DLL                 0x7FFB2CFC0000
Wldp.dll                      0x7FFB2D050000
NTASN1.dll                    0x7FFB2D080000
ncrypt.dll                    0x7FFB2D0C0000
msasn1.dll                    0x7FFB2D1E0000
devobj.dll                    0x7FFB2D3A0000
DPAPI.DLL                     0x7FFB2D400000
SSPICLI.DLL                   0x7FFB2D4C0000
