XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000051020000
mdnsNSP.dll                        0x000051460000
d3d11.dll                          0x000180000000
Fallout4.exe                       0x7FF7F1EB0000
d3dcompiler_46e.dll                0x7FFC7CE50000
XDI.dll                            0x7FFC7D210000
wsfw_identifier.dll                0x7FFC7D280000
WmkActiveEffects.dll               0x7FFC7E160000
SideAimAni.dll                     0x7FFC7E850000
ShieldFramework.dll                0x7FFC7E8F0000
ScreenArcherMenu.dll               0x7FFC7E970000
SAF.dll                            0x7FFC7EAD0000
RobCo_Patcher.dll                  0x7FFC7EBC0000
PowerGridTools.dll                 0x7FFC7ECA0000
po3_SpellPerkItemDistributorF4.dll 0x7FFC7ED10000
Buffout4.dll                       0x7FFC7EE20000
D3DCOMPILER_43.dll                 0x7FFC7F180000
Galaxy64.dll                       0x7FFC7F3F0000
place.dll                          0x7FFCB2AB0000
mcm.dll                            0x7FFCC14E0000
HighFPSPhysicsFix.dll              0x7FFCC1580000
f4pm.dll                           0x7FFCC1610000
flexRelease_x64.dll                0x7FFCC1680000
UneducatedShooter.dll              0x7FFCC2710000
f4ee.dll                           0x7FFCC4E80000
ClassicHolsteredWeapons.dll        0x7FFCC58F0000
BakaScrapHeap.dll                  0x7FFCC5FD0000
UnlimitedSurvivalMode.dll          0x7FFCC63A0000
BakaFramework.dll                  0x7FFCC63F0000
RefLookup.dll                      0x7FFCCBFD0000
f4se_1_10_163.dll                  0x7FFCCD460000
GLXRM_ScalingFlagRemover.dll       0x7FFCCD7B0000
FreeFlyCam Fo4.dll                 0x7FFCCEB10000
cbp.dll                            0x7FFCCEB60000
BulletCountedReload.dll            0x7FFCD0DE0000
enbhelperf4.dll                    0x7FFCD2670000
BetterConsole.dll                  0x7FFCDB170000
d3dx11_43.dll                      0x7FFCE0330000
GFSDK_SSAO_D3D11.win64.dll         0x7FFCE0380000
cudart64_75.dll                    0x7FFCE2280000
MSVCR110.dll                       0x7FFCE22E0000
MSVCP110.dll                       0x7FFCE3950000
bink2w64.dll                       0x7FFCE3A00000
GFSDK_GodraysLib.x64.dll           0x7FFCE5790000
XAudio2_7.dll                      0x7FFCE58F0000
steam_api64.dll                    0x7FFCE60B0000
flexExtRelease_x64.dll             0x7FFCE6960000
SprintStutteringFix.dll            0x7FFCEC4B0000
ResampleDmo.DLL                    0x7FFCF2D80000
ncryptsslp.dll                     0x7FFCF50C0000
nvToolsExt64_1.dll                 0x7FFCF6EC0000
nlansp_c.dll                       0x7FFD02060000
winrnr.dll                         0x7FFD020B0000
pnrpnsp.dll                        0x7FFD020D0000
napinsp.dll                        0x7FFD020F0000
DSOUND.DLL                         0x7FFD025E0000
winmmbase.dll                      0x7FFD028A0000
VCRUNTIME140_1.dll                 0x7FFD02940000
MSVCP140.dll                       0x7FFD02DB0000
VCRUNTIME140.dll                   0x7FFD02EE0000
ondemandconnroutehelper.dll        0x7FFD03460000
secur32.dll                        0x7FFD06FA0000
rasadhlp.dll                       0x7FFD08520000
xinput1_4.dll                      0x7FFD08900000
COMCTL32.dll                       0x7FFD0DFE0000
inputhost.dll                      0x7FFD0FCD0000
msdmo.dll                          0x7FFD11590000
WININET.dll                        0x7FFD12970000
iertutil.dll                       0x7FFD12FD0000
Windows.UI.dll                     0x7FFD141A0000
AUDIOSES.DLL                       0x7FFD15730000
textinputframework.dll             0x7FFD159D0000
amdihk64.dll                       0x7FFD161B0000
atidxx64.dll                       0x7FFD161F0000
MMDevApi.dll                       0x7FFD18570000
amdxx64.dll                        0x7FFD18880000
WINMM.dll                          0x7FFD1C880000
aticfx64.dll                       0x7FFD1C9C0000
CoreUIComponents.dll               0x7FFD1E5D0000
fwpuclnt.dll                       0x7FFD1EBD0000
VERSION.dll                        0x7FFD1EE60000
directxdatabasehelper.dll          0x7FFD1F0E0000
wshbth.dll                         0x7FFD1F130000
dbghelp.dll                        0x7FFD1F520000
WINHTTP.dll                        0x7FFD1F840000
avrt.dll                           0x7FFD202E0000
D3DCOMPILER_47.dll                 0x7FFD21E80000
d3d11.dll                          0x7FFD22CC0000
dcomp.dll                          0x7FFD22F20000
CoreMessaging.dll                  0x7FFD23580000
apphelp.dll                        0x7FFD23970000
WINNSI.DLL                         0x7FFD23B10000
uxtheme.dll                        0x7FFD23B60000
dxcore.dll                         0x7FFD23C60000
dxgi.dll                           0x7FFD23CA0000
dwmapi.dll                         0x7FFD23EA0000
resourcepolicyclient.dll           0x7FFD24010000
wintypes.dll                       0x7FFD24410000
windows.storage.dll                0x7FFD24550000
HID.DLL                            0x7FFD24E20000
IPHLPAPI.DLL                       0x7FFD25080000
DNSAPI.dll                         0x7FFD250F0000
schannel.DLL                       0x7FFD25410000
rsaenh.dll                         0x7FFD25510000
kernel.appcore.dll                 0x7FFD255A0000
SspiCli.dll                        0x7FFD257F0000
MSWSOCK.dll                        0x7FFD25A10000
CRYPTSP.dll                        0x7FFD25C70000
CRYPTBASE.DLL                      0x7FFD25C90000
MSASN1.dll                         0x7FFD25CD0000
NTASN1.dll                         0x7FFD25DC0000
ncrypt.dll                         0x7FFD25E00000
bcrypt.dll                         0x7FFD25E30000
DEVOBJ.dll                         0x7FFD26190000
cfgmgr32.DLL                       0x7FFD261C0000
UMPDC.dll                          0x7FFD26250000
powrprof.dll                       0x7FFD26370000
profapi.dll                        0x7FFD26480000
gdi32full.dll                      0x7FFD26550000
KERNELBASE.dll                     0x7FFD26670000
ucrtbase.dll                       0x7FFD26A20000
WINTRUST.dll                       0x7FFD26C00000
bcryptPrimitives.dll               0x7FFD26C70000
msvcp_win.dll                      0x7FFD26CF0000
CRYPT32.dll                        0x7FFD26D90000
win32u.dll                         0x7FFD26F00000
USER32.dll                         0x7FFD270F0000
ADVAPI32.dll                       0x7FFD272A0000
KERNEL32.DLL                       0x7FFD27350000
sechost.dll                        0x7FFD27470000
WS2_32.dll                         0x7FFD27520000
RPCRT4.dll                         0x7FFD27630000
NSI.dll                            0x7FFD277B0000
