XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000715B0000
Fallout4.exe                       0x7FF7B6760000
nvcuda64.dll                       0x7FF9D4080000
XAudio2_7.dll                      0x7FF9D9490000
d3dcompiler_47_64.dll              0x7FF9D9520000
DINPUT8.dll                        0x7FF9D9930000
NvCamera64.dll                     0x7FF9D9980000
Buffout4.dll                       0x7FF9DA390000
dxgi.dll                           0x7FF9DA6F0000
UnlimitedFastTravel.dll            0x7FF9DBC00000
SideAimAni.dll                     0x7FF9DC210000
po3_SpellPerkItemDistributorF4.dll 0x7FF9DC2B0000
DSOUND.DLL                         0x7FF9DD660000
UneducatedShooter.dll              0x7FF9DD710000
xinput1_4.dll                      0x7FF9DEC80000
SimpleImpact.dll                   0x7FF9E9130000
nvspcap64.dll                      0x7FF9E9990000
ShadowBoostFO4.dll                 0x7FF9F7670000
mcm.dll                            0x7FF9F7740000
FakeThroughScope.dll               0x7FF9F77E0000
BakaFramework.dll                  0x7FF9F78B0000
flexRelease_x64.dll                0x7FF9F79A0000
f4se_1_10_163.dll                  0x7FF9F7EE0000
SettlementOfUnlimitedSize.dll      0x7FFA0F520000
HighFPSPhysicsFix.dll              0x7FFA0FA10000
SeamlessInspect.dll                0x7FFA10BC0000
MSVCR110.dll                       0x7FFA12690000
BulletCountedReload.dll            0x7FFA128B0000
GLXRM_ScalingFlagRemover.dll       0x7FFA13230000
nvwgf2umx.dll                      0x7FFA19940000
FallSouls.dll                      0x7FFA242A0000
nvldumdx.dll                       0x7FFA2CA60000
BodyPartsUI.dll                    0x7FFA30500000
cudart64_75.dll                    0x7FFA30620000
AUDIOSES.DLL                       0x7FFA3D4A0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFA447F0000
MSVCP110.dll                       0x7FFA44880000
bink2w64.dll                       0x7FFA44930000
steam_api64.dll                    0x7FFA449C0000
ondemandconnroutehelper.dll        0x7FFA485D0000
VCRUNTIME140_1.dll                 0x7FFA489D0000
MSVCP140.dll                       0x7FFA49040000
winmmbase.dll                      0x7FFA490D0000
VCRUNTIME140.dll                   0x7FFA49100000
GFSDK_GodraysLib.x64.dll           0x7FFA49760000
f4se_steam_loader.dll              0x7FFA49890000
mskeyprotect.dll                   0x7FFA49C40000
ncryptsslp.dll                     0x7FFA49E20000
MessageBus.dll                     0x7FFA4BFC0000
XINPUT9_1_0.dll                    0x7FFA4D9D0000
WINMM.dll                          0x7FFA4EAE0000
OneCoreCommonProxyStub.dll         0x7FFA4F680000
WININET.dll                        0x7FFA4F7A0000
CombinedCombatXP.dll               0x7FFA50990000
flexExtRelease_x64.dll             0x7FFA50E80000
igc64.dll                          0x7FFA517B0000
urlmon.dll                         0x7FFA55690000
nvapi64.dll                        0x7FFA55AC0000
inputhost.dll                      0x7FFA573B0000
textinputframework.dll             0x7FFA57510000
Windows.UI.dll                     0x7FFA57920000
MMDevApi.dll                       0x7FFA57BA0000
igdgmm64.dll                       0x7FFA58160000
igd10iumd64.dll                    0x7FFA58720000
igd10um64xe.DLL                    0x7FFA59080000
IntelControlLib.dll                0x7FFA5A1C0000
ControlLib.dll                     0x7FFA5A4C0000
iertutil.dll                       0x7FFA5A530000
dxcore.dll                         0x7FFA5B4C0000
srvcli.dll                         0x7FFA5B540000
drvstore.dll                       0x7FFA5BA30000
cryptnet.dll                       0x7FFA5BB80000
fwpuclnt.dll                       0x7FFA5BBC0000
VERSION.dll                        0x7FFA5BC70000
OneCoreUAPCommonProxyStub.dll      0x7FFA5BFE0000
rasadhlp.dll                       0x7FFA5CCA0000
dhcpcsvc.DLL                       0x7FFA5CCD0000
twinapi.appcore.dll                0x7FFA5D280000
WindowManagementAPI.dll            0x7FFA5D4F0000
WindowsCodecs.dll                  0x7FFA5D5A0000
avrt.dll                           0x7FFA5DBE0000
WINHTTP.dll                        0x7FFA5E2E0000
WINNSI.DLL                         0x7FFA5E400000
PROPSYS.dll                        0x7FFA5EA80000
SprintStutteringFix.dll            0x7FFA5F280000
nvToolsExt64_1.dll                 0x7FFA5F3A0000
wintypes.dll                       0x7FFA5F450000
d3d11.dll                          0x7FFA5F5B0000
D3DCOMPILER_47.dll                 0x7FFA5F820000
dcomp.dll                          0x7FFA60240000
CoreUIComponents.dll               0x7FFA60430000
CoreMessaging.dll                  0x7FFA60B10000
apphelp.dll                        0x7FFA60D40000
uxtheme.dll                        0x7FFA60E50000
dwmapi.dll                         0x7FFA636E0000
resourcepolicyclient.dll           0x7FFA637F0000
windows.storage.dll                0x7FFA63EE0000
HID.DLL                            0x7FFA64680000
dbghelp.dll                        0x7FFA64750000
kernel.appcore.dll                 0x7FFA64A20000
dxgi.dll                           0x7FFA64A90000
schannel.DLL                       0x7FFA65150000
rsaenh.dll                         0x7FFA65230000
ntmarta.dll                        0x7FFA65350000
UMPDC.dll                          0x7FFA65610000
IPHLPAPI.DLL                       0x7FFA65630000
DNSAPI.dll                         0x7FFA65670000
netutils.dll                       0x7FFA65740000
powrprof.dll                       0x7FFA65750000
mswsock.dll                        0x7FFA65990000
CRYPTSP.dll                        0x7FFA65B80000
CRYPTBASE.DLL                      0x7FFA65BA0000
Wldp.dll                           0x7FFA65C30000
NTASN1.dll                         0x7FFA65C60000
ncrypt.dll                         0x7FFA65CA0000
msasn1.dll                         0x7FFA65DC0000
devobj.dll                         0x7FFA65F80000
DPAPI.DLL                          0x7FFA65FE0000
SspiCli.dll                        0x7FFA660A0000
profapi.dll                        0x7FFA66120000
ucrtbase.dll                       0x7FFA661F0000
bcryptPrimitives.dll               0x7FFA662F0000
KERNELBASE.dll                     0x7FFA66380000
gdi32full.dll                      0x7FFA66680000
WINTRUST.DLL                       0x7FFA667A0000
win32u.dll                         0x7FFA66810000
CRYPT32.dll                        0x7FFA66840000
msvcp_win.dll                      0x7FFA669A0000
bcrypt.dll                         0x7FFA66AF0000
cfgmgr32.dll                       0x7FFA66B20000
NSI.dll                            0x7FFA66B70000
RPCRT4.dll                         0x7FFA66B80000
MSCTF.dll                          0x7FFA66CB0000
IMM32.DLL                          0x7FFA66DD0000
sechost.dll                        0x7FFA66E00000
msvcrt.dll                         0x7FFA66F00000
OLEAUT32.dll                       0x7FFA67080000
combase.dll                        0x7FFA671B0000
USER32.dll                         0x7FFA67510000
WS2_32.dll                         0x7FFA676C0000
imagehlp.dll                       0x7FFA67730000
ADVAPI32.dll                       0x7FFA67750000
SHLWAPI.dll                        0x7FFA67800000
ole32.dll                          0x7FFA678F0000
clbcatq.dll                        0x7FFA67A20000
KERNEL32.DLL                       0x7FFA67AD0000
PSAPI.DLL                          0x7FFA67C10000
SHCORE.dll                         0x7FFA67C20000
SETUPAPI.dll                       0x7FFA67CD0000
GDI32.dll                          0x7FFA68140000
SHELL32.dll                        0x7FFA681D0000
ntdll.dll                          0x7FFA68B10000
