XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000065CD0000
steam_api64.dll                  0x000065CE0000
wintrust.dll                     0x020736770000
BetterPowerArmorRedux.dll        0x020774880000
Fallout4.exe                     0x7FF6AAA80000
DSOUND.DLL                       0x7FFD77F30000
XAudio2_7.dll                    0x7FFD78ED0000
D3D12Core.dll                    0x7FFD78F60000
gameoverlayrenderer64.dll        0x7FFD79130000
XDI.dll                          0x7FFD792C0000
wsfw_identifier.dll              0x7FFD79330000
WhoseQuestIsItAnywayF4.dll       0x7FFD79430000
UnlimitedSurvivalMode.dll        0x7FFD79490000
ToYourFaceFO4.dll                0x7FFD794E0000
SprintSpeedController.dll        0x7FFD79530000
RobCo_Patcher.dll                0x7FFD79580000
ReloadFix.dll                    0x7FFD79660000
PowerGridTools.dll               0x7FFD796B0000
po3_BaseObjectSwapperF4.dll      0x7FFD79720000
Outfit-ReDress-Fix.dll           0x7FFD79830000
MGEFConditionFix.dll             0x7FFD79880000
mcm.dll                          0x7FFD798D0000
LongLoadingTimesFix.dll          0x7FFD79970000
CONCRT140.dll                    0x7FFD799D0000
Interior-NavCut-Fix.dll          0x7FFD79A20000
HighFPSPhysicsFix.dll            0x7FFD79A70000
GCBugFix.dll                     0x7FFD79B00000
FavoritesMenuEx.dll              0x7FFD79B60000
PDPerfPlugin.dll                 0x7FFD79BF0000
libxess.dll                      0x7FFD79C50000
ffx_fsr2_api_dx12_x64.dll        0x7FFD7AAF0000
nvngx_dlss.dll                   0x7FFD7ADC0000
spdlog.dll                       0x7FFD7CFA0000
Fallout4Upscaler.dll             0x7FFD7D000000
f4ee.dll                         0x7FFD7D110000
DisableExitSave.dll              0x7FFD7D220000
crafting_highlight_fix.dll       0x7FFD7D270000
CCExtenderF4.dll                 0x7FFD7D2C0000
BulletCountedReload.dll          0x7FFD7D330000
Buffout4.dll                     0x7FFD7D3C0000
BakaMaxPapyrusOps.dll            0x7FFD7D720000
BakaFramework.dll                0x7FFD7D7D0000
tier0_s64.dll                    0x7FFD7D8C0000
steamclient64.dll                0x7FFD7DA60000
IPHLPAPI.DLL                     0x7FFD7F070000
f4se_1_10_163.dll                0x7FFD9CE50000
vstdlib_s64.dll                  0x7FFD9D3E0000
BlockingOverhaul.dll             0x7FFDA3C90000
BetterConsole.dll                0x7FFDABE50000
nvspcap64.dll                    0x7FFDBF660000
xinput1_4.dll                    0x7FFDBFE10000
WeaponDebrisCrashFix.dll         0x7FFDC0EB0000
cudart64_75.dll                  0x7FFDC0ED0000
GFSDK_SSAO_D3D11.win64.dll       0x7FFDC9D70000
flexRelease_x64.dll              0x7FFDC9E00000
d3d12.dll                        0x7FFDCAA10000
MSVCR110.dll                     0x7FFDCAA50000
MSVCP110.dll                     0x7FFDCAB30000
bink2w64.dll                     0x7FFDCABE0000
GFSDK_GodraysLib.x64.dll         0x7FFDD8E60000
SprintStutteringFix.dll          0x7FFDD9F30000
XeFX.dll                         0x7FFDDA1C0000
fmt.dll                          0x7FFDDA540000
encounter_zone_recalculation.dll 0x7FFDDCEF0000
nvwgf2umx.dll                    0x7FFDDF550000
nvldumdx.dll                     0x7FFDE5470000
flexExtRelease_x64.dll           0x7FFDE77F0000
AmmoRemover.dll                  0x7FFDE7930000
MSVCP140_ATOMIC_WAIT.dll         0x7FFDE7A10000
f4se_steam_loader.dll            0x7FFDE7CF0000
VCRUNTIME140_1.dll               0x7FFDEBEB0000
usvfs_x64.dll                    0x7FFDF34C0000
MSVCP140.dll                     0x7FFDF53D0000
SilentProtagonistF4SE.dll        0x7FFDF5BF0000
XeFX_Loader.dll                  0x7FFDF5D60000
ffx_fsr2_api_x64.dll             0x7FFDF6140000
nvToolsExt64_1.dll               0x7FFDF6D60000
winmmbase.dll                    0x7FFE00480000
Secur32.dll                      0x7FFE00F20000
MessageBus.dll                   0x7FFE02350000
WINSPOOL.DRV                     0x7FFE03570000
COMCTL32.dll                     0x7FFE03610000
MSIMG32.dll                      0x7FFE03A60000
inputhost.dll                    0x7FFE07F20000
textinputframework.dll           0x7FFE08080000
Windows.UI.dll                   0x7FFE08180000
nvapi64.dll                      0x7FFE08930000
atidxx64.dll                     0x7FFE090D0000
drvstore.dll                     0x7FFE0B140000
cryptnet.dll                     0x7FFE0B290000
D3DSCache.dll                    0x7FFE0C570000
DbgHelp.dll                      0x7FFE0C660000
amdihk64.dll                     0x7FFE0D070000
atiuxp64.dll                     0x7FFE0D0B0000
aticfx64.dll                     0x7FFE0D0F0000
VERSION.dll                      0x7FFE0D2F0000
WINMM.dll                        0x7FFE0D350000
dxcore.dll                       0x7FFE0EC00000
VCRUNTIME140.dll                 0x7FFE0ED90000
WINHTTP.dll                      0x7FFE0F8B0000
twinapi.appcore.dll              0x7FFE10090000
WindowManagementAPI.dll          0x7FFE102A0000
dhcpcsvc.DLL                     0x7FFE10350000
MMDevApi.dll                     0x7FFE10980000
AUDIOSES.DLL                     0x7FFE10A80000
avrt.dll                         0x7FFE10C10000
d3d11.dll                        0x7FFE129C0000
D3DCOMPILER_47.dll               0x7FFE12C30000
wintypes.dll                     0x7FFE13760000
dcomp.dll                        0x7FFE13B30000
PROPSYS.dll                      0x7FFE13D50000
CoreUIComponents.dll             0x7FFE14200000
CoreMessaging.dll                0x7FFE146D0000
apphelp.dll                      0x7FFE14A90000
UxTheme.dll                      0x7FFE14DD0000
resourcepolicyclient.dll         0x7FFE14F90000
dwmapi.dll                       0x7FFE15280000
kernel.appcore.dll               0x7FFE15390000
windows.storage.dll              0x7FFE15590000
HID.DLL                          0x7FFE15D30000
dxgi.dll                         0x7FFE15D90000
rsaenh.dll                       0x7FFE16530000
ntmarta.dll                      0x7FFE16650000
UMPDC.dll                        0x7FFE16910000
IpHlpAPI.dll                     0x7FFE16930000
powrprof.dll                     0x7FFE16AA0000
MSWSOCK.dll                      0x7FFE16C90000
CRYPTSP.dll                      0x7FFE16E80000
CRYPTBASE.DLL                    0x7FFE16EA0000
Wldp.dll                         0x7FFE16F30000
msasn1.dll                       0x7FFE170C0000
devobj.dll                       0x7FFE17280000
SSPICLI.DLL                      0x7FFE173A0000
USERENV.dll                      0x7FFE173E0000
profapi.dll                      0x7FFE17420000
win32u.dll                       0x7FFE17610000
CRYPT32.dll                      0x7FFE17640000
msvcp_win.dll                    0x7FFE177A0000
cfgmgr32.dll                     0x7FFE17840000
gdi32full.dll                    0x7FFE17890000
KERNELBASE.dll                   0x7FFE179B0000
ucrtbase.dll                     0x7FFE17CB0000
bcryptPrimitives.dll             0x7FFE17DB0000
bcrypt.dll                       0x7FFE17E40000
shcore.dll                       0x7FFE17E70000
sechost.dll                      0x7FFE17F80000
KERNEL32.DLL                     0x7FFE18020000
ADVAPI32.dll                     0x7FFE180E0000
GDI32.dll                        0x7FFE18210000
OLEAUT32.dll                     0x7FFE182D0000
SETUPAPI.dll                     0x7FFE183A0000
PSAPI.DLL                        0x7FFE18810000
MSCTF.dll                        0x7FFE18820000
USER32.dll                       0x7FFE18940000
ole32.dll                        0x7FFE18AE0000
COMDLG32.dll                     0x7FFE18C10000
SHLWAPI.dll                      0x7FFE18EA0000
NSI.dll                          0x7FFE18F10000
msvcrt.dll                       0x7FFE18F20000
RPCRT4.dll                       0x7FFE19020000
clbcatq.dll                      0x7FFE19150000
SHELL32.dll                      0x7FFE19200000
imagehlp.dll                     0x7FFE19950000
IMM32.DLL                        0x7FFE199D0000
combase.dll                      0x7FFE19A00000
WS2_32.dll                       0x7FFE19D60000
ntdll.dll                        0x7FFE19E10000
