XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000055940000
steam_api64.dll                    0x000055950000
d3d11.dll                          0x000180000000
PSAPI.DLL                          0x02000AFB0000
textinputframework.dll             0x020044C50000
Fallout4.exe                       0x7FF66D160000
nvcuda64.dll                       0x7FFC62DB0000
steamclient64.dll                  0x7FFC63770000
NvCamera64.dll                     0x7FFC65D60000
d3dcompiler_47_64.dll              0x7FFC7A750000
d3dcompiler_46e.dll                0x7FFC7CA60000
Buffout4.dll                       0x7FFC7CE20000
IPHLPAPI.DLL                       0x7FFC7D180000
BLD_Helper.dll                     0x7FFC96CC0000
D3DCOMPILER_43.dll                 0x7FFC97920000
gameoverlayrenderer64.dll          0x7FFC98670000
wsfw_identifier.dll                0x7FFC991B0000
ShadowBoostFO4.dll                 0x7FFC992B0000
RobCo_Patcher.dll                  0x7FFC99420000
po3_SpellPerkItemDistributorF4.dll 0x7FFC99500000
po3_BaseObjectSwapperF4.dll        0x7FFC99670000
ResampleDmo.DLL                    0x7FFC99B20000
DSOUND.DLL                         0x7FFC99BE0000
NVIDIA_Reflex.dll                  0x7FFC9A050000
XAudio2_7.dll                      0x7FFC9AB40000
BakaFullscreenPipboy.dll           0x7FFC9ABD0000
nvspcap64.dll                      0x7FFC9B7C0000
flexRelease_x64.dll                0x7FFC9BB60000
XDI.dll                            0x7FFC9D570000
place.dll                          0x7FFCB75B0000
f4se_1_10_163.dll                  0x7FFCB94F0000
PowerGridTools.dll                 0x7FFCB9840000
mcm.dll                            0x7FFCBA300000
HighFPSPhysicsFix.dll              0x7FFCBABB0000
xinput1_4.dll                      0x7FFCD0990000
UnlimitedFastTravel.dll            0x7FFCD21C0000
MSVCR110.dll                       0x7FFCD23C0000
BakaWaitAnywhere.dll               0x7FFCD2A00000
rename_anything.dll                0x7FFCD3110000
MSVCP110.dll                       0x7FFCD3160000
PrivateProfileRedirector.dll       0x7FFCD34A0000
CONCRT140.dll                      0x7FFCD39F0000
GCBugFix.dll                       0x7FFCD42E0000
Interior-NavCut-Fix.dll            0x7FFCD44D0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFCD5490000
bink2w64.dll                       0x7FFCD5520000
tier0_s64.dll                      0x7FFCD60A0000
crafting_highlight_fix.dll         0x7FFCD6890000
ConsoleUtilF4.dll                  0x7FFCD7790000
cudart64_75.dll                    0x7FFCD78E0000
d3dx11_43.dll                      0x7FFCD9950000
GFSDK_GodraysLib.x64.dll           0x7FFCDCFA0000
flexExtRelease_x64.dll             0x7FFCDD4B0000
BetterConsole.dll                  0x7FFCDFE10000
enbhelperf4.dll                    0x7FFCE20E0000
f4se_steam_loader.dll              0x7FFCE2240000
vstdlib_s64.dll                    0x7FFCE35C0000
usvfs_x64.dll                      0x7FFCE4160000
OLEACC.dll                         0x7FFCF7BC0000
MessageBus.dll                     0x7FFCF7F40000
WINSPOOL.DRV                       0x7FFCFDCC0000
WeaponDebrisCrashFix.dll           0x7FFCFF3F0000
inputhost.dll                      0x7FFD00240000
COMCTL32.dll                       0x7FFD01AB0000
Windows.UI.dll                     0x7FFD03A20000
nvToolsExt64_1.dll                 0x7FFD054F0000
MessageBus.dll                     0x7FFD06F50000
nvwgf2umx.dll                      0x7FFD07D70000
nvapi64.dll                        0x7FFD0EA50000
XINPUT9_1_0.dll                    0x7FFD10DE0000
SprintStutteringFix.dll            0x7FFD11070000
AUDIOSES.DLL                       0x7FFD114F0000
MSVCP140.dll                       0x7FFD11750000
VCRUNTIME140.dll                   0x7FFD117E0000
winmmbase.dll                      0x7FFD13DD0000
VCRUNTIME140_1.dll                 0x7FFD13F50000
WINMM.dll                          0x7FFD15A00000
DINPUT8.dll                        0x7FFD16680000
msdmo.dll                          0x7FFD16800000
nvldumdx.dll                       0x7FFD16E40000
MSIMG32.dll                        0x7FFD16F20000
MMDevApi.dll                       0x7FFD17670000
dbghelp.dll                        0x7FFD18B40000
dhcpcsvc.DLL                       0x7FFD193D0000
drvstore.dll                       0x7FFD19640000
cryptnet.dll                       0x7FFD197A0000
VERSION.dll                        0x7FFD197E0000
WINHTTP.dll                        0x7FFD197F0000
CoreUIComponents.dll               0x7FFD1A640000
avrt.dll                           0x7FFD1AC50000
directxdatabasehelper.dll          0x7FFD1AC60000
D3DCOMPILER_47.dll                 0x7FFD1B2B0000
WindowsCodecs.dll                  0x7FFD1B6A0000
d3d11.dll                          0x7FFD1BB70000
dcomp.dll                          0x7FFD1C3A0000
CoreMessaging.dll                  0x7FFD1CA00000
UxTheme.dll                        0x7FFD1CF30000
dxgi.dll                           0x7FFD1D060000
dwmapi.dll                         0x7FFD1D170000
dxcore.dll                         0x7FFD1D270000
resourcepolicyclient.dll           0x7FFD1D5F0000
wintypes.dll                       0x7FFD1D900000
windows.storage.dll                0x7FFD1DA40000
HID.DLL                            0x7FFD1E330000
IpHlpAPI.dll                       0x7FFD1E600000
UMPDC.dll                          0x7FFD1E930000
powrprof.dll                       0x7FFD1E950000
Secur32.dll                        0x7FFD1E9C0000
rsaenh.dll                         0x7FFD1EB50000
kernel.appcore.dll                 0x7FFD1EB90000
ntmarta.dll                        0x7FFD1EC00000
SSPICLI.DLL                        0x7FFD1EE40000
MSWSOCK.dll                        0x7FFD1F060000
CRYPTSP.dll                        0x7FFD1F2B0000
CRYPTBASE.DLL                      0x7FFD1F2D0000
wldp.dll                           0x7FFD1F360000
bcrypt.dll                         0x7FFD1F450000
devobj.dll                         0x7FFD1F740000
msasn1.dll                         0x7FFD1F770000
cfgmgr32.dll                       0x7FFD1F790000
profapi.dll                        0x7FFD1F9D0000
gdi32full.dll                      0x7FFD1FAA0000
win32u.dll                         0x7FFD1FBC0000
wintrust.dll                       0x7FFD1FBF0000
KERNELBASE.dll                     0x7FFD1FC60000
msvcp_win.dll                      0x7FFD20010000
ucrtbase.dll                       0x7FFD200B0000
bcryptPrimitives.dll               0x7FFD20290000
CRYPT32.dll                        0x7FFD20310000
OLEAUT32.dll                       0x7FFD20480000
ADVAPI32.dll                       0x7FFD20560000
WS2_32.dll                         0x7FFD20610000
RPCRT4.dll                         0x7FFD208B0000
MSCTF.dll                          0x7FFD20B30000
sechost.dll                        0x7FFD20C80000
shcore.dll                         0x7FFD20D30000
COMDLG32.dll                       0x7FFD20E40000
KERNEL32.DLL                       0x7FFD20F40000
ole32.dll                          0x7FFD21010000
NSI.dll                            0x7FFD211B0000
combase.dll                        0x7FFD211C0000
imagehlp.dll                       0x7FFD215D0000
GDI32.dll                          0x7FFD21610000
clbcatq.dll                        0x7FFD21640000
SHLWAPI.dll                        0x7FFD216F0000
SHELL32.dll                        0x7FFD21750000
msvcrt.dll                         0x7FFD21F80000
SETUPAPI.dll                       0x7FFD22030000
USER32.dll                         0x7FFD224B0000
IMM32.DLL                          0x7FFD22670000
ntdll.dll                          0x7FFD226F0000
