[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     XDI.esm
[0B]     SouthOfTheSea.esm
[0C]     DCGuard_Overhaul.esp
[0D]     SS2.esm
[0E]     SS2_XPAC_Chapter2.esm
[0F]     SS2_XPAC_Chapter3.esm
[10]     CWPointLookoutFO4.esm
[11]     Darlene.esm
[12]     SettlementKeywords.esm
[13]     TrueStormsFO4.esm
[14]     RED.esp
[15]     SettleObjExpandPack.esp
[16]     Phase4DLC.esp
[17]     Hunkered Down - No AtomCatsGarage.esp
[18]     3DNPC_FO4.esp
[19]     SS2Extended.esp
[1A]     Ketaros_Treasures.esp
[1B]     the library.esp
[1C]     OutcastsAndRemnants.esp
[1D]     ProjectValkyrie.esp
[1E]     Depravity.esp
[1F]     Vault4.esp
[20]     Stm_DiamondCityExpansion.esp
[21]     The House.esp
[22]     RaiderOverhaul.esp
[23]     Convenient Bridges.esp
[24]     ImmersiveDrumlinDiner.esp
[25]     MaxwellsWorl.esp
[26]     FarHarborStory.esp
[27]     BetterFarHarbor_Open.esp
[28]     3DNPC_FO4_DLC.esp
[29]     RecruitableSettlers.esp
[2A]     W.A.T.Minutemen.esp
[2B]     GhoulBlood.esp
[2C]     Firelance2.5.esp
[2D]     NukaRDC.esp
[2E]     CheatTerminal.esp
[2F]     InstituteSettlements2.esp
[30]     Children of Ug Qualtoth.esp
[31]     KellyManor.esp
[32]     BetterSettlers.esp
[33]     MoreVariedBodyShapesAndSkins.esp
[34]     DT_GunnerOutfitPack.esp
[35]     DTG_LeveledListIntegration.esp
[36]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[37]     Backpacks of the Commonwealth.esp
[38]     3DNPC_FO4Settler.esp
[39]     Mors Shortcut to Curie.esp
[3A]     CombinedArmsNV.esp
[3B]     CombinedArmsEXPack.esp
[3C]     Mk41GyrojetHMG.esp
[3D]     SS2_FDK_TinyLiving.esp
[3E]     RecruitableSettlersFH.esp
[3F]     Rsiyo'sLocationPack.esp
[40]     GtN_SettlersatPlay.esp
[41]     cVc Dead Wasteland 6.esp
[42]     F4NVServiceRifleRedux.esp
[43]     Eli_Armour_Compendium.esp
[44]     LimaOutpost.esp
[45]     OldTimeReligion.esp
[46]     LAER.esp
[47]     Science Kit.esp
[48]     WattzLaserGun.esp
[49]     AER15.esp
[4A]     SS2-Jampads2.esp
[4B]     SS2_Addon_R2R.esp
[4C]     SubmersiblePowerArmorRedux.esp
[4D]     ellen.esp
[4E]     ClassicSniper.esp
[4F]     SS2WastelandVenturers.esp
[50]     Miami Misadventures EP1.esp
[51]     llamaCompanionHeatherv2.esp
[52]     AtomsGloryThreads.esp
[53]     WilkesEstate.esp
[54]     CorvalhoWidowShotgun.esp
[55]     0_Vault120.esp
[56]     FO4 NPCs Travel.esp
[57]     [SS20Addon] SimSettlements SuperStructures.esp
[58]     shoddymemone.esp
[59]     SS2_ruined_simsettlement_addonpack.esp
[5A]     [ARRETH] FGEP.esp
[5B]     X12Plasmacaster.esp
[5C]     SettlementTidyBot.esp
[5D]     GaussRevolver.esp
[5E]     SigSauer127.esp
[5F]     CF_AtomicWarlord.esp
[60]     Viper6610.esp
[61]     AtomicRadio.esp
[62]     JunkTownTwo.esp
[63]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[64]     SS2WastelandReconstructionKit.esp
[65]     HiPolyFaces.esp
[66]     CBBE.esp
[67]     SS2_Addon_FHE.esp
[68]     SkipDiMAMemories.esp
[69]     Enclave-X02.esp
[6A]     SS2-PraRandomAddon.esp
[6B]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[6C]     SS2_SIMPDDDD.esp
[6D]     FatherCompanion.esp
[6E]     Tina's Candy Land.esp
[6F]     SettlementMenuManager.esp
[70]     Cho1SS2FlagsMod.esp
[71]     Cranky.esp
[72]     WestTekTacticalOptics.esp
[73]     Tactical Flashlights.esp
[74]     RealNameSettlers.esp
[75]     WorkingNCMachine.esp
[76]     Rebel of Apocalypse.esp
[77]     TrueReporter.esp
[78]     Toxic Raider Armour.esp
[79]     ACR-W17.esp
[7A]     OWR.esp
[7B]     Better Manufacturing.esp
[7C]     ManufacturingExtended.esp
[7D]     3dscopes-replacer.esp
[7E]     Consistent Power Armor Overhaul.esp
[7F]     RemoteExplosives.esp
[80]     SimplyCosmeticPipboyPaintjobs.esp
[81]     SimplyCosmeticPipboyPaintjobs-FactionPack.esp
[82]     ImmersiveAnimationFramework.esp
[83]     Eli_Immersive Coffee Mod 9000 GTX French Roast.esp
[84]     DarleneDLC.esp
[85]     Better_Notes.esp
[86]     Publick Occurrences Expanded.esp
[87]     Minutemen Paint Job.esp
[88]     Natural Grasses & Groundcovers.esp
[89]     PD_LowerWeapon.esp
[8A]     Configurable Artillery.esp
[8B]     LooksMenu.esp
[8C]     LooksMirror.esp
[8D]     SkipHSH1_6.esp
[8E]     PhotoMode.esp
[8F]     AzarPonytailHairstyles.esp
[90]     TheEyesOfBeauty.esp
[91]     DarkerNightsDetection.esp
[92]     KSHairdos.esp
[93]     cVc Dead Wasteland 6 DLC.esp
[94]     cVc Dead Wasteland 6 DLC3.esp
[95]     cVc Dead Wasteland 6 DLC2.esp
[96]     ZerasPaintings.esp
[97]     FilledBrahminFeedTroughs.esp
[98]     cVc Fishery.esp
[99]     GCM.esp
[9A]     Graffity2ElectricBoogaloo.esp
