XINPUT1_3.dll               0x000000400000
steam_api64.dll             0x000063270000
X3DAudio1_7.dll             0x0000632B0000
d3d11.dll                   0x000180000000
BakaFullscreenPipboy.dll    0x02F64B1C0000
MSCTF.dll                   0x02F666CC0000
d3dcompiler_47_64.dll       0x02F66C1E0000
Fallout4.exe                0x7FF6FBFF0000
PhysXDevice64.dll           0x7FFEC36C0000
nvcuda64.dll                0x7FFEC3780000
nvcuda.dll                  0x7FFEC4140000
XAudio2_7.dll               0x7FFEC44A0000
DINPUT8.dll                 0x7FFEC4940000
NvCamera64.dll              0x7FFEC4990000
d3dcompiler_46e.dll         0x7FFEC5200000
gameoverlayrenderer64.dll   0x7FFEC55C0000
XDI.dll                     0x7FFEC5750000
wsfw_identifier.dll         0x7FFEC57C0000
WeightlessItems.dll         0x7FFEC58C0000
ShadowBoostFO4.dll          0x7FFEC5910000
RustyFaceFix.dll            0x7FFEC59E0000
PowerGridTools.dll          0x7FFEC5A30000
PlotUI.dll                  0x7FFEC5AA0000
place.dll                   0x7FFEC5AE0000
mcm.dll                     0x7FFEC5B60000
LongLoadingTimesFix.dll     0x7FFEC5C00000
CONCRT140.dll               0x7FFEC5C60000
HighFPSPhysicsFix.dll       0x7FFEC5CB0000
FavoritesMenuEx.dll         0x7FFEC5D40000
f4ee.dll                    0x7FFEC5DD0000
ClassicHolsteredWeapons.dll 0x7FFEC5EE0000
BetterConsole.dll           0x7FFEC5F90000
BakaMaxPapyrusOps.dll       0x7FFEC6000000
f4se_1_10_163.dll           0x7FFEC6190000
tier0_s64.dll               0x7FFEC6270000
steamclient64.dll           0x7FFEC6410000
Buffout4.dll                0x7FFEC7C70000
IPHLPAPI.DLL                0x7FFEC7FD0000
vstdlib_s64.dll             0x7FFED1090000
flexRelease_x64.dll         0x7FFED1150000
cudart64_75.dll             0x7FFEE6EC0000
GFSDK_GodraysLib.x64.dll    0x7FFEE6F20000
Interior-NavCut-Fix.dll     0x7FFEEA230000
MSVCR110.dll                0x7FFEEAC80000
enbhelperf4.dll             0x7FFEED420000
GFSDK_SSAO_D3D11.win64.dll  0x7FFEED7B0000
crafting_highlight_fix.dll  0x7FFEEEBB0000
bink2w64.dll                0x7FFEEEC00000
MSVCP110.dll                0x7FFEF2870000
f4se_steam_loader.dll       0x7FFEF4D10000
WeaponDebrisCrashFix.dll    0x7FFEF7B00000
nvspcap64.dll               0x7FFF29310000
d3dx11_43.dll               0x7FFF2EBD0000
D3DCOMPILER_43.dll          0x7FFF34110000
nvwgf2umx.dll               0x7FFF3A430000
DSOUND.DLL                  0x7FFF427D0000
xinput1_4.dll               0x7FFF4ECD0000
MpOav.dll                   0x7FFF4EDC0000
amsi.dll                    0x7FFF4EE40000
mskeyprotect.dll            0x7FFF51ED0000
Secur32.dll                 0x7FFF53960000
MessageBus.dll              0x7FFF539E0000
webio.dll                   0x7FFF562F0000
ncryptsslp.dll              0x7FFF563C0000
winmmbase.dll               0x7FFF56530000
COMCTL32.dll                0x7FFF56A90000
WINSPOOL.DRV                0x7FFF56EE0000
VCRUNTIME140_1.dll          0x7FFF57E40000
VCRUNTIME140.dll            0x7FFF57E50000
MSVCP140.dll                0x7FFF57E70000
wbemsvc.dll                 0x7FFF58A70000
fastprox.dll                0x7FFF58A90000
wbemcomn.dll                0x7FFF59250000
wbemprox.dll                0x7FFF595A0000
flexExtRelease_x64.dll      0x7FFF5CDD0000
MessageBus.dll              0x7FFF5F690000
textinputframework.dll      0x7FFF623F0000
Windows.UI.dll              0x7FFF62900000
DbgHelp.dll                 0x7FFF62A50000
rasadhlp.dll                0x7FFF62C60000
WINMM.dll                   0x7FFF62D30000
inputhost.dll               0x7FFF62F00000
nvldumdx.dll                0x7FFF64740000
fwpuclnt.dll                0x7FFF65A80000
XINPUT9_1_0.dll             0x7FFF65E20000
SprintStutteringFix.dll     0x7FFF65E30000
nvToolsExt64_1.dll          0x7FFF65E50000
WINHTTP.dll                 0x7FFF66770000
nvapi64.dll                 0x7FFF66880000
WindowsCodecs.dll           0x7FFF67070000
dhcpcsvc.DLL                0x7FFF67910000
dhcpcsvc6.DLL               0x7FFF67A10000
WindowManagementAPI.dll     0x7FFF67A30000
WINNSI.DLL                  0x7FFF67B50000
dxcore.dll                  0x7FFF681C0000
avrt.dll                    0x7FFF685E0000
AUDIOSES.DLL                0x7FFF68660000
twinapi.appcore.dll         0x7FFF68B20000
MMDevApi.dll                0x7FFF68E30000
drvstore.dll                0x7FFF693E0000
cryptnet.dll                0x7FFF69530000
VERSION.dll                 0x7FFF69570000
PROPSYS.dll                 0x7FFF69760000
D3DCOMPILER_47.dll          0x7FFF69EA0000
wintypes.dll                0x7FFF6A5B0000
CoreUIComponents.dll        0x7FFF6A710000
d3d11.dll                   0x7FFF6AA70000
dcomp.dll                   0x7FFF6B2A0000
CoreMessaging.dll           0x7FFF6BA00000
MSIMG32.dll                 0x7FFF6BCD0000
UxTheme.dll                 0x7FFF6BE20000
resourcepolicyclient.dll    0x7FFF6BEE0000
kernel.appcore.dll          0x7FFF6C1E0000
dwmapi.dll                  0x7FFF6C200000
windows.storage.dll         0x7FFF6C4F0000
HID.DLL                     0x7FFF6CC90000
dxgi.dll                    0x7FFF6CCD0000
