XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x0000632B0000
steam_api64.dll               0x0000632C0000
d3d11.dll                     0x000180000000
sfc.dll                       0x025D57DD0000
BakaScrapHeap.dll             0x025D698E0000
LL_fourPlay_1_10_163.dll      0x025D6CA10000
WINTRUST.dll                  0x025D737B0000
Fallout4.exe                  0x7FF7D3660000
amdvlk64.dll                  0x7FFDAE780000
steamclient64.dll             0x7FFDB8D70000
SteamOverlayVulkanLayer64.dll 0x7FFDBA900000
VkLayer_steam_fossilize64.dll 0x7FFDBA940000
graphics-hook64.dll           0x7FFDBA9E0000
vulkan-1.dll                  0x7FFDBAA30000
gameoverlayrenderer64.dll     0x7FFDBAB80000
XDI.dll                       0x7FFDBAD10000
rename_anything.dll           0x7FFDBAD80000
place.dll                     0x7FFDBADD0000
mcm.dll                       0x7FFDBAE50000
HighFPSPhysicsFix.dll         0x7FFDBAEF0000
f4ee.dll                      0x7FFDBAF80000
Buffout4.dll                  0x7FFDBB090000
f4se_1_10_163.dll             0x7FFDBB480000
vstdlib_s64.dll               0x7FFDBB560000
tier0_s64.dll                 0x7FFDBB620000
D3DCOMPILER_43.dll            0x7FFDBB7C0000
cudart64_75.dll               0x7FFDBBA30000
dxgi.dll                      0x7FFDBBA90000
GFSDK_SSAO_D3D11.win64.dll    0x7FFDBBCC0000
flexRelease_x64.dll           0x7FFDBBD50000
IPHLPAPI.DLL                  0x7FFDBBEA0000
AcLayers.DLL                  0x7FFDBC460000
GFSDK_GodraysLib.x64.dll      0x7FFDD9E10000
flexExtRelease_x64.dll        0x7FFDD9E70000
MSVCR110.dll                  0x7FFDD9ED0000
MSVCP110.dll                  0x7FFDDA590000
f4se_steam_loader.dll         0x7FFDDDDA0000
bink2w64.dll                  0x7FFDDDDE0000
d3dx11_43.dll                 0x7FFDF4FB0000
MSVCP140_ATOMIC_WAIT.dll      0x7FFE050D0000
SortWindows61.dll             0x7FFE05FE0000
usvfs_x64.dll                 0x7FFE2BE30000
WINSPOOL.DRV                  0x7FFE46520000
Secur32.dll                   0x7FFE4FE40000
COMCTL32.dll                  0x7FFE50790000
sfc_os.DLL                    0x7FFE51750000
textinputframework.dll        0x7FFE52160000
MSVCP140.dll                  0x7FFE52550000
VCRUNTIME140.dll              0x7FFE53030000
VCRUNTIME140_1.dll            0x7FFE53790000
amdihk64.dll                  0x7FFE553F0000
WINMM.dll                     0x7FFE58B60000
VERSION.dll                   0x7FFE5AA10000
WINHTTP.dll                   0x7FFE5AE80000
DbgHelp.dll                   0x7FFE5BBD0000
nvToolsExt64_1.dll            0x7FFE5D250000
wintypes.dll                  0x7FFE5F4D0000
CoreUIComponents.dll          0x7FFE5FC40000
CoreMessaging.dll             0x7FFE5FFA0000
MSIMG32.dll                   0x7FFE60260000
apphelp.dll                   0x7FFE60280000
UxTheme.dll                   0x7FFE603C0000
dwmapi.dll                    0x7FFE60780000
kernel.appcore.dll            0x7FFE607B0000
windows.storage.dll           0x7FFE60A90000
HID.DLL                       0x7FFE61230000
dxgi.dll                      0x7FFE61270000
ntmarta.dll                   0x7FFE61AD0000
IpHlpAPI.dll                  0x7FFE61D90000
MSWSOCK.dll                   0x7FFE620A0000
CRYPTBASE.DLL                 0x7FFE62310000
Wldp.dll                      0x7FFE623A0000
MSASN1.dll                    0x7FFE62530000
DEVOBJ.dll                    0x7FFE626F0000
SSPICLI.DLL                   0x7FFE628B0000
profapi.dll                   0x7FFE62900000
ucrtbase.dll                  0x7FFE629D0000
gdi32full.dll                 0x7FFE62AD0000
cfgmgr32.dll                  0x7FFE62BF0000
msvcp_win.dll                 0x7FFE62C40000
bcryptPrimitives.dll          0x7FFE62D50000
CRYPT32.dll                   0x7FFE62DE0000
KERNELBASE.dll                0x7FFE62F40000
bcrypt.dll                    0x7FFE63240000
win32u.dll                    0x7FFE63270000
OLEAUT32.dll                  0x7FFE63350000
msvcrt.dll                    0x7FFE63490000
COMDLG32.dll                  0x7FFE63530000
SETUPAPI.dll                  0x7FFE63610000
ADVAPI32.dll                  0x7FFE63A80000
ole32.dll                     0x7FFE63D60000
sechost.dll                   0x7FFE63F80000
IMM32.DLL                     0x7FFE64020000
USER32.dll                    0x7FFE64050000
RPCRT4.dll                    0x7FFE641F0000
GDI32.dll                     0x7FFE64320000
shcore.dll                    0x7FFE643B0000
combase.dll                   0x7FFE64470000
WS2_32.dll                    0x7FFE647D0000
KERNEL32.DLL                  0x7FFE64840000
SHELL32.dll                   0x7FFE649B0000
MSCTF.dll                     0x7FFE65100000
imagehlp.dll                  0x7FFE65220000
SHLWAPI.dll                   0x7FFE65240000
PSAPI.DLL                     0x7FFE652A0000
ntdll.dll                     0x7FFE652F0000
