XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000750D0000
steam_api64.dll                    0x0000750E0000
d3d11.dll                          0x000180000000
tbb.dll                            0x0257CF9C0000
tbbmalloc.dll                      0x0257CFA30000
LL_fourPlay_1_10_163.dll           0x0257EDDB0000
Fallout4.exe                       0x7FF796590000
XAudio2_7.dll                      0x7FFE06C80000
d3dcompiler_47_64.dll              0x7FFE07390000
NvCamera64.dll                     0x7FFE077A0000
DINPUT8.dll                        0x7FFE081D0000
d3dcompiler_46e.dll                0x7FFE08790000
gameoverlayrenderer64.dll          0x7FFE08B50000
XDI.dll                            0x7FFE08CE0000
wsfw_identifier.dll                0x7FFE08D50000
transfer_settlements.dll           0x7FFE08E50000
terminal+.dll                      0x7FFE09120000
ScreenArcherMenu.dll               0x7FFE09270000
steamclient64.dll                  0x7FFE09470000
WmkActiveEffects.dll               0x7FFE0C430000
Buffout4.dll                       0x7FFE0C4B0000
ShadowBoostFO4.dll                 0x7FFE0CFB0000
WhoseQuestIsItAnywayF4.dll         0x7FFE0E860000
vertibird_jump.dll                 0x7FFE0E8C0000
SAF.dll                            0x7FFE0E910000
UnlimitedSurvivalMode.dll          0x7FFE0F070000
po3_SpellPerkItemDistributorF4.dll 0x7FFE0F0C0000
RememberPickAngleUpdated.dll       0x7FFE0F280000
NVIDIA_Reflex.dll                  0x7FFE0F340000
SprintSpeedController.dll          0x7FFE0F460000
RustyFaceFix.dll                   0x7FFE0FA40000
PowerGridTools.dll                 0x7FFE0FE70000
place.dll                          0x7FFE11FC0000
LighthousePapyrusExtender.dll      0x7FFE12040000
usvfs_x64.dll                      0x7FFE24640000
mcm.dll                            0x7FFE24970000
HUDPlusPlus.dll                    0x7FFE24A10000
deviceaccess.dll                   0x7FFE2AD70000
HighFPSPhysicsFix.dll              0x7FFE2ADF0000
Outfit-ReDress-Fix.dll             0x7FFE2AF90000
HHS.dll                            0x7FFE2AFE0000
FloatingDamage.dll                 0x7FFE2B0D0000
tier0_s64.dll                      0x7FFE2B130000
f4ee.dll                           0x7FFE2B4A0000
IPHLPAPI.DLL                       0x7FFE2B5B0000
faster_workshop.dll                0x7FFE2BD60000
F4z Ro D'oh.dll                    0x7FFE2C150000
ClassicHolsteredWeapons.dll        0x7FFE2C1C0000
Interior-NavCut-Fix.dll            0x7FFE2C3D0000
BakaMaxPapyrusOps.dll              0x7FFE2C420000
f4pm.dll                           0x7FFE2C6F0000
BakaFramework.dll                  0x7FFE2C980000
