XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x000050000000
MSVCP90.dll                      0x000076F90000
MSVCR90.dll                      0x000077070000
steam_api64.dll                  0x000077520000
d3d11.dll                        0x000180000000
tbb.dll                          0x01F2C3FC0000
tbbmalloc.dll                    0x01F2C4030000
LL_fourPlay_1_10_163.dll         0x01F2DAB10000
MSCTF.dll                        0x01F2E4A90000
Fallout4.exe                     0x7FF6EB340000
nvoglv64.dll                     0x7FFB83D70000
nvcuda64.dll                     0x7FFB898F0000
d3d11_vulkan.dll                 0x7FFB8A670000
d3dcompiler_46e.dll              0x7FFB8AD20000
vulkan-1.dll                     0x7FFB8B200000
gameoverlayrenderer64.dll        0x7FFB8B350000
wsfw_identifier.dll              0x7FFB8B4E0000
transfer_settlements.dll         0x7FFB8B5E0000
terminal+.dll                    0x7FFB8B8B0000
Buffout4.dll                     0x7FFB8BA00000
BLD_Helper.dll                   0x7FFB8BD60000
tier0_s64.dll                    0x7FFB8C0C0000
RobCo_Patcher.dll                0x7FFB8C520000
steamclient64.dll                0x7FFB8CA60000
IPHLPAPI.DLL                     0x7FFB8E080000
WINHTTP.dll                      0x7FFB8E640000
D3DCOMPILER_43.dll               0x7FFB8F350000
VkLayer_steam_fossilize64.dll    0x7FFB8FB70000
XAudio2_7.dll                    0x7FFB8FCF0000
WmkActiveEffects.dll             0x7FFB922D0000
PowerGridTools.dll               0x7FFB92350000
NVIDIA_Reflex.dll                0x7FFB92540000
place.dll                        0x7FFB92650000
HHS.dll                          0x7FFB93080000
mcm.dll                          0x7FFB937F0000
f4ee.dll                         0x7FFB93BE0000
dxgi.dll                         0x7FFB94810000
WhoseQuestIsItAnywayF4.dll       0x7FFB952F0000
LongLoadingTimesFix.dll          0x7FFB95350000
HighFPSPhysicsFix.dll            0x7FFB954D0000
FavoritesMenuEx.dll              0x7FFB95A90000
cbp.dll                          0x7FFB95B20000
UnlimitedSurvivalMode.dll        0x7FFB97410000
nvspcap64.dll                    0x7FFB999C0000
ESPExplorer.dll                  0x7FFB9C390000
f4se_1_10_163.dll                0x7FFB9C630000
Interior-NavCut-Fix.dll          0x7FFB9C800000
BulletCountedReload.dll          0x7FFB9D310000
BetterPowerArmorRedux.dll        0x7FFB9D5A0000
vstdlib_s64.dll                  0x7FFB9F3B0000
BetterConsole.dll                0x7FFBA0120000
SteamOverlayVulkanLayer64.dll    0x7FFBA0820000
cudart64_75.dll                  0x7FFBA0860000
crafting_highlight_fix.dll       0x7FFBA1590000
GFSDK_GodraysLib.x64.dll         0x7FFBA2000000
opengl32.dll                     0x7FFBA2060000
ClockWidget.dll                  0x7FFBA24E0000
ArmorPenetrationBugFix.dll       0x7FFBA25A0000
GFSDK_SSAO_D3D11.win64.dll       0x7FFBA2B80000
pppl.dll                         0x7FFBA3060000
flexRelease_x64.dll              0x7FFBA4360000
MSVCR110.dll                     0x7FFBA44B0000
usvfs_x64.dll                    0x7FFBA48C0000
d3dx11_43.dll                    0x7FFBA51B0000
flexExtRelease_x64.dll           0x7FFBA7E70000
MSVCP110.dll                     0x7FFBA84F0000
bink2w64.dll                     0x7FFBA85A0000
encounter_zone_recalculation.dll 0x7FFBAD880000
winmmbase.dll                    0x7FFBB0620000
f4se_steam_loader.dll            0x7FFBB0650000
Windows.UI.dll                   0x7FFBB5EB0000
MSVCP140.dll                     0x7FFBC2D80000
VCRUNTIME140.dll                 0x7FFBC2E10000
ncryptsslp.dll                   0x7FFBC81B0000
VCRUNTIME140_1.dll               0x7FFBC8710000
mskeyprotect.dll                 0x7FFBC8AA0000
WeaponDebrisCrashFix.dll         0x7FFBC8B90000
SprintStutteringFix.dll          0x7FFBC91B0000
DSOUND.DLL                       0x7FFBCEBD0000
Secur32.dll                      0x7FFBCF5B0000
WINSPOOL.DRV                     0x7FFBD0D30000
COMCTL32.dll                     0x7FFBD0DD0000
RTSSVkLayer64.dll                0x7FFBD15B0000
DbgHelp.dll                      0x7FFBD1D50000
fastprox.dll                     0x7FFBD3600000
