XINPUT1_3.dll               0x000000400000
X3DAudio1_7.dll             0x000071BA0000
steam_api64.dll             0x000071BB0000
BakaFramework.dll           0x0240F3FB0000
Fallout4.exe                0x7FF687460000
steamclient64.dll           0x7FF9D3580000
D3DX9_43.dll                0x7FF9E6420000
OWClient.dll                0x7FF9E6690000
Buffout4.dll                0x7FFA0A380000
IPHLPAPI.DLL                0x7FFA0BD40000
gameoverlayrenderer64.dll   0x7FFA0EDB0000
wsfw_identifier.dll         0x7FFA0F480000
ResampleDmo.DLL             0x7FFA13C50000
DSOUND.DLL                  0x7FFA13D10000
XAudio2_7.dll               0x7FFA13DD0000
RobCo_Patcher.dll           0x7FFA17050000
PRKF.dll                    0x7FFA17140000
po3_BaseObjectSwapperF4.dll 0x7FFA171D0000
flexRelease_x64.dll         0x7FFA172E0000
OWExplorer.dll              0x7FFA18A90000
D3DCompiler_43.dll          0x7FFA1B330000
mcm.dll                     0x7FFA1B8F0000
f4ee.dll                    0x7FFA1B990000
tier0_s64.dll               0x7FFA1BAA0000
BakaScrapHeap.dll           0x7FFA1C040000
vstdlib_s64.dll             0x7FFA1C110000
XDI.dll                     0x7FFA1E8C0000
MSVCR110.dll                0x7FFA1E930000
HighFPSPhysicsFix.dll       0x7FFA1EA80000
UneducatedShooter.dll       0x7FFA1EF70000
BulletCountedReload.dll     0x7FFA1F270000
dinput8.dll                 0x7FFA30E90000
place.dll                   0x7FFA349F0000
cudart64_75.dll             0x7FFA34E50000
GFSDK_GodraysLib.x64.dll    0x7FFA38650000
GFSDK_SSAO_D3D11.win64.dll  0x7FFA3A630000
flexExtRelease_x64.dll      0x7FFA473D0000
d3dx11_43.dll               0x7FFA47430000
f4se_1_10_163.dll           0x7FFA47570000
MSVCP110.dll                0x7FFA4C8B0000
bink2w64.dll                0x7FFA4C960000
pppl.dll                    0x7FFA4F790000
PowerGridTools.dll          0x7FFA5A500000
MessageBus.dll              0x7FFA5A570000
FineZoom.dll                0x7FFA5BE40000
textinputframework.dll      0x7FFA5C400000
usvfs_x64.dll               0x7FFA5CB50000
nvspcap64.dll               0x7FFA601F0000
VCRUNTIME140_1.dll          0x7FFA61010000
MSVCP140.dll                0x7FFA61020000
VCRUNTIME140.dll            0x7FFA610B0000
def_ui.dll                  0x7FFA64F20000
f4se_steam_loader.dll       0x7FFA66650000
crafting_highlight_fix.dll  0x7FFA666A0000
achievements.dll            0x7FFA666F0000
ncryptsslp.dll              0x7FFA675E0000
winmmbase.dll               0x7FFA677A0000
OWUtils.dll                 0x7FFA6B330000
Windows.UI.dll              0x7FFA6BD40000
WINSPOOL.DRV                0x7FFA6BF30000
COMCTL32.dll                0x7FFA6BFD0000
AUDIOSES.DLL                0x7FFA6DDB0000
inputhost.dll               0x7FFA6E7C0000
nvwgf2umx.dll               0x7FFA6EE30000
nvToolsExt64_1.dll          0x7FFA76850000
xinput1_4.dll               0x7FFA77180000
webio.dll                   0x7FFA77750000
