XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000056EF0000
steam_api64.dll               0x000056F00000
LL_fourPlay_1_10_163.dll      0x000180000000
sfc.dll                       0x0207253D0000
KnockoutFramework.dll         0x020731390000
CoreMessaging.dll             0x020846B60000
wintrust.dll                  0x0208475C0000
Fallout4.exe                  0x7FF6BEA30000
nvcuda64.dll                  0x7FFE153C0000
d3dcompiler_47_64.dll         0x7FFE22A40000
steamclient64.dll             0x7FFE22E50000
NvCamera64.dll                0x7FFE26630000
gameoverlayrenderer64.dll     0x7FFE2E9B0000
IPHLPAPI.DLL                  0x7FFE2EB40000
wsfw_identifier.dll           0x7FFE30220000
f4ee.dll                      0x7FFE30BE0000
XDI.dll                       0x7FFE314F0000
SimpleImpact.dll              0x7FFE31560000
XAudio2_7.dll                 0x7FFE316E0000
UneducatedShooter.dll         0x7FFE31B50000
Buffout4.dll                  0x7FFE31BB0000
PowerGridTools.dll            0x7FFE34270000
BakaScrapHeap.dll             0x7FFE343A0000
MODExplorer.dll               0x7FFE34610000
tier0_s64.dll                 0x7FFE34690000
f4se_1_10_163.dll             0x7FFE34970000
mcm.dll                       0x7FFE36140000
vstdlib_s64.dll               0x7FFE361E0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFE362A0000
ESPExplorer.dll               0x7FFE36AB0000
flexRelease_x64.dll           0x7FFE36B90000
MSVCR110.dll                  0x7FFE372D0000
DamageThresholdFramework.dll  0x7FFE3AD50000
cbp.dll                       0x7FFE44CC0000
cudart64_75.dll               0x7FFE44F40000
GFSDK_GodraysLib.x64.dll      0x7FFE45FF0000
usvfs_x64.dll                 0x7FFE47130000
AcLayers.DLL                  0x7FFE472C0000
DINPUT8.dll                   0x7FFE47B80000
nvspcap64.dll                 0x7FFE47DB0000
UnlimitedSurvivalMode.dll     0x7FFE49200000
crafting_highlight_fix.dll    0x7FFE4D840000
RustyFaceFix.dll              0x7FFE505D0000
BodyPartsUI.dll               0x7FFE51350000
DSOUND.DLL                    0x7FFE552B0000
NoScrollwheelPOVChange.dll    0x7FFE558D0000
flexExtRelease_x64.dll        0x7FFE55B50000
MSVCP110.dll                  0x7FFE5AB90000
bink2w64.dll                  0x7FFE5AC40000
MessageBus.dll                0x7FFE636E0000
XINPUT9_1_0.dll               0x7FFE63E50000
OneCoreCommonProxyStub.dll    0x7FFE64560000
Secur32.dll                   0x7FFE65F20000
sfc_os.DLL                    0x7FFE66620000
MSVCP140.dll                  0x7FFE68930000
VCRUNTIME140.dll              0x7FFE689C0000
MessageBus.dll                0x7FFE68B20000
winmmbase.dll                 0x7FFE6BE80000
VCRUNTIME140_1.dll            0x7FFE6BFE0000
COMCTL32.dll                  0x7FFE6C3D0000
WINSPOOL.DRV                  0x7FFE6C6A0000
inputhost.dll                 0x7FFE6F620000
textinputframework.dll        0x7FFE6F810000
DbgHelp.dll                   0x7FFE71610000
Windows.UI.dll                0x7FFE71BA0000
f4se_steam_loader.dll         0x7FFE72640000
nvToolsExt64_1.dll            0x7FFE726C0000
OneCoreUAPCommonProxyStub.dll 0x7FFE72B80000
WINMM.dll                     0x7FFE73EA0000
nvwgf2umx.dll                 0x7FFE73ED0000
nvldumdx.dll                  0x7FFE79DB0000
dxcore.dll                    0x7FFE7A200000
AUDIOSES.DLL                  0x7FFE7B0B0000
twinapi.appcore.dll           0x7FFE7B370000
dhcpcsvc.DLL                  0x7FFE7B6E0000
