XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000073CE0000
steam_api64.dll               0x000073CF0000
d3d11.dll                     0x000180000000
Interior-NavCut-Fix.dll       0x01CB908D0000
sfc.dll                       0x01CBFE0A0000
NSI.dll                       0x01CC37C90000
Fallout4.exe                  0x7FF6FDE50000
nvoglv64.dll                  0x7FFA34A30000
nvcuda.dll                    0x7FFA698E0000
nvcuda64.dll                  0x7FFA6A540000
d3d11_vulkan.DLL              0x7FFA6B270000
d3dcompiler_46e.dll           0x7FFA6B600000
XAudio2_7.dll                 0x7FFA6D490000
steamclient64.dll             0x7FFA6D5A0000
IPHLPAPI.DLL                  0x7FFA6EBC0000
VkLayer_steam_fossilize64.dll 0x7FFA6F460000
vulkan-1.dll                  0x7FFA6FEA0000
gameoverlayrenderer64.dll     0x7FFA6FF40000
wsfw_identifier.dll           0x7FFA700D0000
XDI.dll                       0x7FFA702A0000
f4ee.dll                      0x7FFA70310000
Buffout4.dll                  0x7FFA70860000
ClassicHolsteredWeapons.dll   0x7FFA711F0000
UnlimitedSurvivalMode.dll     0x7FFA71820000
PowerGridTools.dll            0x7FFA71B00000
AcLayers.DLL                  0x7FFA71B70000
tier0_s64.dll                 0x7FFA727F0000
SteamOverlayVulkanLayer64.dll 0x7FFA729B0000
mcm.dll                       0x7FFA72A30000
place.dll                     0x7FFA72DC0000
BulletCountedReload.dll       0x7FFA72E40000
D3DCOMPILER_43.dll            0x7FFA72ED0000
HighFPSPhysicsFix.dll         0x7FFA73300000
CONCRT140.dll                 0x7FFA735C0000
dxgi.dll                      0x7FFA73610000
flexRelease_x64.dll           0x7FFA73840000
f4se_1_10_163.dll             0x7FFA73A20000
crafting_highlight_fix.dll    0x7FFA73BE0000
vstdlib_s64.dll               0x7FFA73C30000
d3dx11_43.dll                 0x7FFA73FF0000
cudart64_75.dll               0x7FFA74040000
GFSDK_GodraysLib.x64.dll      0x7FFA740A0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFA74570000
MSVCR110.dll                  0x7FFA74600000
winmmbase.dll                 0x7FFA7B480000
ncryptsslp.dll                0x7FFA7BB60000
opengl32.dll                  0x7FFA7BEA0000
flexExtRelease_x64.dll        0x7FFA7C1D0000
mskeyprotect.dll              0x7FFA7C230000
MSVCP140.dll                  0x7FFA7D670000
usvfs_x64.dll                 0x7FFA7D700000
MSVCP110.dll                  0x7FFA81290000
bink2w64.dll                  0x7FFA81340000
f4se_steam_loader.dll         0x7FFA81440000
DSOUND.DLL                    0x7FFA819E0000
sfc_os.DLL                    0x7FFA83AB0000
GLU32.dll                     0x7FFA83C30000
Windows.UI.dll                0x7FFA86210000
Secur32.dll                   0x7FFA89FE0000
webio.dll                     0x7FFA8AD50000
WeaponDebrisCrashFix.dll      0x7FFA8B300000
WINSPOOL.DRV                  0x7FFA8CE00000
MSIMG32.dll                   0x7FFA8CEA0000
COMCTL32.dll                  0x7FFA8CEB0000
InputHost.dll                 0x7FFA8D400000
wbemcomn.dll                  0x7FFA94010000
nvapi64.dll                   0x7FFA94790000
textinputframework.dll        0x7FFA95E70000
MpOav.dll                     0x7FFA99CF0000
amsi.dll                      0x7FFA99E40000
DbgHelp.dll                   0x7FFA99F30000
