XINPUT1_3.dll              0x000000400000
steam_api64.dll            0x000068EE0000
X3DAudio1_7.dll            0x000069340000
d3d11.dll                  0x000180000000
DINPUT8.dll                0x024EA2590000
Fallout4.exe               0x7FF68EE60000
NvCamera64.dll             0x7FFCAA150000
nvwgf2umx.dll              0x7FFCAA9C0000
steamclient64.dll          0x7FFCB51A0000
MessageBus.dll             0x7FFCB9B20000
d3dcompiler_47_64.dll      0x7FFCC4370000
d3dcompiler_46e.dll        0x7FFCC9780000
IPHLPAPI.DLL               0x7FFCC9B40000
Buffout4.dll               0x7FFCCA4C0000
MessageBus.dll             0x7FFCCB040000
MSVCP140.dll               0x7FFCF6760000
ResampleDmo.DLL            0x7FFCF6B40000
gameoverlayrenderer64.dll  0x7FFCFC860000
nvspcap64.dll              0x7FFCFD130000
NVIDIA_Reflex.dll          0x7FFD01F80000
mcm.dll                    0x7FFD02BE0000
f4ee.dll                   0x7FFD02C80000
tier0_s64.dll              0x7FFD03360000
BakaScrapHeap.dll          0x7FFD191C0000
f4se_1_10_163.dll          0x7FFD19390000
nvapi64.dll                0x7FFD1A060000
XDI.dll                    0x7FFD1B1A0000
webio.dll                  0x7FFD1C6D0000
HighFPSPhysicsFix.dll      0x7FFD1CBB0000
flexRelease_x64.dll        0x7FFD1CC40000
RustyFaceFix.dll           0x7FFD1CF60000
vstdlib_s64.dll            0x7FFD1CFB0000
MSVCR110.dll               0x7FFD1D070000
faster_workshop.dll        0x7FFD1D310000
RaceChanger.dll            0x7FFD1D4C0000
XAudio2_7.dll              0x7FFD1D5E0000
MSVCP110.dll               0x7FFD1D670000
D3DCOMPILER_43.dll         0x7FFD1D840000
cudart64_75.dll            0x7FFD1DBE0000
inputhost.dll              0x7FFD1E6F0000
GFSDK_SSAO_D3D11.win64.dll 0x7FFD1F3F0000
textinputframework.dll     0x7FFD1FD00000
d3d11.dll                  0x7FFD25320000
CoreUIComponents.dll       0x7FFD269A0000
dcomp.dll                  0x7FFD26D10000
directxdatabasehelper.dll  0x7FFD273F0000
Windows.UI.dll             0x7FFD275A0000
Secur32.dll                0x7FFD28640000
GFSDK_GodraysLib.x64.dll   0x7FFD289A0000
AUDIOSES.DLL               0x7FFD29710000
mskeyprotect.dll           0x7FFD29BE0000
DSOUND.DLL                 0x7FFD29C10000
bink2w64.dll               0x7FFD29F50000
ncryptsslp.dll             0x7FFD2A240000
nvldumdx.dll               0x7FFD2A3A0000
COMCTL32.dll               0x7FFD2A480000
flexExtRelease_x64.dll     0x7FFD2BE50000
WeaponDebrisCrashFix.dll   0x7FFD2C560000
winmmbase.dll              0x7FFD2CCA0000
WINMM.dll                  0x7FFD2D1D0000
WINSPOOL.DRV               0x7FFD2D460000
MSIMG32.dll                0x7FFD2D510000
rasadhlp.dll               0x7FFD2F650000
avrt.dll                   0x7FFD2F720000
MpOav.dll                  0x7FFD2FE80000
amsi.dll                   0x7FFD2FF00000
fastprox.dll               0x7FFD2FFD0000
wbemcomn.dll               0x7FFD30360000
PriorityMod.dll            0x7FFD30E30000
SprintStutteringFix.dll    0x7FFD31F40000
f4se_steam_loader.dll      0x7FFD31FB0000
d3dx11_43.dll              0x7FFD32660000
MMDevApi.dll               0x7FFD326E0000
msdmo.dll                  0x7FFD32B80000
wbemsvc.dll                0x7FFD32F40000
wbemprox.dll               0x7FFD32FC0000
fwpuclnt.dll               0x7FFD33660000
libdiskCacheEnabler.dll    0x7FFD33830000
drvstore.dll               0x7FFD33C20000
cryptnet.dll               0x7FFD33D80000
VERSION.dll                0x7FFD33DC0000
WINNSI.DLL                 0x7FFD34060000
dhcpcsvc6.DLL              0x7FFD343B0000
WINHTTP.dll                0x7FFD34710000
dhcpcsvc.DLL               0x7FFD34C60000
XINPUT9_1_0.dll            0x7FFD36300000
nvToolsExt64_1.dll         0x7FFD36330000
VCRUNTIME140_1.dll         0x7FFD363A0000
VCRUNTIME140.dll           0x7FFD363B0000
CoreMessaging.dll          0x7FFD36800000
WindowsCodecs.dll          0x7FFD36A40000
UxTheme.dll                0x7FFD36BF0000
dxcore.dll                 0x7FFD36CD0000
dxgi.dll                   0x7FFD36D10000
resourcepolicyclient.dll   0x7FFD36E10000
dwmapi.dll                 0x7FFD37140000
DbgHelp.dll                0x7FFD37350000
wintypes.dll               0x7FFD378F0000
windows.storage.dll        0x7FFD37A60000
HID.DLL                    0x7FFD382D0000
IpHlpAPI.dll               0x7FFD38520000
DNSAPI.dll                 0x7FFD38590000
schannel.DLL               0x7FFD38850000
rsaenh.dll                 0x7FFD38960000
kernel.appcore.dll         0x7FFD38A00000
ntmarta.dll                0x7FFD38A20000
