XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005A8F0000
d3d11.dll                     0x000180000000
sfc.dll                       0x021145960000
LL_fourPlay_1_10_163.dll      0x021147AF0000
COMDLG32.dll                  0x0211534B0000
RustyFaceFix.dll              0x021153690000
Fallout4.exe                  0x7FF6ABAF0000
d3dcompiler_47_64.dll         0x7FFE3D2E0000
NvCamera64.dll                0x7FFE3D6F0000
d3dcompiler_46e.dll           0x7FFE3E850000
wsfw_identifier.dll           0x7FFE45EF0000
XAudio2_7.dll                 0x7FFE46610000
Buffout4.dll                  0x7FFE466A0000
DINPUT8.dll                   0x7FFE4DA10000
WeaponsFramework.dll          0x7FFE4DA60000
PRKF.dll                      0x7FFE4DAF0000
XDI.dll                       0x7FFE4DBE0000
PowerGridTools.dll            0x7FFE4DCC0000
place.dll                     0x7FFE4DD30000
BLD_Helper.dll                0x7FFE4DDB0000
D3DCOMPILER_43.dll            0x7FFE4E110000
mcm.dll                       0x7FFE4E3E0000
lootman.dll                   0x7FFE4E480000
FallSouls.dll                 0x7FFE4E4F0000
UnlimitedFastTravel.dll       0x7FFE4EC40000
f4ee.dll                      0x7FFE4EC90000
AcLayers.DLL                  0x7FFE4EDA0000
ClassicHolsteredWeapons.dll   0x7FFE4F7A0000
flexRelease_x64.dll           0x7FFE4F850000
BakaScrapHeap.dll             0x7FFE4F9D0000
BulletCountedReload.dll       0x7FFE4FB40000
BetterConsole.dll             0x7FFE4FD90000
DSOUND.DLL                    0x7FFE51340000
f4se_1_10_163.dll             0x7FFE51430000
MSVCR110.dll                  0x7FFE51510000
MSVCP110.dll                  0x7FFE51DB0000
nvspcap64.dll                 0x7FFE526F0000
ALR.dll                       0x7FFE55830000
FineZoom.dll                  0x7FFE56CC0000
crafting_highlight_fix.dll    0x7FFE56E70000
sfc_os.DLL                    0x7FFE5C9C0000
PhotoMetadataHandler.dll      0x7FFE61C80000
cudart64_75.dll               0x7FFE64300000
MessageBus.dll                0x7FFE67230000
ConsoleUtilF4.dll             0x7FFE68760000
GFSDK_GodraysLib.x64.dll      0x7FFE69920000
winmmbase.dll                 0x7FFE69A30000
VCRUNTIME140_1.dll            0x7FFE6A200000
VCRUNTIME140.dll              0x7FFE6A210000
MSVCP140.dll                  0x7FFE6A230000
OneCoreCommonProxyStub.dll    0x7FFE6A580000
GFSDK_SSAO_D3D11.win64.dll    0x7FFE6BBB0000
