XINPUT1_3.dll               0x000000400000
X3DAudio1_7.dll             0x000056F70000
d3d11.dll                   0x000180000000
bcryptPrimitives.dll        0x015511C90000
cbp.dll                     0x015513550000
LL_fourPlay_1_10_163.dll    0x015514E30000
Fallout4.exe                0x7FF6B4460000
d3dcompiler_47_64.dll       0x7FFB68E00000
NvCamera64.dll              0x7FFB69210000
d3dcompiler_46e.dll         0x7FFB69A80000
steamclient64.dll           0x7FFB69E40000
IPHLPAPI.DLL                0x7FFB6B460000
steam_api64.dll             0x7FFB6C0B0000
Buffout4.dll                0x7FFB6CF30000
D3DCOMPILER_43.dll          0x7FFB6DA60000
flexRelease_x64.dll         0x7FFB81420000
nvspcap64.dll               0x7FFB89B80000
XAudio2_7.dll               0x7FFBB9B60000
DSOUND.DLL                  0x7FFBBEEC0000
usvfs_x64.dll               0x7FFBBF400000
DINPUT8.dll                 0x7FFBC2D20000
XDI.dll                     0x7FFBC2D70000
wsfw_identifier.dll         0x7FFBC2DE0000
UnlimitedSurvivalMode.dll   0x7FFBC2EE0000
PowerGridTools.dll          0x7FFBC5520000
NanakoSurgeon.dll           0x7FFBC5590000
mcm.dll                     0x7FFBC59C0000
HHS.dll                     0x7FFBC78A0000
TextShaping.dll             0x7FFBC8420000
NativeSync.dll              0x7FFBC8730000
HighFPSPhysicsFix.dll       0x7FFBC8780000
Windows.UI.dll              0x7FFBCB9C0000
cudart64_75.dll             0x7FFBCE2A0000
GFSDK_SSAO_D3D11.win64.dll  0x7FFBCE300000
GFSDK_GodraysLib.x64.dll    0x7FFBCEED0000
f4ee.dll                    0x7FFBD0030000
MSVCR110.dll                0x7FFBD05B0000
d3dx11_43.dll               0x7FFBD0F60000
f4se_steam_loader.dll       0x7FFBD1350000
MessageBus.dll              0x7FFBD28F0000
textinputframework.dll      0x7FFBD35E0000
inputhost.dll               0x7FFBD47B0000
flexExtRelease_x64.dll      0x7FFBD4F70000
MSVCP110.dll                0x7FFBD4FD0000
webio.dll                   0x7FFBD5990000
mskeyprotect.dll            0x7FFBD6100000
MSVCP140.dll                0x7FFBD6120000
nvwgf2umx.dll               0x7FFBD61B0000
nvapi64.dll                 0x7FFBDC090000
VCRUNTIME140_1.dll          0x7FFBDD180000
VCRUNTIME140.dll            0x7FFBDD210000
bink2w64.dll                0x7FFBDD270000
X3DAudio1_7.dll             0x7FFBDD300000
FloatingDamage.dll          0x7FFBDD3F0000
tier0_s64.dll               0x7FFBDD450000
AchievementsModsEnabler.dll 0x7FFBDD820000
ncryptsslp.dll              0x7FFBDD8C0000
Secur32.dll                 0x7FFBDD910000
nvToolsExt64_1.dll          0x7FFBDDB50000
f4pm.dll                    0x7FFBDDB90000
ESPExplorer.dll             0x7FFBDDC00000
f4se_1_10_163.dll           0x7FFBDE970000
vstdlib_s64.dll             0x7FFBDEAE0000
winmmbase.dll               0x7FFBDF520000
MessageBus.dll              0x7FFBDFBE0000
WINSPOOL.DRV                0x7FFBE0440000
COMCTL32.dll                0x7FFBE04E0000
MSIMG32.dll                 0x7FFBE0930000
amsi.dll                    0x7FFBE0B50000
wbemsvc.dll                 0x7FFBE1F60000
fastprox.dll                0x7FFBE2210000
WeaponDebrisCrashFix.dll    0x7FFBE2B40000
WINMM.dll                   0x7FFBE2C10000
XINPUT9_1_0.dll             0x7FFBE2C90000
wbemcomn.dll                0x7FFBE2EC0000
wbemprox.dll                0x7FFBE2F50000
KnockoutFramework.dll       0x7FFBE3000000
hudextension.dll            0x7FFBE3060000
pppl.dll                    0x7FFBE30C0000
cryptnet.dll                0x7FFBE31A0000
nvldumdx.dll                0x7FFBE31E0000
fwpuclnt.dll                0x7FFBE4250000
drvstore.dll                0x7FFBE4360000
VERSION.dll                 0x7FFBE4520000
dxcore.dll                  0x7FFBE4530000
rasadhlp.dll                0x7FFBE4680000
WindowsCodecs.dll           0x7FFBE4A20000
twinapi.appcore.dll         0x7FFBE4C00000
WINHTTP.dll                 0x7FFBE4E00000
WindowManagementAPI.dll     0x7FFBE5030000
MMDevApi.dll                0x7FFBE5330000
AUDIOSES.DLL                0x7FFBE55F0000
dhcpcsvc.DLL                0x7FFBE5E00000
dhcpcsvc6.DLL               0x7FFBE5E20000
WINNSI.DLL                  0x7FFBE5E40000
PROPSYS.dll                 0x7FFBE62F0000
wintypes.dll                0x7FFBE6D80000
dcomp.dll                   0x7FFBE7070000
CoreUIComponents.dll        0x7FFBE7600000
CoreMessaging.dll           0x7FFBE7960000
PriorityMod.dll             0x7FFBE7B70000
enbhelperf4.dll             0x7FFBE7C50000
CHW_fix_test_plugin.dll     0x7FFBE7C90000
UxTheme.dll                 0x7FFBE7F60000
resourcepolicyclient.dll    0x7FFBE80E0000
dwmapi.dll                  0x7FFBE8300000
DbgHelp.dll                 0x7FFBE9020000
windows.storage.dll         0x7FFBE9210000
HID.DLL                     0x7FFBE99B0000
d3d11.dll                   0x7FFBE99C0000
avrt.dll                    0x7FFBE9C30000
kernel.appcore.dll          0x7FFBE9CA0000
dxgi.dll                    0x7FFBE9CC0000
schannel.DLL                0x7FFBEA390000
rsaenh.dll                  0x7FFBEA470000
ntmarta.dll                 0x7FFBEA590000
UMPDC.dll                   0x7FFBEA840000
IpHlpAPI.dll                0x7FFBEA860000
DNSAPI.dll                  0x7FFBEA8B0000
powrprof.dll                0x7FFBEA980000
MSWSOCK.dll                 0x7FFBEABC0000
CRYPTBASE.DLL               0x7FFBEADB0000
CRYPTSP.dll                 0x7FFBEADC0000
Wldp.dll                    0x7FFBEAE60000
NTASN1.dll                  0x7FFBEAE90000
ncrypt.dll                  0x7FFBEAED0000
msasn1.dll                  0x7FFBEAFF0000
devobj.dll                  0x7FFBEB1B0000
DPAPI.DLL                   0x7FFBEB200000
SSPICLI.DLL                 0x7FFBEB2C0000
profapi.dll                 0x7FFBEB340000
wintrust.dll                0x7FFBEB400000
cfgmgr32.dll                0x7FFBEB470000
ucrtbase.dll                0x7FFBEB570000
KERNELBASE.dll              0x7FFBEB670000
win32u.dll                  0x7FFBEB950000
msvcp_win.dll               0x7FFBEB980000
bcrypt.dll                  0x7FFBEBA20000
CRYPT32.dll                 0x7FFBEBA50000
gdi32full.dll               0x7FFBEBC40000
USER32.dll                  0x7FFBEBD50000
SHELL32.dll                 0x7FFBEBEF0000
RPCRT4.dll                  0x7FFBEC640000
GDI32.dll                   0x7FFBEC770000
KERNEL32.DLL                0x7FFBEC7A0000
msvcrt.dll                  0x7FFBEC860000
SHLWAPI.dll                 0x7FFBECB10000
MSCTF.dll                   0x7FFBECBD0000
shcore.dll                  0x7FFBECD00000
OLEAUT32.dll                0x7FFBECDB0000
WS2_32.dll                  0x7FFBECE80000
NSI.dll                     0x7FFBECEF0000
clbcatq.dll                 0x7FFBECF00000
ole32.dll                   0x7FFBED030000
combase.dll                 0x7FFBED160000
COMDLG32.dll                0x7FFBED4C0000
imagehlp.dll                0x7FFBED5A0000
ADVAPI32.dll                0x7FFBED6B0000
IMM32.DLL                   0x7FFBED760000
PSAPI.DLL                   0x7FFBED790000
sechost.dll                 0x7FFBED7A0000
SETUPAPI.dll                0x7FFBED840000
ntdll.dll                   0x7FFBEDCF0000
