XINPUT1_3.dll                0x000000400000
X3DAudio1_7.dll              0x000061D20000
steam_api64.dll              0x000061D30000
Fallout4.exe                 0x7FF610800000
nvwgf2umx.dll                0x7FF9C6B50000
steamclient64.dll            0x7FFA08690000
XAudio2_7.dll                0x7FFA0E8E0000
IPHLPAPI.DLL                 0x7FFA10640000
nvspcap64.dll                0x7FFA1DFD0000
gameoverlayrenderer64.dll    0x7FFA1ED80000
NVIDIA_Reflex.dll            0x7FFA1EF10000
Buffout4.dll                 0x7FFA23DC0000
BakaScrapHeap.dll            0x7FFA246E0000
DSOUND.DLL                   0x7FFA24D20000
tier0_s64.dll                0x7FFA30760000
f4se_1_10_163.dll            0x7FFA315F0000
nvldumdx.dll                 0x7FFA316D0000
vstdlib_s64.dll              0x7FFA31890000
flexRelease_x64.dll          0x7FFA31DB0000
XDI.dll                      0x7FFA38440000
TIM.dll                      0x7FFA3D6B0000
place.dll                    0x7FFA41EA0000
mcm.dll                      0x7FFA420F0000
PrivateProfileRedirector.dll 0x7FFA42250000
MSVCR110.dll                 0x7FFA422B0000
CONCRT140.dll                0x7FFA426B0000
Interior-NavCut-Fix.dll      0x7FFA42B50000
HighFPSPhysicsFix.dll        0x7FFA4B660000
BetterConsole.dll            0x7FFA4EB10000
cudart64_75.dll              0x7FFA4EB80000
VCRUNTIME140.dll             0x7FFA59160000
VCRUNTIME140_1.dll           0x7FFA59180000
MSVCP140.dll                 0x7FFA59190000
DisableExitSave.dll          0x7FFA62E20000
GFSDK_GodraysLib.x64.dll     0x7FFA62E70000
MSVCP110.dll                 0x7FFA62ED0000
GFSDK_SSAO_D3D11.win64.dll   0x7FFA632E0000
crafting_highlight_fix.dll   0x7FFA638F0000
PlotUI.dll                   0x7FFA649B0000
flexExtRelease_x64.dll       0x7FFA649F0000
bink2w64.dll                 0x7FFA67810000
winmmbase.dll                0x7FFA67A80000
f4se_steam_loader.dll        0x7FFA6FF40000
PriorityMod.dll              0x7FFA73300000
MessageBus.dll               0x7FFA766D0000
InputHost.dll                0x7FFA791B0000
textinputframework.dll       0x7FFA799F0000
Windows.UI.dll               0x7FFA7D0D0000
COMCTL32.dll                 0x7FFA807D0000
MSIMG32.dll                  0x7FFA82AD0000
igc64.dll                    0x7FFA839A0000
nvapi64.dll                  0x7FFA8A1C0000
igdgmm64.dll                 0x7FFA8B9B0000
drvstore.dll                 0x7FFA8C3F0000
cryptnet.dll                 0x7FFA8C6C0000
IntelControlLib.dll          0x7FFA8C780000
igd10um64xe.DLL              0x7FFA8C810000
igd10iumd64.dll              0x7FFA8E130000
WINSPOOL.DRV                 0x7FFA8EF70000
WINMM.dll                    0x7FFA8F6C0000
Secur32.dll                  0x7FFA8FA80000
dxcore.dll                   0x7FFA907B0000
dhcpcsvc.DLL                 0x7FFA91890000
WeaponDebrisCrashFix.dll     0x7FFA92710000
SprintStutteringFix.dll      0x7FFA92740000
nvToolsExt64_1.dll           0x7FFA929A0000
AUDIOSES.DLL                 0x7FFA92A40000
VERSION.dll                  0x7FFA92BD0000
MMDevApi.dll                 0x7FFA92E90000
twinapi.appcore.dll          0x7FFA93850000
WindowManagementAPI.dll      0x7FFA93A60000
avrt.dll                     0x7FFA93F20000
WINHTTP.dll                  0x7FFA93F30000
PROPSYS.dll                  0x7FFA94CD0000
wintypes.dll                 0x7FFA950D0000
d3d11.dll                    0x7FFA95690000
dcomp.dll                    0x7FFA95EC0000
CoreUIComponents.dll         0x7FFA960B0000
CoreMessaging.dll            0x7FFA96790000
apphelp.dll                  0x7FFA969D0000
UxTheme.dll                  0x7FFA96BC0000
resourcepolicyclient.dll     0x7FFA96FC0000
dwmapi.dll                   0x7FFA96FE0000
windows.storage.dll          0x7FFA976D0000
HID.DLL                      0x7FFA97E70000
DbgHelp.dll                  0x7FFA97F40000
kernel.appcore.dll           0x7FFA98150000
dxgi.dll                     0x7FFA981C0000
rsaenh.dll                   0x7FFA98970000
ntmarta.dll                  0x7FFA98A90000
UMPDC.dll                    0x7FFA98D50000
IpHlpAPI.dll                 0x7FFA98D70000
powrprof.dll                 0x7FFA98E90000
MSWSOCK.dll                  0x7FFA990D0000
CRYPTBASE.DLL                0x7FFA992C0000
CRYPTSP.dll                  0x7FFA992D0000
Wldp.dll                     0x7FFA99370000
msasn1.dll                   0x7FFA99500000
devobj.dll                   0x7FFA996C0000
SSPICLI.DLL                  0x7FFA997E0000
profapi.dll                  0x7FFA99860000
msvcp_win.dll                0x7FFA99930000
win32u.dll                   0x7FFA999D0000
cfgmgr32.dll                 0x7FFA99A00000
KERNELBASE.dll               0x7FFA99B00000
CRYPT32.dll                  0x7FFA99E00000
ucrtbase.dll                 0x7FFA99F60000
bcrypt.dll                   0x7FFA9A060000
gdi32full.dll                0x7FFA9A090000
bcryptPrimitives.dll         0x7FFA9A1B0000
wintrust.dll                 0x7FFA9A240000
ole32.dll                    0x7FFA9A2B0000
SHELL32.dll                  0x7FFA9A3E0000
COMDLG32.dll                 0x7FFA9AB90000
msvcrt.dll                   0x7FFA9AC70000
NSI.dll                      0x7FFA9AD10000
combase.dll                  0x7FFA9AD20000
SETUPAPI.dll                 0x7FFA9B080000
SHLWAPI.dll                  0x7FFA9B4F0000
USER32.dll                   0x7FFA9B550000
sechost.dll                  0x7FFA9B7D0000
KERNEL32.DLL                 0x7FFA9B870000
imagehlp.dll                 0x7FFA9B930000
WS2_32.dll                   0x7FFA9B950000
clbcatq.dll                  0x7FFA9B9C0000
RPCRT4.dll                   0x7FFA9BA70000
GDI32.dll                    0x7FFA9BC00000
IMM32.DLL                    0x7FFA9BC30000
shcore.dll                   0x7FFA9BE10000
MSCTF.dll                    0x7FFA9BEC0000
OLEAUT32.dll                 0x7FFA9BFF0000
ADVAPI32.dll                 0x7FFA9C150000
PSAPI.DLL                    0x7FFA9C200000
ntdll.dll                    0x7FFA9C250000
