XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x00005F870000
steam_api64.dll               0x00005F880000
LL_fourPlay_1_10_163.dll      0x000180000000
Buffout4.dll                  0x019BE23B0000
Fallout4.exe                  0x7FF613310000
DSOUND.DLL                    0x7FF809CF0000
nvcuda64.dll                  0x7FF8121B0000
d3dcompiler_47_64.dll         0x7FF812B70000
XAudio2_7.dll                 0x7FF813000000
NvCamera64.dll                0x7FF8131C0000
gameoverlayrenderer64.dll     0x7FF814840000
wsfw_identifier.dll           0x7FF8149D0000
XDI.dll                       0x7FF814C80000
PowerGridTools.dll            0x7FF814CF0000
place.dll                     0x7FF814D60000
mcm.dll                       0x7FF814DE0000
HighFPSPhysicsFix.dll         0x7FF814E80000
f4ee.dll                      0x7FF814F10000
f4se_1_10_163.dll             0x7FF815380000
vstdlib_s64.dll               0x7FF815460000
tier0_s64.dll                 0x7FF815520000
steamclient64.dll             0x7FF8156C0000
BulletCountedReload.dll       0x7FF81AB30000
flexRelease_x64.dll           0x7FF81ABC0000
MSVCR110.dll                  0x7FF81AD10000
GFSDK_SSAO_D3D11.win64.dll    0x7FF824F60000
BetterConsole.dll             0x7FF82BE60000
DINPUT8.dll                   0x7FF82C070000
cudart64_75.dll               0x7FF82C910000
MSVCP110.dll                  0x7FF82C970000
GFSDK_GodraysLib.x64.dll      0x7FF82D9E0000
bink2w64.dll                  0x7FF82DA40000
nvspcap64.dll                 0x7FF82E720000
MessageBus.dll                0x7FF83BC40000
flexExtRelease_x64.dll        0x7FF83C4E0000
f4se_steam_loader.dll         0x7FF83D200000
nvldumdx.dll                  0x7FF8515F0000
mskeyprotect.dll              0x7FF853730000
ncryptsslp.dll                0x7FF853AC0000
XINPUT9_1_0.dll               0x7FF855080000
winmmbase.dll                 0x7FF8560D0000
Secur32.dll                   0x7FF8567B0000
VCRUNTIME140_1.dll            0x7FF856840000
VCRUNTIME140.dll              0x7FF856930000
MSVCP140.dll                  0x7FF856F20000
webio.dll                     0x7FF858130000
Windows.UI.dll                0x7FF85ADE0000
inputhost.dll                 0x7FF85C680000
textinputframework.dll        0x7FF85C920000
wbemsvc.dll                   0x7FF863DC0000
fastprox.dll                  0x7FF863DE0000
wbemcomn.dll                  0x7FF864550000
OneCoreCommonProxyStub.dll    0x7FF865E50000
COMCTL32.dll                  0x7FF867EF0000
dbghelp.dll                   0x7FF868AF0000
WINMM.dll                     0x7FF8694C0000
nvapi64.dll                   0x7FF869920000
MpOav.dll                     0x7FF86A1C0000
amsi.dll                      0x7FF86A240000
fwpuclnt.dll                  0x7FF86B580000
dxcore.dll                    0x7FF86B690000
OneCoreUAPCommonProxyStub.dll 0x7FF86B7C0000
wbemprox.dll                  0x7FF86C000000
drvstore.dll                  0x7FF86CD10000
rasadhlp.dll                  0x7FF86CE60000
cryptnet.dll                  0x7FF86CEB0000
WINHTTP.dll                   0x7FF86CEF0000
VERSION.dll                   0x7FF86D0E0000
WindowsCodecs.dll             0x7FF86D490000
twinapi.appcore.dll           0x7FF86D650000
dhcpcsvc.DLL                  0x7FF86D860000
dhcpcsvc6.DLL                 0x7FF86D990000
WindowManagementAPI.dll       0x7FF86D9B0000
WINNSI.DLL                    0x7FF86DA80000
MMDevApi.dll                  0x7FF86DC10000
AUDIOSES.DLL                  0x7FF86DCA0000
avrt.dll                      0x7FF86E360000
PROPSYS.dll                   0x7FF86F520000
d3d11.dll                     0x7FF86FE90000
nvToolsExt64_1.dll            0x7FF8701C0000
wintypes.dll                  0x7FF870960000
dcomp.dll                     0x7FF870AC0000
CoreUIComponents.dll          0x7FF871030000
CoreMessaging.dll             0x7FF871390000
uxtheme.dll                   0x7FF871860000
resourcepolicyclient.dll      0x7FF871990000
dwmapi.dll                    0x7FF871A90000
kernel.appcore.dll            0x7FF871D80000
windows.storage.dll           0x7FF871F80000
HID.DLL                       0x7FF872720000
dxgi.dll                      0x7FF872760000
schannel.DLL                  0x7FF872E20000
rsaenh.dll                    0x7FF872F10000
ntmarta.dll                   0x7FF873030000
UMPDC.dll                     0x7FF8732F0000
IPHLPAPI.DLL                  0x7FF873310000
DNSAPI.dll                    0x7FF873360000
powrprof.dll                  0x7FF873430000
MSWSOCK.dll                   0x7FF873670000
CRYPTSP.dll                   0x7FF873860000
CRYPTBASE.DLL                 0x7FF873880000
Wldp.dll                      0x7FF873910000
NTASN1.dll                    0x7FF873940000
ncrypt.dll                    0x7FF873980000
msasn1.dll                    0x7FF873AA0000
devobj.dll                    0x7FF873C60000
DPAPI.DLL                     0x7FF873CC0000
SSPICLI.DLL                   0x7FF873D80000
USERENV.dll                   0x7FF873DC0000
profapi.dll                   0x7FF873E00000
cfgmgr32.dll                  0x7FF873ED0000
win32u.dll                    0x7FF873F20000
gdi32full.dll                 0x7FF873F50000
wintrust.dll                  0x7FF874070000
bcryptPrimitives.dll          0x7FF8740E0000
CRYPT32.dll                   0x7FF874170000
ucrtbase.dll                  0x7FF874380000
msvcp_win.dll                 0x7FF874480000
KERNELBASE.dll                0x7FF874520000
bcrypt.dll                    0x7FF874820000
SHCORE.dll                    0x7FF874850000
IMM32.DLL                     0x7FF874900000
ole32.dll                     0x7FF874990000
SHELL32.dll                   0x7FF874AC0000
shlwapi.dll                   0x7FF875210000
RPCRT4.dll                    0x7FF875270000
combase.dll                   0x7FF8753A0000
USER32.dll                    0x7FF875700000
imagehlp.dll                  0x7FF8758A0000
sechost.dll                   0x7FF8758C0000
MSCTF.dll                     0x7FF875960000
KERNEL32.DLL                  0x7FF875A80000
COMDLG32.dll                  0x7FF875BD0000
SETUPAPI.dll                  0x7FF875CB0000
WS2_32.dll                    0x7FF876120000
OLEAUT32.dll                  0x7FF876190000
ADVAPI32.dll                  0x7FF8762C0000
clbcatq.dll                   0x7FF876370000
GDI32.dll                     0x7FF876420000
msvcrt.dll                    0x7FF876450000
NSI.dll                       0x7FF8766A0000
PSAPI.DLL                     0x7FF8766B0000
ntdll.dll                     0x7FF8767F0000
MessageBus.dll                0x7FFFEC060000
nvwgf2umx.dll                 0x7FFFEF930000
