[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     Fallout 4 Fixes.esm
[09]     XDI.esm
[0A]     HUDFramework.esm
[0B]     BaseIDforUniques.esm
[0C]     DamnApocalypse_CORE.esm
[0D]     ProjectZeta.esm
[0E]     DCGuard_Overhaul.esp
[0F]     TheRooftops.esm
[10]     TheMarshland.esm
[11]     Homemaker.esm
[12]     EthreonMasterPlan.esm
[13]     MutantMenagerie.esm
[14]     MutantMenagerie_FarHarbor.esm
[15]     MutantMenagerie_NukaWorld.esm
[16]     InstituteTechnologyOverhaul.esm
[17]     PANPC.esm
[18]     PACE.esm
[19]     ShieldFramework.esm
[1A]     SettlementMenuManager.esp
[1B]     Fixed Alpha Maps.esp
[1C]     Pip-Boy Flashlight.esp
[1D]     PiP-Boy2000.esp
[1E]     PiP-Boy2000_Pip-BoyFlashlight.esp
[1F]     DynamicInteriorFogRemoval.esp
[20]     UltraInteriorLighting.esp
[21]     Consistent Power Armor Overhaul.esp
[22]     PD_LowerWeapon.esp
[23]     Some Assembly Required.esp
[24]     StartMeUp.esp
[25]     StartMeUpNukaWorldPatch.esp
[26]     Alias.esp
[27]     DamnApocalypse_Loot.esp
[28]     ImmersiveAnimationFramework.esp
[29]     CustomCamera.esp
[2A]     Splinterz.esp
[2B]     Splinterz_FarHarbor_10%.esp
[2C]     Splinterz_NoDLC_25%.esp
[2D]     Complex Vendors.esp
[2E]     InstitWeapPosit.esp
[2F]     RemoveBlur.esp
[30]     Vivid Fallout - All in One - Best Choice.esp
[31]     Vivid Weathers - FO4.esp
[32]     Vivid Weathers - Natural Bright.esp
[33]     plasmaproject.esp
[34]     X01Light.esp
[35]     ruined_handmadeturrets.esp
[36]     CROSS_GoreCrits.esp
[37]     CROSS_GoreCrits_FarHarborPatch.esp
[38]     Meleebangs.esp
[39]     RustDevilRedux.esp
[3A]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[3B]     ProjectZetaExpanded.esp
[3C]     CSEPBIARedux.esp
[3D]     cambridgefacility.esp
[3E]     CSEPAllAmericans.esp
[3F]     LoadedBasesFSDPatch.esp
[40]     Antagonist.esp
[41]     DWUK_LexingtonInteriors.esp
[42]     InsideJobs.esp
[43]     0_Vault120.esp
[44]     InstituteReformation.esp
[45]     CSEPLoadedBases.esp
[46]     DP_CaravanShotgun.esp
[47]     3dscopes.esp
[48]     BF1 Animations - Double Barrel Shotgun v2.3.esp
[49]     WestTek.esp
[4A]     HandmadeLeverActionSG.esp
[4B]     RadiumPistol.esp
[4C]     MTs255.esp
[4D]     SpearRifle.esp
[4E]     Skb_RiflesRebirth.esp
[4F]     MunitionsBallistics-MAA.esp
[50]     Mica-T6M_EMD.esp
[51]     BullpupR91.esp
[52]     AK74M.esp
[53]     RiotShotgun.esp
[54]     GreaseGunSMG.esp
[55]     WattzLaserGun.esp
[56]     45autoPistol.esp
[57]     M1928A1.esp
[58]     65SeriesPistols.esp
[59]     AssaultLMG.esp
[5A]     OTs33Pernach.esp
[5B]     LString_Bow.esp
[5C]     BH_Kar98k.esp
[5D]     M1Garand.esp
[5E]     AVBGuns.esp
[5F]     HomemadeLasRevolver.esp
[60]     WastelandFlamerAlone.esp
[61]     M72GaussRifle.esp
[62]     M2_Flamethrower_2.2.esp
[63]     ThingsG3.esp
[64]     RangemasterRemaster.esp
[65]     Minutemen Weapon Pack.esp
[66]     127mmSMG.esp
[67]     InfiltratorSMG.esp
[68]     BullpupHmar.esp
[69]     CazadorML.esp
[6A]     ThingsMP5.esp
[6B]     smmg.esp
[6C]     PigRetroAR15.esp
[6D]     WinchesterP94Balanced2.esp
[6E]     WinchesterP94PlasmaTweaks.esp
[6F]     DupletF4.esp
[70]     HandmadeAntiMat.esp
[71]     NZ41.esp
[72]     GrenadeExpansionPack.esp
[73]     AssaultFlamer.esp
[74]     GaussRevolver.esp
[75]     HaxRPG7.esp
[76]     GatlingRifle.esp
[77]     GatlingRifle-NoIdiotSavant.esp
[78]     MarksmansMistress.esp
[79]     RPD.esp
[7A]     Sjogren.esp
[7B]     wd_huntingrifle.esp
[7C]     AKSounds.esp
[7D]     F4NVRechargerWeapons.esp
[7E]     DT_MercOutfitPack.esp
[7F]     AtomsGloryThreads.esp
[80]     CourserCrusher.esp
[81]     FO4 NPCs Travel.esp
[82]     i73fi-scavengers.esp
[83]     Eli_Armour_Compendium.esp
[84]     CF_AtomicWarlord.esp
[85]     Backpacks of the Commonwealth.esp
[86]     Jetpack Overhaul.esp
[87]     TNR Shoulder Lamp.esp
[88]     TNR Shoulder Lamp - Settings.esp
[89]     Metro Gas Masks.esp
[8A]     Altyn Assault Helmet.esp
[8B]     Mercenary.esp
[8C]     T-51C Power Armor.esp
[8D]     SovietPowerArmor.esp
[8E]     SubmersiblePowerArmorRedux.esp
[8F]     Radbees.esp
[90]     SuperMutantRedux.esp
[91]     DCMolerats.esp
[92]     Famished.esp
[93]     T47R_PA.esp
[94]     ConceptCentaur.esp
[95]     Floaters.esp
[96]     kobold.esp
[97]     MODspider.esp
[98]     MutantMenagerie_Exotics.esp
[99]     SKKFeralNights.esp
[9A]     Flashy_Infestations.esp
[9B]     Defective_Synth.esp
[9C]     fo3friedghouls.esp
[9D]     [ARRETH] FGEP.esp
[9E]     ZombieWalkers.esp
[9F]     GhoulBlood.esp
[A0]     kudemborotmantis.esp
[A1]     RaiderOverhaul.esp
