XINPUT1_3.dll              0x000000400000
X3DAudio1_7.dll            0x00005A0C0000
steam_api64.dll            0x00005A0D0000
BakaMaxPapyrusOps.dll      0x01C2E7CE0000
wintrust.dll               0x01C2F4FF0000
Fallout4.exe               0x7FF69CA10000
PhysXDevice64.dll          0x7FFE304D0000
XAudio2_7.dll              0x7FFE30590000
gameoverlayrenderer64.dll  0x7FFE31290000
XDI.dll                    0x7FFE31670000
WeightlessItems.dll        0x7FFE316E0000
RobCo_Patcher.dll          0x7FFE31730000
mcm.dll                    0x7FFE31810000
f4ee.dll                   0x7FFE318B0000
BulletCountedReload.dll    0x7FFE319C0000
Buffout4.dll               0x7FFE31A50000
BakaScrapHeap.dll          0x7FFE31DB0000
f4se_1_10_163.dll          0x7FFE31F30000
tier0_s64.dll              0x7FFE32010000
steamclient64.dll          0x7FFE321B0000
IPHLPAPI.DLL               0x7FFE337D0000
PRKF.dll                   0x7FFE34000000
vstdlib_s64.dll            0x7FFE34090000
LongLoadingTimesFix.dll    0x7FFE4D670000
cudart64_75.dll            0x7FFE4D6D0000
GFSDK_GodraysLib.x64.dll   0x7FFE4D730000
GFSDK_SSAO_D3D11.win64.dll 0x7FFE4D790000
flexRelease_x64.dll        0x7FFE4D990000
flexExtRelease_x64.dll     0x7FFE4ED50000
MSVCR110.dll               0x7FFE4F450000
MSVCP110.dll               0x7FFE4F530000
bink2w64.dll               0x7FFE4F660000
usvfs_x64.dll              0x7FFE509A0000
nvspcap64.dll              0x7FFE58090000
nvcuda64.dll               0x7FFE587D0000
nvcuda.dll                 0x7FFE59190000
DSOUND.DLL                 0x7FFE59550000
f4se_steam_loader.dll      0x7FFE659A0000
winmmbase.dll              0x7FFE9F600000
ncryptsslp.dll             0x7FFEABD30000
nvwgf2umx.dll              0x7FFEAC0E0000
MessageBus.dll             0x7FFEB1FC0000
MSIMG32.dll                0x7FFEB2B10000
mskeyprotect.dll           0x7FFEB4920000
Windows.UI.dll             0x7FFEB5760000
Secur32.dll                0x7FFEB8B80000
nvldumdx.dll               0x7FFEB9860000
WindowManagementAPI.dll    0x7FFEBCA80000
dxcore.dll                 0x7FFEBD010000
DbgHelp.dll                0x7FFEBD710000
InputHost.dll              0x7FFEBDBE0000
textinputframework.dll     0x7FFEBEA10000
WINSPOOL.DRV               0x7FFEBEE20000
avrt.dll                   0x7FFEBEEC0000
WINMM.dll                  0x7FFEC03D0000
MSVCP140.dll               0x7FFEC0400000
VCRUNTIME140_1.dll         0x7FFEC06F0000
VCRUNTIME140.dll           0x7FFEC0700000
COMCTL32.dll               0x7FFEC07E0000
webio.dll                  0x7FFEC2B50000
twinapi.appcore.dll        0x7FFEC4750000
MpOav.dll                  0x7FFEC5A80000
amsi.dll                   0x7FFEC5B00000
wbemsvc.dll                0x7FFEC5BD0000
fastprox.dll               0x7FFEC5BF0000
wbemcomn.dll               0x7FFEC6160000
nvapi64.dll                0x7FFEC61F0000
fwpuclnt.dll               0x7FFEC7060000
wbemprox.dll               0x7FFEC74B0000
rasadhlp.dll               0x7FFEC7C90000
drvstore.dll               0x7FFEC8110000
cryptnet.dll               0x7FFEC8310000
VERSION.dll                0x7FFEC83F0000
dhcpcsvc.DLL               0x7FFEC8940000
dhcpcsvc6.DLL              0x7FFEC8980000
PROPSYS.dll                0x7FFEC89A0000
WINNSI.DLL                 0x7FFEC8AA0000
MMDevApi.dll               0x7FFEC8E10000
AUDIOSES.DLL               0x7FFEC8F60000
WINHTTP.dll                0x7FFEC9710000
WeaponDebrisCrashFix.dll   0x7FFECA060000
nvToolsExt64_1.dll         0x7FFECA080000
d3d11.dll                  0x7FFECA6D0000
wintypes.dll               0x7FFECADA0000
CoreUIComponents.dll       0x7FFECB4B0000
CoreMessaging.dll          0x7FFECB910000
apphelp.dll                0x7FFECBAF0000
UxTheme.dll                0x7FFECBC30000
resourcepolicyclient.dll   0x7FFECBD00000
dwmapi.dll                 0x7FFECBF20000
kernel.appcore.dll         0x7FFECC100000
