xinput1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000069BB0000
steam_api64.dll               0x000069BC0000
Fallout4.exe                  0x7FF7AB750000
nvwgf2umx.dll                 0x7FFF1BB60000
nvcuda.dll                    0x7FFF542F0000
nvcuda64.dll                  0x7FFF556F0000
PhysXDevice64.dll             0x7FFF572F0000
XAudio2_7.dll                 0x7FFF573B0000
d3dcompiler_47_64.dll         0x7FFF576C0000
NvCamera64.dll                0x7FFF57AD0000
DINPUT8.dll                   0x7FFF5F5D0000
nvspcap64.dll                 0x7FFF5FB10000
steamclient64.dll             0x7FFF60440000
IPHLPAPI.DLL                  0x7FFF61A60000
SUP_F4SE.dll                  0x7FFF626C0000
gameoverlayrenderer64.dll     0x7FFF65510000
nvldumdx.dll                  0x7FFF65D50000
wsfw_identifier.dll           0x7FFF65E10000
ShadowBoostFO4.dll            0x7FFF65F10000
DINPUT8.dll                   0x7FFF68A60000
RobCo_Patcher.dll             0x7FFF68AC0000
PRKF.dll                      0x7FFF68BA0000
place.dll                     0x7FFF68C30000
PowerGridTools.dll            0x7FFF6C540000
mcm.dll                       0x7FFF6D9C0000
LongLoadingTimesFix.dll       0x7FFF6E4A0000
HighFPSPhysicsFix.dll         0x7FFF6E500000
faster_workshop.dll           0x7FFF6E590000
f4ee.dll                      0x7FFF6E5F0000
ClassicHolsteredWeapons.dll   0x7FFF6E700000
Buffout4.dll                  0x7FFF6E7B0000
BakaFramework.dll             0x7FFF6EB10000
tier0_s64.dll                 0x7FFF6EC00000
f4pm.dll                      0x7FFF6EFF0000
BakaScrapHeap.dll             0x7FFF7BDB0000
f4se_1_10_163.dll             0x7FFF7BF40000
cudart64_75.dll               0x7FFF7C020000
ResampleDmo.DLL               0x7FFF7C400000
DSOUND.DLL                    0x7FFF7C4C0000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF7D790000
flexRelease_x64.dll           0x7FFF7DB30000
GFSDK_GodraysLib.x64.dll      0x7FFF7F520000
MSVCR110.dll                  0x7FFF7F580000
MSVCP110.dll                  0x7FFF839A0000
flexExtRelease_x64.dll        0x7FFF84890000
bink2w64.dll                  0x7FFF858D0000
vstdlib_s64.dll               0x7FFF85960000
BetterConsole.dll             0x7FFF85AA0000
MpOav.dll                     0x7FFF888D0000
f4se_steam_loader.dll         0x7FFF99E20000
d3d11.dll                     0x7FFF9BA80000
XINPUT1_3.dll                 0x7FFFA6680000
usvfs_x64.dll                 0x7FFFB0D90000
nvToolsExt64_1.dll            0x7FFFB4C10000
ncryptsslp.dll                0x7FFFB51D0000
XINPUT9_1_0.dll               0x7FFFB57D0000
amsi.dll                      0x7FFFB6260000
WeaponDebrisCrashFix.dll      0x7FFFB8B70000
OneCoreCommonProxyStub.dll    0x7FFFBB480000
MessageBus.dll                0x7FFFBCC70000
TextShaping.dll               0x7FFFBDB60000
webio.dll                     0x7FFFC0850000
WININET.dll                   0x7FFFC11F0000
dbgcore.DLL                   0x7FFFC1BB0000
VCRUNTIME140.dll              0x7FFFC34A0000
VCRUNTIME140_1.dll            0x7FFFC34E0000
winmmbase.dll                 0x7FFFC3550000
MSVCP140.dll                  0x7FFFC36C0000
inputhost.dll                 0x7FFFC4740000
