XINPUT1_3.dll                    0x000000400000
X3DAudio1_7.dll                  0x0000537D0000
RTSSHooks64.dll                  0x000180000000
ArmorPenetrationBugFix.dll       0x02062C930000
Fallout4.exe                     0x7FF763900000
d3dcompiler_42.dll               0x7FFB35750000
DSOUND.DLL                       0x7FFB371F0000
XAudio2_7.dll                    0x7FFB37290000
d3dx11_42.dll                    0x7FFB37320000
xinput1_4.dll                    0x7FFB37370000
XDI.dll                          0x7FFB374D0000
wsfw_identifier.dll              0x7FFB37540000
WhoseQuestIsItAnywayF4.dll       0x7FFB37640000
WeaponDebrisCrashFix.dll         0x7FFB376A0000
vertibird_jump.dll               0x7FFB376C0000
SprintStutteringFix.dll          0x7FFB37710000
SprintSpeedController.dll        0x7FFB37730000
ShadowBoostFO4.dll               0x7FFB37780000
RustyFaceFix.dll                 0x7FFB37850000
RobCo_Patcher.dll                0x7FFB378A0000
RememberPickAngleUpdated.dll     0x7FFB37990000
ReloadFix.dll                    0x7FFB37A50000
PrivateProfileRedirector.dll     0x7FFB37AA0000
PriorityMod.dll                  0x7FFB37B00000
PowerGridTools.dll               0x7FFB37B30000
place.dll                        0x7FFB37BA0000
Outfit-ReDress-Fix.dll           0x7FFB37C20000
mcm.dll                          0x7FFB37C70000
LongLoadingTimesFix.dll          0x7FFB37D10000
CONCRT140.dll                    0x7FFB37D70000
Interior-NavCut-Fix.dll          0x7FFB37DC0000
HighFPSPhysicsFix.dll            0x7FFB37E10000
GLXRM_SprintOverhaul.dll         0x7FFB37EA0000
GCBugFix.dll                     0x7FFB37EF0000
faster_workshop.dll              0x7FFB37F50000
f4ee.dll                         0x7FFB37FB0000
encounter_zone_recalculation.dll 0x7FFB380C0000
DisableExitSave.dll              0x7FFB380F0000
crafting_highlight_fix.dll       0x7FFB38140000
ConsoleUtilF4.dll                0x7FFB38190000
ClockWidget.dll                  0x7FFB381E0000
MSVCP140_ATOMIC_WAIT.dll         0x7FFB38230000
CCExtenderF4.dll                 0x7FFB38250000
cc_cleaner.dll                   0x7FFB382C0000
cbp.dll                          0x7FFB38300000
BulletCountedReload.dll          0x7FFB38350000
Buffout4.dll                     0x7FFB383E0000
BetterConsole.dll                0x7FFB38780000
BakaMaxPapyrusOps.dll            0x7FFB387F0000
f4se_1_10_163.dll                0x7FFB388F0000
f4se_steam_loader.dll            0x7FFB389D0000
cudart64_75.dll                  0x7FFB38A10000
GFSDK_GodraysLib.x64.dll         0x7FFB38A70000
GFSDK_SSAO_D3D11.win64.dll       0x7FFB38AD0000
flexExtRelease_x64.dll           0x7FFB38B60000
flexRelease_x64.dll              0x7FFB38BC0000
MSVCR110.dll                     0x7FFB38D10000
