XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00006BB00000
LL_fourPlay_1_10_163.dll           0x000180000000
Fallout4.exe                       0x7FF6F0E00000
nvwgf2umx.dll                      0x7FF8A5CC0000
IPHLPAPI.DLL                       0x7FF8C3BE0000
DSOUND.DLL                         0x7FF8C72E0000
nvldumdx.dll                       0x7FF8D27B0000
nvspcap64.dll                      0x7FF8DA3D0000
wsfw_identifier.dll                0x7FF8DAED0000
SUP_F4SE.dll                       0x7FF8DAFD0000
po3_SpellPerkItemDistributorF4.dll 0x7FF8DB280000
NVIDIA_Reflex.dll                  0x7FF8DC030000
HHS.dll                            0x7FF8DC100000
f4ee.dll                           0x7FF8DC1F0000
flexRelease_x64.dll                0x7FF8DDCC0000
XAudio2_7.dll                      0x7FF8DE0F0000
Buffout4.dll                       0x7FF8DE180000
MODExplorer.dll                    0x7FF8DF140000
cudart64_75.dll                    0x7FF8DF1C0000
GFSDK_GodraysLib.x64.dll           0x7FF8DFB20000
GFSDK_SSAO_D3D11.win64.dll         0x7FF8DFB80000
MSVCR110.dll                       0x7FF8E0070000
MSVCP110.dll                       0x7FF8E0150000
bink2w64.dll                       0x7FF8E1D70000
flexExtRelease_x64.dll             0x7FF8E1F20000
PowerGridTools.dll                 0x7FF8E7BC0000
EscapeFreeze.dll                   0x7FF8E7C30000
steam_api64.dll                    0x7FF8E8060000
mcm.dll                            0x7FF8E8190000
KnockoutFramework.dll              0x7FF8E91D0000
BakaScrapHeap.dll                  0x7FF8E9230000
HighFPSPhysicsFix.dll              0x7FF8EA510000
RustyFaceFix.dll                   0x7FF8EB880000
rename_anything.dll                0x7FF8EBD80000
BulletCountedReload.dll            0x7FF8ED010000
d3d11.dll                          0x7FF8ED290000
usvfs_x64.dll                      0x7FF8ED2E0000
crafting_highlight_fix.dll         0x7FF8EEF60000
BakaFramework.dll                  0x7FF8F0880000
mskeyprotect.dll                   0x7FF8F91B0000
ncryptsslp.dll                     0x7FF8F9520000
OneCoreCommonProxyStub.dll         0x7FF8F9570000
winmmbase.dll                      0x7FF8FAA80000
WININET.dll                        0x7FF8FABF0000
WINSPOOL.DRV                       0x7FF8FB370000
COMCTL32.dll                       0x7FF8FB6E0000
VCRUNTIME140_1.dll                 0x7FF8FD1E0000
MSVCP140.dll                       0x7FF8FD290000
VCRUNTIME140.dll                   0x7FF8FD320000
f4se_1_10_163.dll                  0x7FF8FEA40000
DbgHelp.dll                        0x7FF8FF440000
webio.dll                          0x7FF9020B0000
gdiplus.dll                        0x7FF902B80000
igdusc64.dll                       0x7FF902D30000
BetterConsole.dll                  0x7FF903FE0000
MpOav.dll                          0x7FF9041B0000
Bastion.dll                        0x7FF904270000
amsi.dll                           0x7FF904410000
igd10iumd64.dll                    0x7FF904520000
dxcore.dll                         0x7FF9057F0000
OneCoreUAPCommonProxyStub.dll      0x7FF906AA0000
nvapi64.dll                        0x7FF907530000
Windows.UI.dll                     0x7FF908D70000
f4se_steam_loader.dll              0x7FF908F40000
fastprox.dll                       0x7FF909C70000
WindowManagementAPI.dll            0x7FF90A6E0000
wbemsvc.dll                        0x7FF90A8A0000
rasadhlp.dll                       0x7FF90AC70000
wbemcomn.dll                       0x7FF90BB90000
WeaponDebrisCrashFix.dll           0x7FF90BC30000
wbemprox.dll                       0x7FF90BC50000
WINHTTP.dll                        0x7FF90BF50000
drvstore.dll                       0x7FF90C100000
fwpuclnt.dll                       0x7FF90C350000
cryptnet.dll                       0x7FF90C630000
nvToolsExt64_1.dll                 0x7FF90CAC0000
MSVCP140_ATOMIC_WAIT.dll           0x7FF90CC20000
twinapi.appcore.dll                0x7FF90CE90000
textinputframework.dll             0x7FF90D440000
dhcpcsvc.DLL                       0x7FF90D770000
dhcpcsvc6.DLL                      0x7FF90D790000
WINNSI.DLL                         0x7FF90D7B0000
avrt.dll                           0x7FF90D7C0000
WINMM.dll                          0x7FF90DAA0000
MMDevApi.dll                       0x7FF90DAD0000
AUDIOSES.DLL                       0x7FF90DFB0000
InputHost.dll                      0x7FF90E8F0000
VERSION.dll                        0x7FF90ED40000
PROPSYS.dll                        0x7FF90EF80000
MSIMG32.dll                        0x7FF90F9F0000
d3d11.Dll                          0x7FF90FF10000
wintypes.dll                       0x7FF910740000
dcomp.dll                          0x7FF9108A0000
CoreUIComponents.dll               0x7FF910E10000
CoreMessaging.dll                  0x7FF911170000
apphelp.dll                        0x7FF911400000
UxTheme.dll                        0x7FF9115A0000
resourcepolicyclient.dll           0x7FF911680000
dwmapi.dll                         0x7FF911890000
kernel.appcore.dll                 0x7FF911A70000
windows.storage.dll                0x7FF911C70000
HID.DLL                            0x7FF912410000
dxgi.dll                           0x7FF912470000
schannel.DLL                       0x7FF912B20000
rsaenh.dll                         0x7FF912C10000
ntmarta.dll                        0x7FF912D30000
UMPDC.dll                          0x7FF912FF0000
IpHlpAPI.dll                       0x7FF913010000
DNSAPI.dll                         0x7FF913060000
powrprof.dll                       0x7FF913180000
mswsock.dll                        0x7FF913370000
CRYPTBASE.DLL                      0x7FF913560000
CRYPTSP.dll                        0x7FF913570000
Wldp.dll                           0x7FF913610000
NTASN1.dll                         0x7FF913640000
ncrypt.dll                         0x7FF913680000
msasn1.dll                         0x7FF9137A0000
devobj.dll                         0x7FF9137C0000
DPAPI.DLL                          0x7FF9139C0000
SspiCli.dll                        0x7FF913A80000
USERENV.dll                        0x7FF913AC0000
profapi.dll                        0x7FF913B00000
