XINPUT1_3.dll                      0x000000400000
steam_api64.dll                    0x00005F0B0000
X3DAudio1_7.dll                    0x00005F0F0000
RTSSHooks64.dll                    0x000180000000
BakaFramework.dll                  0x021F3B940000
Fallout4.exe                       0x7FF74EB00000
d3dcompiler_42.dll                 0x7FFEE5CC0000
d3dx11_42.dll                      0x7FFEEE9B0000
d3dcompiler_47_64.dll              0x7FFEEEB30000
NvCamera64.dll                     0x7FFEEEF40000
gameoverlayrenderer64.dll          0x7FFEEF7B0000
RobCo_Patcher.dll                  0x7FFEEF940000
PRKF.dll                           0x7FFEEFA30000
po3_SpellPerkItemDistributorF4.dll 0x7FFEEFAC0000
mcm.dll                            0x7FFEEFBD0000
HighFPSPhysicsFix.dll              0x7FFEEFC70000
f4ee.dll                           0x7FFEEFD00000
Buffout4.dll                       0x7FFEEFE10000
steamclient64.dll                  0x7FFEF0170000
IPHLPAPI.DLL                       0x7FFEF1790000
BakaScrapHeap.dll                  0x7FFF02150000
f4se_1_10_163.dll                  0x7FFF02310000
BulletCountedReload.dll            0x7FFF043D0000
tier0_s64.dll                      0x7FFF04460000
XDI.dll                            0x7FFF057F0000
DINPUT8.dll                        0x7FFF07120000
vstdlib_s64.dll                    0x7FFF07170000
WmkActiveEffects.dll               0x7FFF07530000
GFSDK_SSAO_D3D11.win64.dll         0x7FFF075B0000
MSVCR110.dll                       0x7FFF07640000
GLXRM_ScalingFlagRemover.dll       0x7FFF07880000
flexRelease_x64.dll                0x7FFF078D0000
cudart64_75.dll                    0x7FFF12320000
MSVCP110.dll                       0x7FFF12380000
GFSDK_GodraysLib.x64.dll           0x7FFF34AA0000
WeaponDebrisCrashFix.dll           0x7FFF34F90000
SprintStutteringFix.dll            0x7FFF34FB0000
flexExtRelease_x64.dll             0x7FFF34FD0000
bink2w64.dll                       0x7FFF36220000
usvfs_x64.dll                      0x7FFF36DF0000
f4se_steam_loader.dll              0x7FFF36F80000
PhysXDevice64.dll                  0x7FFF40FF0000
XAudio2_7.dll                      0x7FFF410B0000
DSOUND.DLL                         0x7FFF45B60000
nvspcap64.dll                      0x7FFF51F30000
XINPUT9_1_0.dll                    0x7FFF939D0000
nvToolsExt64_1.dll                 0x7FFF93A60000
nvwgf2umx.dll                      0x7FFF98DD0000
nvldumdx.dll                       0x7FFF9ECB0000
Windows.UI.dll                     0x7FFFAEB00000
nvcuda64.dll                       0x7FFFAEEC0000
nvcuda.dll                         0x7FFFB02D0000
MessageBus.dll                     0x7FFFB0880000
mskeyprotect.dll                   0x7FFFB2DC0000
ncryptsslp.dll                     0x7FFFB2E90000
Secur32.dll                        0x7FFFB2EE0000
webio.dll                          0x7FFFB4410000
winmmbase.dll                      0x7FFFB66F0000
VCRUNTIME140.dll                   0x7FFFB6980000
MSVCP140.dll                       0x7FFFB69A0000
inputhost.dll                      0x7FFFB7130000
textinputframework.dll             0x7FFFB7900000
AUDIOSES.DLL                       0x7FFFB8C80000
VCRUNTIME140_1.dll                 0x7FFFBA3F0000
MessageBus.dll                     0x7FFFBB940000
WINSPOOL.DRV                       0x7FFFBC4D0000
COMCTL32.dll                       0x7FFFBC570000
MSIMG32.dll                        0x7FFFBC9C0000
com_antivirus.dll                  0x7FFFC05B0000
amsi.dll                           0x7FFFC0A20000
wbemsvc.dll                        0x7FFFC1120000
fastprox.dll                       0x7FFFC11F0000
wbemcomn.dll                       0x7FFFC1B90000
MMDevApi.dll                       0x7FFFC1C50000
nvapi64.dll                        0x7FFFC1CE0000
amdihk64.dll                       0x7FFFC2E90000
atidxx64.dll                       0x7FFFC2FC0000
atiuxp64.dll                       0x7FFFC4F40000
aticfx64.dll                       0x7FFFC4FD0000
dxcore.dll                         0x7FFFC53A0000
wbemprox.dll                       0x7FFFC67F0000
drvstore.dll                       0x7FFFC6AA0000
cryptnet.dll                       0x7FFFC6EB0000
VERSION.dll                        0x7FFFC6FC0000
fwpuclnt.dll                       0x7FFFC7A80000
rasadhlp.dll                       0x7FFFC8870000
dhcpcsvc.DLL                       0x7FFFC88E0000
dhcpcsvc6.DLL                      0x7FFFC8900000
twinapi.appcore.dll                0x7FFFC9290000
WindowManagementAPI.dll            0x7FFFC9510000
WindowsCodecs.dll                  0x7FFFC9600000
avrt.dll                           0x7FFFC9D00000
WINHTTP.dll                        0x7FFFC9EC0000
WINNSI.DLL                         0x7FFFC9FD0000
PROPSYS.dll                        0x7FFFCAE90000
wintypes.dll                       0x7FFFCB170000
d3d11.dll                          0x7FFFCB730000
dcomp.dll                          0x7FFFCC040000
CoreUIComponents.dll               0x7FFFCC230000
CoreMessaging.dll                  0x7FFFCC910000
apphelp.dll                        0x7FFFCCB50000
UxTheme.dll                        0x7FFFCCCC0000
dwmapi.dll                         0x7FFFCCE20000
resourcepolicyclient.dll           0x7FFFCCE50000
windows.storage.dll                0x7FFFCD410000
HID.DLL                            0x7FFFCDBB0000
DbgHelp.dll                        0x7FFFCDCC0000
WINMM.dll                          0x7FFFCDEB0000
kernel.appcore.dll                 0x7FFFCE110000
dxgi.dll                           0x7FFFCE180000
schannel.DLL                       0x7FFFCE830000
rsaenh.dll                         0x7FFFCE920000
ntmarta.dll                        0x7FFFCEA60000
IpHlpAPI.dll                       0x7FFFCED00000
DNSAPI.dll                         0x7FFFCED40000
MSWSOCK.dll                        0x7FFFCF010000
CRYPTSP.dll                        0x7FFFCF200000
CRYPTBASE.DLL                      0x7FFFCF220000
Wldp.dll                           0x7FFFCF2B0000
NTASN1.dll                         0x7FFFCF2E0000
ncrypt.dll                         0x7FFFCF320000
msasn1.dll                         0x7FFFCF440000
devobj.dll                         0x7FFFCF600000
DPAPI.DLL                          0x7FFFCF660000
UMPDC.dll                          0x7FFFCF670000
powrprof.dll                       0x7FFFCF690000
SSPICLI.DLL                        0x7FFFCF790000
USERENV.dll                        0x7FFFCF7D0000
profapi.dll                        0x7FFFCF810000
win32u.dll                         0x7FFFCF990000
msvcp_win.dll                      0x7FFFCF9C0000
KERNELBASE.dll                     0x7FFFCFA60000
