XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x000063D60000
steam_api64.dll                    0x000063D70000
mdnsNSP.dll                        0x000064E50000
d3d11.dll                          0x000180000000
bcryptPrimitives.dll               0x023329C40000
GCBugFix.dll                       0x023335090000
Fallout4.exe                       0x7FF660370000
nvcuda64.dll                       0x7FFAB1B80000
nvwgf2umx.dll                      0x7FFAB2530000
steamclient64.dll                  0x7FFAC2420000
nvspcap64.dll                      0x7FFACAE60000
NvCamera64.dll                     0x7FFACB610000
ResampleDmo.DLL                    0x7FFAD6AA0000
DSOUND.DLL                         0x7FFAD6B60000
XAudio2_7.dll                      0x7FFAE4940000
d3dcompiler_47_64.dll              0x7FFAE4CB0000
d3dcompiler_46e.dll                0x7FFAE50C0000
gameoverlayrenderer64.dll          0x7FFAE5480000
wsfw_identifier.dll                0x7FFAE5610000
ShadowBoostFO4.dll                 0x7FFAE5710000
RobCo_Patcher.dll                  0x7FFAE57E0000
po3_SpellPerkItemDistributorF4.dll 0x7FFAE58D0000
LighthousePapyrusExtender.dll      0x7FFAE59E0000
Buffout4.dll                       0x7FFAE5B00000
D3DCOMPILER_43.dll                 0x7FFAE5E60000
IPHLPAPI.DLL                       0x7FFAE60D0000
nvgpucomp64.dll                    0x7FFAE6AF0000
XDI.dll                            0x7FFAE96E0000
place.dll                          0x7FFAE9B00000
mcm.dll                            0x7FFAE9F10000
MSVCP140.dll                       0x7FFAEA0F0000
PowerGridTools.dll                 0x7FFAEA500000
f4ee.dll                           0x7FFAEA570000
EscapeFreeze.dll                   0x7FFAEA680000
ClassicHolsteredWeapons.dll        0x7FFAEA770000
HighFPSPhysicsFix.dll              0x7FFAEAA20000
F4z Ro D'oh.dll                    0x7FFAEAB40000
f4pm.dll                           0x7FFAEADA0000
DINPUT8.dll                        0x7FFAEB600000
BakaMaxPapyrusOps.dll              0x7FFAEB7C0000
BakaFullscreenPipboy.dll           0x7FFAEB870000
MessageBus.dll                     0x7FFAEBBA0000
nvapi64.dll                        0x7FFAED610000
tier0_s64.dll                      0x7FFAEDFA0000
SprintSpeedController.dll          0x7FFAF0080000
Outfit-ReDress-Fix.dll             0x7FFAF02E0000
CONCRT140.dll                      0x7FFAF4D30000
BulletCountedReload.dll            0x7FFAF5020000
Interior-NavCut-Fix.dll            0x7FFAF6900000
BakaFramework.dll                  0x7FFAF6B00000
f4se_1_10_163.dll                  0x7FFAF6D70000
crafting_highlight_fix.dll         0x7FFAFE070000
BetterConsole.dll                  0x7FFB03490000
vstdlib_s64.dll                    0x7FFB03500000
cudart64_75.dll                    0x7FFB035C0000
GFSDK_GodraysLib.x64.dll           0x7FFB03620000
WINSPOOL.DRV                       0x7FFB0EA40000
ncryptsslp.dll                     0x7FFB11690000
webio.dll                          0x7FFB11CF0000
flexRelease_x64.dll                0x7FFB12560000
MSVCR110.dll                       0x7FFB126B0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFB12880000
autoswitch.dll                     0x7FFB13320000
deviceaccess.dll                   0x7FFB13B40000
mskeyprotect.dll                   0x7FFB155E0000
textinputframework.dll             0x7FFB1BDB0000
WindowsCodecs.dll                  0x7FFB1C040000
d3d11.dll                          0x7FFB1CD10000
dcomp.dll                          0x7FFB1E4B0000
CoreUIComponents.dll               0x7FFB1E990000
Windows.UI.dll                     0x7FFB1ED00000
directxdatabasehelper.dll          0x7FFB1EE90000
inputhost.dll                      0x7FFB1F680000
MpOav.dll                          0x7FFB20050000
amsi.dll                           0x7FFB20180000
Secur32.dll                        0x7FFB20540000
COMCTL32.dll                       0x7FFB20CF0000
MSIMG32.dll                        0x7FFB21600000
flexExtRelease_x64.dll             0x7FFB21E80000
OneCoreCommonProxyStub.dll         0x7FFB22C90000
VCRUNTIME140.dll                   0x7FFB257C0000
WeaponDebrisCrashFix.dll           0x7FFB25810000
MessageBus.dll                     0x7FFB25CE0000
AUDIOSES.DLL                       0x7FFB269F0000
msdmo.dll                          0x7FFB27660000
OneCoreUAPCommonProxyStub.dll      0x7FFB27A40000
WINMM.dll                          0x7FFB283C0000
SprintStutteringFix.dll            0x7FFB29A70000
winmmbase.dll                      0x7FFB29BE0000
avrt.dll                           0x7FFB29C20000
wbemsvc.dll                        0x7FFB2B010000
fastprox.dll                       0x7FFB2B300000
rasadhlp.dll                       0x7FFB2B4E0000
wbemcomn.dll                       0x7FFB2C220000
MSVCP110.dll                       0x7FFB2C820000
nvldumdx.dll                       0x7FFB2C8D0000
enbhelperf4.dll                    0x7FFB2C990000
libdiskCacheEnabler.dll            0x7FFB2D430000
encounter_zone_recalculation.dll   0x7FFB2D950000
bink2w64.dll                       0x7FFB2D980000
achievements.dll                   0x7FFB2DFA0000
XINPUT9_1_0.dll                    0x7FFB2E000000
f4se_steam_loader.dll              0x7FFB2E010000
d3dx11_43.dll                      0x7FFB2E390000
XInput1_4.dll                      0x7FFB2E710000
nvToolsExt64_1.dll                 0x7FFB2E740000
MMDevApi.dll                       0x7FFB2E940000
wbemprox.dll                       0x7FFB2ED40000
DbgHelp.dll                        0x7FFB2F380000
fwpuclnt.dll                       0x7FFB2F5B0000
VCRUNTIME140_1.dll                 0x7FFB2FA30000
drvstore.dll                       0x7FFB2FB50000
cryptnet.dll                       0x7FFB2FFB0000
VERSION.dll                        0x7FFB30010000
dhcpcsvc6.DLL                      0x7FFB30260000
WINHTTP.dll                        0x7FFB30280000
WINNSI.DLL                         0x7FFB30B50000
dhcpcsvc.DLL                       0x7FFB30B60000
D3DCOMPILER_47.dll                 0x7FFB313A0000
CoreMessaging.dll                  0x7FFB31820000
apphelp.dll                        0x7FFB31F40000
UxTheme.dll                        0x7FFB320C0000
dxcore.dll                         0x7FFB321C0000
dxgi.dll                           0x7FFB32200000
resourcepolicyclient.dll           0x7FFB32300000
dwmapi.dll                         0x7FFB32460000
wintypes.dll                       0x7FFB32930000
windows.storage.dll                0x7FFB32AA0000
HID.DLL                            0x7FFB33310000
IpHlpAPI.dll                       0x7FFB33550000
DNSAPI.dll                         0x7FFB33580000
schannel.DLL                       0x7FFB33890000
rsaenh.dll                         0x7FFB339A0000
kernel.appcore.dll                 0x7FFB33A40000
ntmarta.dll                        0x7FFB33A60000
SSPICLI.DLL                        0x7FFB33CD0000
MSWSOCK.dll                        0x7FFB33EF0000
USERENV.dll                        0x7FFB33FE0000
CRYPTSP.dll                        0x7FFB34130000
CRYPTBASE.DLL                      0x7FFB34150000
msasn1.dll                         0x7FFB34190000
wldp.dll                           0x7FFB34200000
NTASN1.dll                         0x7FFB34240000
ncrypt.dll                         0x7FFB34280000
bcrypt.dll                         0x7FFB342B0000
cfgmgr32.dll                       0x7FFB345A0000
DEVOBJ.dll                         0x7FFB345F0000
DPAPI.DLL                          0x7FFB34650000
UMPDC.dll                          0x7FFB346E0000
powrprof.dll                       0x7FFB348A0000
profapi.dll                        0x7FFB34900000
ucrtbase.dll                       0x7FFB349D0000
wintrust.dll                       0x7FFB34AF0000
CRYPT32.dll                        0x7FFB34B60000
KERNELBASE.dll                     0x7FFB34E10000
gdi32full.dll                      0x7FFB351A0000
msvcp_win.dll                      0x7FFB352C0000
win32u.dll                         0x7FFB35360000
GDI32.dll                          0x7FFB35390000
KERNEL32.DLL                       0x7FFB353C0000
combase.dll                        0x7FFB356C0000
MSCTF.dll                          0x7FFB35A40000
imagehlp.dll                       0x7FFB35B60000
msvcrt.dll                         0x7FFB35B80000
sechost.dll                        0x7FFB35C30000
COMDLG32.dll                       0x7FFB35D60000
PSAPI.DLL                          0x7FFB35E50000
IMM32.DLL                          0x7FFB35E60000
SHELL32.dll                        0x7FFB35EA0000
NSI.dll                            0x7FFB36670000
shcore.dll                         0x7FFB366F0000
WS2_32.dll                         0x7FFB367E0000
clbcatq.dll                        0x7FFB368D0000
OLEAUT32.dll                       0x7FFB36980000
RPCRT4.dll                         0x7FFB36A60000
ADVAPI32.dll                       0x7FFB36B90000
SETUPAPI.dll                       0x7FFB36C40000
ole32.dll                          0x7FFB370C0000
USER32.dll                         0x7FFB372F0000
SHLWAPI.dll                        0x7FFB374A0000
ntdll.dll                          0x7FFB37540000
