[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     WorkshopFramework.esm
[09]     HUDFramework.esm
[0A]     XDI.esm
[0B]     SS2.esm
[0C]     SS2_XPAC_Chapter2.esm
[0D]     SS2_XPAC_Chapter3.esm
[0E]     CWPointLookoutFO4.esm
[0F]     DCGuard_Overhaul.esp
[10]     SouthOfTheSea.esm
[11]     SettlementKeywords.esm
[12]     Darlene.esm
[13]     TrueStormsFO4.esm
[14]     SS2Extended.esp
[15]     the library.esp
[16]     The House.esp
[17]     MaxwellsWorl.esp
[18]     SS2-Jampads2.esp
[19]     SS2WastelandVenturers.esp
[1A]     [SS20Addon] SimSettlements SuperStructures.esp
[1B]     SS2_Addon_NWE.esp
[1C]     JunkTownTwo.esp
[1D]     SS2_ruined_simsettlement_addonpack.esp
[1E]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[1F]     SS2WastelandReconstructionKit.esp
[20]     CBBE.esp
[21]     SS2_Addon_FHE.esp
[22]     SS2-PraRandomAddon.esp
[23]     RED.esp
[24]     SS2_SIMPDDDD.esp
[25]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[26]     SS2_Addon_R2R.esp
[27]     Phase4DLC.esp
[28]     Hunkered Down - No AtomCatsGarage.esp
[29]     3DNPC_FO4.esp
[2A]     OutcastsAndRemnants.esp
[2B]     RaiderOverhaul.esp
[2C]     ProjectValkyrie.esp
[2D]     Depravity.esp
[2E]     ImmersiveDrumlinDiner.esp
[2F]     Vault4.esp
[30]     Stm_DiamondCityExpansion.esp
[31]     FarHarborStory.esp
[32]     BetterFarHarbor_Open.esp
[33]     3DNPC_FO4_DLC.esp
[34]     GhoulBlood.esp
[35]     Firelance2.5.esp
[36]     Children of Ug Qualtoth.esp
[37]     KellyManor.esp
[38]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[39]     3DNPC_FO4Settler.esp
[3A]     Rsiyo'sLocationPack.esp
[3B]     LimaOutpost.esp
[3C]     OldTimeReligion.esp
[3D]     ellen.esp
[3E]     Miami Misadventures EP1.esp
[3F]     llamaCompanionHeatherv2.esp
[40]     WilkesEstate.esp
[41]     0_Vault120.esp
[42]     shoddymemone.esp
[43]     AtomicRadio.esp
[44]     FatherCompanion.esp
[45]     Tina's Candy Land.esp
[46]     Minutemen Paint Job.esp
[47]     Natural Grasses & Groundcovers.esp
[48]     FlaconOil_BA2_2K_Part1.esp
[49]     FlaconOil_BA2_2K_Part3.esp
[4A]     FlaconOil_BA2_2K_Part2.esp
[4B]     PD_LowerWeapon.esp
[4C]     RecruitableSettlers.esp
[4D]     CheatTerminal.esp
[4E]     Configurable Artillery.esp
[4F]     InstituteSettlements2.esp
[50]     SS2_FDK_TinyLiving.esp
[51]     RecruitableSettlersFH.esp
[52]     Eli_Armour_Compendium.esp
[53]     FO4 NPCs Travel.esp
[54]     LooksMirror.esp
[55]     LooksMenu.esp
[56]     SkipHSH1_6.esp
[57]     PhotoMode.esp
[58]     AzarPonytailHairstyles.esp
[59]     SettlementMenuManager.esp
[5A]     Mors Shortcut to Curie.esp
[5B]     BetterSettlers.esp
[5C]     TheEyesOfBeauty.esp
[5D]     MoreVariedBodyShapesAndSkins.esp
[5E]     SkipDiMAMemories.esp
[5F]     [ARRETH] FGEP.esp
[60]     DarkerNightsDetection.esp
[61]     3dscopes-replacer.esp
[62]     KSHairdos.esp
[63]     Ketaros_Treasures.esp
[64]     W.A.T.Minutemen.esp
[65]     NukaRDC.esp
[66]     cVc Dead Wasteland 6.esp
[67]     cVc Dead Wasteland 6 DLC.esp
[68]     cVc Dead Wasteland 6 DLC2.esp
[69]     cVc Dead Wasteland 6 DLC3.esp
[6A]     ZerasPaintings.esp
[6B]     cVc Fishery.esp
[6C]     FilledBrahminFeedTroughs.esp
[6D]     GCM.esp
[6E]     Graffity2ElectricBoogaloo.esp
[6F]     ImmersiveVendors.esp
[70]     KSHairdos_oel.esp
[71]     LooksMenu Customization Compendium.esp
[72]     Hairstyles for Male and Female.esp
[73]     RutahTattooPack_FO4.esp
[74]     KSHairdosExtra.esp
[75]     Vault-Tec Workshop Overhaul Redux.esp
[76]     Vault88 - Essentials.esp
[77]     WorkingNCMachine.esp
[78]     OCDecorator.esp
[79]     OCDecoratorDLC.esp
[7A]     OCDispenser.esp
[7B]     The Eyes Of Beauty.esp
[7C]     WattzLaserGun.esp
[7D]     ClassicSniper.esp
[7E]     OWR.esp
[7F]     OWR_CraftableDecor.esp
[80]     OWR_CraftableDecor_CW.esp
[81]     SettleObjExpandPack.esp
[82]     Better Manufacturing.esp
[83]     ManufacturingExtended.esp
[84]     DLC items to manufacturing.esp
[85]     HiPolyFaces.esp
[86]     DarleneDLC.esp
[87]     Better_Notes.esp
[88]     Publick Occurrences Expanded.esp
[89]     DCRE.esp
[8A]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[8B]     DarkerNights.esp
[8C]     Cho1SS2FlagsMod.esp
[8D]     Backpacks of the Commonwealth.esp
[8E]     CombinedArmsNV.esp
[8F]     DT_GunnerOutfitPack.esp
[90]     CombinedArmsEXPack.esp
[91]     DTG_LeveledListIntegration.esp
[92]     Mk41GyrojetHMG.esp
[93]     F4NVServiceRifleRedux.esp
[94]     LAER.esp
[95]     AER15.esp
[96]     SubmersiblePowerArmorRedux.esp
[97]     AtomsGloryThreads.esp
[98]     CorvalhoWidowShotgun.esp
[99]     Consistent Power Armor Overhaul.esp
