XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000618C0000
steam_api64.dll                    0x0000618D0000
d3d11.dll                          0x000180000000
wintrust.dll                       0x02DA368A0000
LL_fourPlay_1_10_163.dll           0x02DA7EA50000
wsfw_identifier.dll                0x02DA7F200000
Fallout4.exe                       0x7FF623540000
xaudio2_7.dll                      0x7FFDD0600000
XAudio2_7.dll                      0x7FFDD0690000
d3dcompiler_46e.dll                0x7FFDD0A70000
gameoverlayrenderer64.dll          0x7FFDD0E30000
XDI.dll                            0x7FFDD0FC0000
WmkActiveEffects.dll               0x7FFDD1130000
UnlimitedSurvivalMode.dll          0x7FFDD11B0000
transfer_settlements.dll           0x7FFDD1200000
terminal+.dll                      0x7FFDD14D0000
SUP_F4SE.dll                       0x7FFDD1620000
ShadowBoostFO4.dll                 0x7FFDD1920000
ScreenArcherMenu.dll               0x7FFDD19C0000
SAF.dll                            0x7FFDD1B20000
RobCo_Patcher.dll                  0x7FFDD1C10000
steamclient64.dll                  0x7FFDD1D00000
SlickFingers.dll                   0x7FFDD44F0000
rename_anything.dll                0x7FFDD46A0000
PRKF.dll                           0x7FFDD46F0000
PowerGridTools.dll                 0x7FFDD4780000
po3_SpellPerkItemDistributorF4.dll 0x7FFDD47F0000
po3_SimpleOffenceSuppressionF4.dll 0x7FFDD4900000
po3_BaseObjectSwapperF4.dll        0x7FFDD4990000
mcm.dll                            0x7FFDD4AA0000
f4ee.dll                           0x7FFDD4B40000
DSOUND.DLL                         0x7FFDE4C30000
HighFPSPhysicsFix.dll              0x7FFDE60A0000
Buffout4.dll                       0x7FFDE6130000
tier0_s64.dll                      0x7FFDE6670000
nvspcap64.dll                      0x7FFE027D0000
place.dll                          0x7FFE04F70000
D3DCOMPILER_43.dll                 0x7FFE04FF0000
HHS.dll                            0x7FFE05B00000
LooksmenuPlayerRotation.dll        0x7FFE07210000
GLXRM_UnleveledWorld.dll           0x7FFE07C50000
GLXRM_SprintOverhaul.dll           0x7FFE07CA0000
winmmbase.dll                      0x7FFE0AFD0000
GLXRM_ScalingFlagRemover.dll       0x7FFE0C540000
GCBugFix.dll                       0x7FFE0C590000
FreeFlyCam Fo4.dll                 0x7FFE0C670000
F4z Ro D'oh.dll                    0x7FFE0C6C0000
IPHLPAPI.DLL                       0x7FFE0C730000
BakaFramework.dll                  0x7FFE0F370000
crafting_highlight_fix.dll         0x7FFE0F9C0000
cbp.dll                            0x7FFE0FA10000
console_name_fix.dll               0x7FFE10BE0000
ClockWidget.dll                    0x7FFE11D90000
usvfs_x64.dll                      0x7FFE13110000
Windows.UI.dll                     0x7FFE14B80000
BulletCountedReload.dll            0x7FFE15770000
OneCoreCommonProxyStub.dll         0x7FFE16200000
WININET.dll                        0x7FFE16DA0000
f4se_1_10_163.dll                  0x7FFE172C0000
RefLookup.dll                      0x7FFE17B90000
enbhelperf4.dll                    0x7FFE18220000
BodyPartsUI.dll                    0x7FFE185A0000
flexRelease_x64.dll                0x7FFE185F0000
vstdlib_s64.dll                    0x7FFE189B0000
PriorityMod.dll                    0x7FFE18BD0000
xinput1_4.dll                      0x7FFE18CB0000
BlockingOverhaul.dll               0x7FFE18E10000
Bastion.dll                        0x7FFE18E60000
cudart64_75.dll                    0x7FFE18EB0000
ArmorPenetrationBugFix.dll         0x7FFE1A080000
GFSDK_GodraysLib.x64.dll           0x7FFE1A0D0000
GFSDK_SSAO_D3D11.win64.dll         0x7FFE1A210000
MSVCR110.dll                       0x7FFE1A2A0000
mskeyprotect.dll                   0x7FFE1EA80000
ncryptsslp.dll                     0x7FFE1EB30000
flexExtRelease_x64.dll             0x7FFE1EC30000
MSVCP110.dll                       0x7FFE1EC90000
textinputframework.dll             0x7FFE1ED90000
inputhost.dll                      0x7FFE1F1B0000
nvwgf2umx.dll                      0x7FFE1FBB0000
fastprox.dll                       0x7FFE25C60000
wbemsvc.dll                        0x7FFE264A0000
wbemcomn.dll                       0x7FFE26770000
wbemprox.dll                       0x7FFE26800000
rasadhlp.dll                       0x7FFE26890000
nvapi64.dll                        0x7FFE26970000
Secur32.dll                        0x7FFE27150000
webio.dll                          0x7FFE271D0000
MSVCP140.dll                       0x7FFE28410000
VCRUNTIME140_1.dll                 0x7FFE29470000
VCRUNTIME140.dll                   0x7FFE294E0000
bink2w64.dll                       0x7FFE29730000
f4se_steam_loader.dll              0x7FFE29930000
MessageBus.dll                     0x7FFE29B20000
COMCTL32.dll                       0x7FFE2AEB0000
gdiplus.dll                        0x7FFE2B150000
DbgHelp.dll                        0x7FFE2B300000
SprintStutteringFix.dll            0x7FFE2C7F0000
WINSPOOL.DRV                       0x7FFE2C880000
MSIMG32.dll                        0x7FFE2C920000
WINMM.dll                          0x7FFE2CAC0000
MpOav.dll                          0x7FFE2CBD0000
nvldumdx.dll                       0x7FFE2CF30000
amsi.dll                           0x7FFE2D5F0000
dxcore.dll                         0x7FFE2D690000
WINHTTP.dll                        0x7FFE2E0B0000
OneCoreUAPCommonProxyStub.dll      0x7FFE2E5B0000
fwpuclnt.dll                       0x7FFE2EEC0000
drvstore.dll                       0x7FFE2F200000
VERSION.dll                        0x7FFE2F350000
cryptnet.dll                       0x7FFE2F4A0000
dhcpcsvc.DLL                       0x7FFE2F6B0000
dhcpcsvc6.DLL                      0x7FFE2F720000
WINNSI.DLL                         0x7FFE2F860000
WindowsCodecs.dll                  0x7FFE2F930000
MMDevApi.dll                       0x7FFE2FAF0000
AUDIOSES.DLL                       0x7FFE2FBF0000
twinapi.appcore.dll                0x7FFE2FD80000
WindowManagementAPI.dll            0x7FFE2FF90000
avrt.dll                           0x7FFE30750000
d3dx11_43.dll                      0x7FFE31230000
PROPSYS.dll                        0x7FFE31280000
D3DCOMPILER_47.dll                 0x7FFE319C0000
d3d11.dll                          0x7FFE31E20000
wintypes.dll                       0x7FFE321E0000
dcomp.dll                          0x7FFE32340000
CoreUIComponents.dll               0x7FFE328B0000
CoreMessaging.dll                  0x7FFE32C10000
nvToolsExt64_1.dll                 0x7FFE32F10000
UxTheme.dll                        0x7FFE33120000
resourcepolicyclient.dll           0x7FFE331E0000
