[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     ArmorKeywords.esm
[09]     HUDFramework.esm
[0A]     XDI.esm
[0B]     TortureDevices.esm
[0C]     AAF.esm
[0D]     Devious Devices.esm
[0E]     RSE_II_Resources.esm
[0F]     CompanionIvy.esm
[10]     WorkshopFramework.esm
[11]     AutoUnequipPipboy.esm
[12]     INVB_OverlayFramework.esp
[13]     Servitron.esm
[14]     MutantMenagerie.esm
[15]     MutantMenagerie_FarHarbor.esm
[16]     MutantMenagerie_NukaWorld.esm
[17]     SkimpyArmorKeywordResource.esm
[18]     Serene Skin.esp
[19]     NAC.esp
[1A]     NAC-FH.esp
[1B]     NAC-NW.esp
[1C]     Boston Natural Surroundings.esp
[1D]     TrueGrass.esp
[1E]     Better Landscape Grass.esp
[1F]     BOREALIS Grasses.esp
[20]     LooksMenu.esp
[21]     CBBE.esp
[22]     ZaZOut4.esp
[23]     Vioxsis_Strap-Ons.esp
[24]     AAF_BadEnd_Animations.esp
[25]     AAF_GrayAnimations.esp
[26]     Farelle_Animations.esp
[27]     FO4_AnimationsByLeito.esp
[28]     Vadermania[AAF_anims].esp
[29]     Crazy_Animations_Gun.esp
[2A]     AAF_CreaturePack01.esp
[2B]     AAF_CreaturePack02DLC.esp
[2C]     Atomic Lust.esp
[2D]     Rufgt's Animations.esp
[2E]     Mutated Lust.esp
[2F]     AkaWaterWorld.esp
[30]     WorkshopRearranged.esp
[31]     Prisoner Shackles.esp
[32]     SSEX.esp
[33]     rxl_bp70_animations.esp
[34]     BraveAnims.esp
[35]     SavageCabbage_Animations.esp
[36]     AAF_Four-Play_Animations_Crazy6987.esp
[37]     RZSex.esp
[38]     Deathclaw_nude.esp
[39]     ErectionFix_SilverPerv.esp
[3A]     UAP Moans.esp
[3B]     Custom Moans.esp
[3C]     Armorsmith Extended.esp
[3D]     HiPolyFaces.esp
[3E]     xce.esp
[3F]     SkEyes.esp
[40]     KSHairdos.esp
[41]     TBOS-AntoHairPack.esp
[42]     SleekStylesPack.esp
[43]     ANiceOakTree Hairs.esp
[44]     512StandaloneHairColors.esp
[45]     BDO Hair.esp
[46]     FF7R.esp
[47]     The Eyes Of Beauty.esp
[48]     LookingStranger.esp
[49]     EyesoftheUniverse.esp
[4A]     ChrisAnimeEyes.esp
[4B]     MeanMachineEyes.esp
[4C]     KSHairsFemsheppingRadbeetle.esp
[4D]     LooksMenu Customization Compendium.esp
[4E]     CheatTerminal.esp
[4F]     InstituteReformation.esp
[50]     FatherCompanion.esp
[51]     3DNPC_FO4.esp
[52]     3DNPC_FO4_DLC.esp
[53]     3DNPC_FO4Settler.esp
[54]     AtomicRadio.esp
[55]     Fallout 4 - New Postapocalyptic Soundtrack made by Orkus -  FIX.esp
[56]     AdvancedNeeds2.esp
[57]     AdvancedNeeds2_Patch_DLC.esp
[58]     AdvancedNeeds2_Expansion_02_Spoilage.esp
[59]     AdvancedNeeds2_Expansion_03_AAF.esp
[5A]     Craft Clothing without Chemistry.esp
[5B]     Craft Clothing with AKWCR.esp
[5C]     GCM.esp
[5D]     ImmersiveAnimationFramework.esp
[5E]     Pip2000MkVi_Replacer.esp
[5F]     Be Exceptional.esp
[60]     CustomCamera.esp
[61]     PiperCaitCurieDialogueOverhaul.esp
[62]     Eli_Armour_Compendium.esp
[63]     ApalLeotard.esp
[64]     ASA.esp
[65]     Clothes Pack 5 by DonEb14n.esp
[66]     TCS sportswear.esp
[67]     VtawWardrobe4.esp
[68]     VtawWardrobe5.esp
[69]     VtawWardrobe6.esp
[6A]     VtawWardrobe7.esp
[6B]     VtawWardrobe8.esp
[6C]     tao_catsuit.esp
[6D]     XM2010_SniperRifle_by_tooun.esp
[6E]     USP .45_by_tooun.esp
[6F]     HK_UMP.esp
[70]     HK_MP5.esp
[71]     MP7.esp
[72]     RU556.esp
[73]     GIAT_FAMAS.esp
[74]     MP40.esp
[75]     FanClub_RaptR.esp
[76]     Wana_SA58.esp
[77]     RussianAssaultPack.esp
[78]     CorvalhoWidowShotgun.esp
[79]     F4NVServiceRifleRedux.esp
[7A]     MK18.esp
[7B]     M1A.esp
[7C]     L96A1.esp
[7D]     G3A3.esp
[7E]     HRP_Mk23.esp
[7F]     ImiGalil.esp
[80]     SigMCX.esp
[81]     FnScar.esp
[82]     DOOMMerged.esp
[83]     Mossberg500.esp
[84]     RemingtonM11.esp
[85]     Toz194.esp
[86]     M2Agency.esp
[87]     AK400.esp
[88]     APC9.esp
[89]     Remington700.esp
[8A]     HKUSP9mm.esp
[8B]     BH_MCX_Spear.esp
[8C]     HsProduktVhs2.esp
[8D]     SPR300.esp
[8E]     ImiUzi.esp
[8F]     Glock19x.esp
[90]     CombinedArmsNV.esp
[91]     CombinedArmsEXPack.esp
[92]     VD_SIGMCXVirtus.esp
[93]     noveskeRecceL.esp
[94]     AAC_HoneyBadger.esp
[95]     QBZ191.esp
[96]     BH_StG44.esp
[97]     BH_Kar98k.esp
[98]     BH_G43.esp
[99]     3dscopes-replacer.esp
[9A]     Backpacks of the Commonwealth.esp
[9B]     GetDirty.esp
[9C]     Animated_Fannies.esp
[9D]     FPAttributes.esp
[9E]     FP_SexualHarassment.esp
[9F]     BoundInPublic.esp
[A0]     AAF_Violate.esp
[A1]     AFVPurgatory.esp
[A2]     AAF_Spectators.esp
[A3]     AAF_SEU.esp
[A4]     FP_FamilyPlanningEnhanced.esp
[A5]     FPESuperMutantAddon.esp
