XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x00005DC10000
steam_api64.dll                    0x00005DC20000
F4z Ro D'oh.dll                    0x012EC48F0000
Fallout4.exe                       0x7FF7AD570000
d3dcompiler_47_64.dll              0x7FFCF6850000
steamclient64.dll                  0x7FFCF7550000
NvCamera64.dll                     0x7FFCF9FC0000
gameoverlayrenderer64.dll          0x7FFCFAE40000
wsfw_identifier.dll                0x7FFCFAFD0000
ShadowBoostFO4.dll                 0x7FFCFB0D0000
po3_SpellPerkItemDistributorF4.dll 0x7FFCFB3C0000
Buffout4.dll                       0x7FFCFB4D0000
LighthousePapyrusExtender.dll      0x7FFCFB9B0000
f4ee.dll                           0x7FFCFBEF0000
XDI.dll                            0x7FFCFC1B0000
IPHLPAPI.DLL                       0x7FFCFC220000
PowerGridTools.dll                 0x7FFCFED20000
place.dll                          0x7FFCFEE60000
EscapeFreeze.dll                   0x7FFCFEEE0000
mcm.dll                            0x7FFD01230000
HighFPSPhysicsFix.dll              0x7FFD01470000
SprintSpeedController.dll          0x7FFD01AD0000
ClassicHolsteredWeapons.dll        0x7FFD01B20000
Outfit-ReDress-Fix.dll             0x7FFD02EE0000
BakaScrapHeap.dll                  0x7FFD02F30000
BakaMaxPapyrusOps.dll              0x7FFD03000000
CONCRT140.dll                      0x7FFD03E10000
tier0_s64.dll                      0x7FFD03E60000
BakaFullscreenPipboy.dll           0x7FFD04E30000
Interior-NavCut-Fix.dll            0x7FFD05020000
BakaFramework.dll                  0x7FFD0D9C0000
f4se_1_10_163.dll                  0x7FFD0DD70000
BulletCountedReload.dll            0x7FFD0DF70000
GCBugFix.dll                       0x7FFD0E6D0000
flexRelease_x64.dll                0x7FFD0E730000
vstdlib_s64.dll                    0x7FFD12430000
MSVCR110.dll                       0x7FFD124F0000
MSVCP110.dll                       0x7FFD15B40000
nvcuda64.dll                       0x7FFD17F70000
XInput1_4.dll                      0x7FFD1A7C0000
f4pm.dll                           0x7FFD703B0000
