[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     WorkshopFramework.esm
[08]     SS2.esm
[09]     SS2_XPAC_Chapter2.esm
[0A]     XDI.esm
[0B]     CWPointLookoutFO4.esm
[0C]     HUDFramework.esm
[0D]     Darlene.esm
[0E]     SS2_XPAC_Chapter3.esm
[0F]     SettlementKeywords.esm
[10]     SouthOfTheSea.esm
[11]     DCGuard_Overhaul.esp
[12]     Unofficial Fallout 4 Patch.esp
[13]     TrueStormsFO4.esm
[14]     SigSauer127.esp
[15]     Eli_Armour_Compendium.esp
[16]     CorvalhoWidowShotgun.esp
[17]     RaiderOverhaul.esp
[18]     ACR-W17.esp
[19]     AER15.esp
[1A]     Alias.esp
[1B]     AtomsGloryThreads.esp
[1C]     AtomicRadio.esp
[1D]     PD_LowerWeapon.esp
[1E]     Backpacks of the Commonwealth.esp
[1F]     Better Manufacturing.esp
[20]     Better_Notes.esp
[21]     BetterSettlers.esp
[22]     Consistent Power Armor Overhaul.esp
[23]     CBBE.esp
[24]     CheatTerminal.esp
[25]     Children of Ug Qualtoth.esp
[26]     CF_AtomicWarlord_CBBE.esp
[27]     CF_AtomicWarlord.esp
[28]     CombinedArmsNV.esp
[29]     CombinedArmsEXPack.esp
[2A]     KSHairdos.esp
[2B]     Convenient Bridges.esp
[2C]     Cranky.esp
[2D]     ClassicSniper.esp
[2E]     3DNPC_FO4_DLC.esp
[2F]     DTG_LeveledListIntegration.esp
[30]     Depravity.esp
[31]     Stm_DiamondCityExpansion.esp
[32]     DCRE.esp
[33]     Enclave-X02.esp
[34]     EnhancedLightsandFX.esp
[35]     [ARRETH] FGEP.esp
[36]     FO4 NPCs Travel.esp
[37]     HN66-SiriusArmor.esp
[38]     FilledBrahminFeedTroughs.esp
[39]     FlaconOil_BA2_2K_Part1.esp
[3A]     FlaconOil_BA2_2K_Part2.esp
[3B]     Configurable Artillery.esp
[3C]     DarkerNights.esp
[3D]     ellen.esp
[3E]     shoddymemone.esp
[3F]     ZerasPaintings.esp
[40]     BetterFarHarbor_Open.esp
[41]     SS2_Addon_FHE.esp
[42]     FarHarborStory.esp
[43]     FatherCompanion.esp
[44]     cVc Fishery.esp
[45]     FlaconOil_BA2_2K_Part3.esp
[46]     Vault4.esp
[47]     GCM.esp
[48]     T51_Sakura_Paint.esp
[49]     Graffity2ElectricBoogaloo.esp
[4A]     DT_GunnerOutfitPack.esp
[4B]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[4C]     HN66Fo4_EasyGirl_BS.esp
[4D]     Hairstyles for Male and Female.esp
[4E]     HiPolyFaces.esp
[4F]     DarleneDLC.esp
[50]     Hunkered Down - No AtomCatsGarage.esp
[51]     ImmersiveAnimationFramework.esp
[52]     ImmersiveDrumlinDiner.esp
[53]     SS2-Jampads2.esp
[54]     ImmersiveVendors.esp
[55]     KellyManor.esp
[56]     JunkTownTwo.esp
[57]     Ketaros_Treasures.esp
[58]     LAER.esp
[59]     LimaOutpost.esp
[5A]     LooksMenu Customization Compendium.esp
[5B]     LooksMenu.esp
[5C]     LooksMirror.esp
[5D]     KSHairdos_oel.esp
[5E]     ManufacturingExtended.esp
[5F]     DLC items to manufacturing.esp
[60]     MaxwellsWorl.esp
[61]     Miami Misadventures EP1.esp
[62]     Minutemen Paint Job.esp
[63]     GhoulBlood.esp
[64]     Mk41GyrojetHMG.esp
[65]     MoreVariedBodyShapesAndSkins.esp
[66]     Natural Grasses & Groundcovers.esp
[67]     TrueStormsFO4-NukaWorld-FH-Compat.esp
[68]     NukaRDC.esp
[69]     SS2_Addon_NWE.esp
[6A]     OCDecorator.esp
[6B]     OCDecoratorDLC.esp
[6C]     OCDispenser.esp
[6D]     OldTimeReligion.esp
[6E]     WilkesEstate.esp
[6F]     OWR.esp
[70]     OWR_CraftableDecor.esp
[71]     OWR_CraftableDecor_CW.esp
[72]     OutcastsAndRemnants.esp
[73]     Phase4DLC.esp
[74]     PhotoMode.esp
[75]     AzarPonytailHairstyles.esp
[76]     ProjectValkyrie.esp
[77]     Publick Occurrences Expanded.esp
[78]     SS2-PraRandomAddon.esp
[79]     RED.esp
[7A]     SS2_Addon_R2R.esp
[7B]     Realistic Death Physics - ALL DLC.esp
[7C]     Realistic_conversations.esp
[7D]     Rebel of Apocalypse.esp
[7E]     RecruitableSettlers.esp
[7F]     RecruitableSettlersFH.esp
[80]     RemoteExplosives.esp
[81]     Rsiyo'sLocationPack.esp
[82]     RutahTattooPack_FO4.esp
[83]     GtN_SettlersatPlay.esp
[84]     SS2Extended.esp
[85]     RealNameSettlers.esp
[86]     rpampas.esp
[87]     SettleObjExpandPack.esp
[88]     F4NVServiceRifleRedux.esp
[89]     3DNPC_FO4Settler.esp
[8A]     SettlementTidyBot.esp
[8B]     SettlementMenuManager.esp
[8C]     Mors Shortcut to Curie.esp
[8D]     KSHairdosExtra.esp
[8E]     3dscopes-replacer.esp
[8F]     InstituteSettlements2.esp
[90]     ohSIM_Sim2_Settlements_Scrappers_Addon.esp
[91]     SS2_FDK_TinyLiving.esp
[92]     SS2_ruined_simsettlement_addonpack.esp
[93]     SimplyCosmeticPipboyPaintjobs-FactionPack.esp
[94]     Cho1SS2FlagsMod.esp
[95]     SimplyCosmeticPipboyPaintjobs.esp
[96]     SkipHSH1_6.esp
[97]     SimSettlements2_AddOnPack_ApocalypticAdditions_SirLach.esp
[98]     SS2_SIMPDDDD.esp
[99]     SkipDiMAMemories.esp
[9A]     Toxic Raider Armour.esp
