XINPUT1_3.dll                      0x000000400000
X3DAudio1_7.dll                    0x0000667A0000
steam_api64.dll                    0x0000667B0000
RTSSHooks64.dll                    0x000180000000
Fallout4.exe                       0x7FF695630000
steamclient64.dll                  0x7FFD3B950000
DSOUND.DLL                         0x7FFD6E600000
d3dcompiler_42.dll                 0x7FFD85210000
XAudio2_7.dll                      0x7FFD86370000
d3dx11_42.dll                      0x7FFD866D0000
gameoverlayrenderer64.dll          0x7FFD86720000
XDI.dll                            0x7FFD868B0000
wsfw_identifier.dll                0x7FFD86920000
ShadowBoostFO4.dll                 0x7FFD86A20000
RobCo_Patcher.dll                  0x7FFD86AF0000
PRKF.dll                           0x7FFD86BE0000
PowerGridTools.dll                 0x7FFD86C70000
po3_SpellPerkItemDistributorF4.dll 0x7FFD86CE0000
po3_SimpleOffenceSuppressionF4.dll 0x7FFD86DF0000
place.dll                          0x7FFD86E80000
LighthousePapyrusExtender.dll      0x7FFD86F00000
Buffout4.dll                       0x7FFD87020000
IPHLPAPI.DLL                       0x7FFD87380000
SprintSpeedController.dll          0x7FFD88EF0000
Outfit-ReDress-Fix.dll             0x7FFD88F40000
mcm.dll                            0x7FFD89230000
HighFPSPhysicsFix.dll              0x7FFD892D0000
f4ee.dll                           0x7FFD89360000
EscapeFreeze.dll                   0x7FFD89470000
CONCRT140.dll                      0x7FFD89660000
GCBugFix.dll                       0x7FFD896B0000
F4z Ro D'oh.dll                    0x7FFD89DA0000
BakaFullscreenPipboy.dll           0x7FFD89E10000
RefLookup.dll                      0x7FFD89FE0000
f4pm.dll                           0x7FFD8A020000
Interior-NavCut-Fix.dll            0x7FFD8A640000
DirectHit.dll                      0x7FFD8A690000
BakaFramework.dll                  0x7FFD8A6F0000
f4se_1_10_163.dll                  0x7FFD900F0000
ClassicHolsteredWeapons.dll        0x7FFD90620000
tier0_s64.dll                      0x7FFD93600000
EnergyWeaponCalcFix.dll            0x7FFD93990000
BulletCountedReload.dll            0x7FFD93ED0000
flexRelease_x64.dll                0x7FFD93F60000
crafting_highlight_fix.dll         0x7FFD948A0000
vstdlib_s64.dll                    0x7FFD948F0000
MSVCR110.dll                       0x7FFD949B0000
CookableGrenade.dll                0x7FFD95620000
BetterConsole.dll                  0x7FFD95E40000
BakaMaxPapyrusOps.dll              0x7FFD96200000
Bastion.dll                        0x7FFD96610000
MSVCP110.dll                       0x7FFD96660000
autoswitch.dll                     0x7FFD982C0000
MSVCP140.dll                       0x7FFD99260000
VCRUNTIME140.dll                   0x7FFD992F0000
VCRUNTIME140_1.dll                 0x7FFD995B0000
ArmorPenetrationBugFix.dll         0x7FFD9ADB0000
cudart64_75.dll                    0x7FFD9B560000
GFSDK_SSAO_D3D11.win64.dll         0x7FFD9D070000
bink2w64.dll                       0x7FFD9D100000
encounter_zone_recalculation.dll   0x7FFD9E890000
MSIMG32.dll                        0x7FFDA0530000
achievements.dll                   0x7FFDA0550000
WINSPOOL.DRV                       0x7FFDA0980000
GFSDK_GodraysLib.x64.dll           0x7FFDA0A40000
WeaponDebrisCrashFix.dll           0x7FFDA0B90000
COMCTL32.dll                       0x7FFDA3FC0000
SprintStutteringFix.dll            0x7FFDA4CB0000
winmmbase.dll                      0x7FFDA6850000
libdiskCacheEnabler.dll            0x7FFDAA6E0000
Secur32.dll                        0x7FFDAABF0000
OneCoreCommonProxyStub.dll         0x7FFDAB2A0000
flexExtRelease_x64.dll             0x7FFDAD620000
f4se_steam_loader.dll              0x7FFDAD6B0000
XInput1_4.dll                      0x7FFDAD7E0000
textinputframework.dll             0x7FFDADCA0000
inputhost.dll                      0x7FFDADDA0000
Windows.UI.dll                     0x7FFDADF00000
XINPUT9_1_0.dll                    0x7FFDAE360000
amdihk64.dll                       0x7FFDAE5B0000
atidxx64.dll                       0x7FFDAE660000
amdxx64.dll                        0x7FFDB05F0000
WINMM.dll                          0x7FFDB3E60000
VERSION.dll                        0x7FFDB3E90000
aticfx64.dll                       0x7FFDB3EA0000
dxcore.dll                         0x7FFDB4060000
OneCoreUAPCommonProxyStub.dll      0x7FFDB4800000
WINHTTP.dll                        0x7FFDB5160000
MMDevApi.dll                       0x7FFDB56E0000
AUDIOSES.DLL                       0x7FFDB5770000
DbgHelp.dll                        0x7FFDB5C30000
twinapi.appcore.dll                0x7FFDB6A10000
WindowManagementAPI.dll            0x7FFDB6C30000
avrt.dll                           0x7FFDB7210000
PROPSYS.dll                        0x7FFDB7AF0000
wintypes.dll                       0x7FFDB7EC0000
D3DCOMPILER_47.dll                 0x7FFDB8020000
d3d11.dll                          0x7FFDB85D0000
dcomp.dll                          0x7FFDB8E00000
