XINPUT1_3.dll              0x000000400000
X3DAudio1_7.dll            0x0000516D0000
steam_api64.dll            0x0000516E0000
wintrust.dll               0x01AD35FC0000
Fallout4.exe               0x7FF6BE300000
Buffout4.dll               0x7FF9963F0000
steamclient64.dll          0x7FF996D30000
gameoverlayrenderer64.dll  0x7FF9D1110000
XAudio2_7.dll              0x7FF9D1780000
NVIDIA_Reflex.dll          0x7FF9D2EE0000
f4ee.dll                   0x7FF9D2FB0000
BLD_Helper.dll             0x7FF9D30C0000
f4se_1_10_163.dll          0x7FF9D43E0000
tier0_s64.dll              0x7FF9D44C0000
flexRelease_x64.dll        0x7FF9D5120000
vstdlib_s64.dll            0x7FF9D60F0000
MSVCR110.dll               0x7FF9D61B0000
mcm.dll                    0x7FF9D95F0000
HighFPSPhysicsFix.dll      0x7FF9DAE00000
MSVCP110.dll               0x7FF9DAE90000
GFSDK_SSAO_D3D11.win64.dll 0x7FF9E1170000
cudart64_75.dll            0x7FF9E2200000
GFSDK_GodraysLib.x64.dll   0x7FF9EE4C0000
flexExtRelease_x64.dll     0x7FF9F74F0000
f4se_steam_loader.dll      0x7FFA03FB0000
bink2w64.dll               0x7FFA03FF0000
MessageBus.dll             0x7FFA05640000
nvspcap64.dll              0x7FFA09680000
WeaponDebrisCrashFix.dll   0x7FFA129B0000
Secur32.dll                0x7FFA13790000
mskeyprotect.dll           0x7FFA13D50000
AUDIOSES.DLL               0x7FFA14890000
ncryptsslp.dll             0x7FFA17560000
webio.dll                  0x7FFA18F20000
nvwgf2umx.dll              0x7FFA19D00000
fastprox.dll               0x7FFA1FFA0000
wbemcomn.dll               0x7FFA20350000
MSVCP140.dll               0x7FFA205C0000
VCRUNTIME140.dll           0x7FFA20650000
winmmbase.dll              0x7FFA20F40000
DSOUND.DLL                 0x7FFA20FC0000
Windows.UI.dll             0x7FFA24220000
COMCTL32.dll               0x7FFA24AB0000
MpOav.dll                  0x7FFA25580000
amsi.dll                   0x7FFA25600000
VCRUNTIME140_1.dll         0x7FFA25620000
fwpuclnt.dll               0x7FFA260C0000
WINMM.dll                  0x7FFA261F0000
rasadhlp.dll               0x7FFA26220000
