XINPUT1_3.dll                    0x000000400000
mdnsNSP.dll                      0x00005D930000
X3DAudio1_7.dll                  0x00005DB70000
steam_api64.dll                  0x00005DEB0000
d3d11.dll                        0x000180000000
XAudio2_7.dll                    0x029B21410000
F4z Ro D'oh.dll                  0x029B43EE0000
wintrust.dll                     0x029B61CF0000
Fallout4.exe                     0x7FF6FD030000
AchievementsModsEnabler.dll      0x7FF8851F0000
xinput1_4.dll                    0x7FF8852C0000
d3dcompiler_47_64.dll            0x7FF88A8C0000
NvCamera64.dll                   0x7FF88B2C0000
d3dcompiler_46e.dll              0x7FF89E9E0000
steamclient64.dll                0x7FF89EDA0000
Buffout4.dll                     0x7FF8B0BB0000
auto_backup_executable.dll       0x7FF8B0F10000
IPHLPAPI.DLL                     0x7FF8B1B30000
gameoverlayrenderer64.dll        0x7FF8B2F50000
DINPUT8.dll                      0x7FF8B3BE0000
wsfw_identifier.dll              0x7FF8B3E90000
XDI.dll                          0x7FF8B5820000
RobCo_Patcher.dll                0x7FF8B5890000
place.dll                        0x7FF8B5980000
mcm.dll                          0x7FF8B5A00000
PowerGridTools.dll               0x7FF8B5FC0000
FakeThroughScope.dll             0x7FF8B6270000
FavoritesMenuEx.dll              0x7FF8B7250000
f4ee.dll                         0x7FF8B72E0000
EscapeFreeze.dll                 0x7FF8B91B0000
tier0_s64.dll                    0x7FF8B9270000
f4se_1_10_163.dll                0x7FF8B95F0000
D3DCOMPILER_43.dll               0x7FF8B96D0000
nvspcap64.dll                    0x7FF8BC920000
ResampleDmo.DLL                  0x7FF8BCE80000
winmmbase.dll                    0x7FF8C5F90000
enbhelperf4.dll                  0x7FF8C6030000
DirectHit.dll                    0x7FF8C6150000
vstdlib_s64.dll                  0x7FF8C61B0000
crafting_highlight_fix.dll       0x7FF8C6370000
DSOUND.DLL                       0x7FF8C6440000
ArmorPenetrationBugFix.dll       0x7FF8CBAF0000
PriorityMod.dll                  0x7FF8CBBE0000
flexRelease_x64.dll              0x7FF8CBC10000
cudart64_75.dll                  0x7FF8CBE60000
GFSDK_GodraysLib.x64.dll         0x7FF8CBEC0000
f4se_steam_loader.dll            0x7FF8CC380000
GFSDK_SSAO_D3D11.win64.dll       0x7FF8CC3C0000
MSVCR110.dll                     0x7FF8CC450000
MSVCP110.dll                     0x7FF8CC530000
d3dx11_43.dll                    0x7FF8CC740000
bink2w64.dll                     0x7FF8CC790000
flexExtRelease_x64.dll           0x7FF8CCA30000
encounter_zone_recalculation.dll 0x7FF8CD0F0000
X3DAudio1_7.dll                  0x7FF8CD120000
graphics-hook64.dll              0x7FF8D8A70000
XINPUT9_1_0.dll                  0x7FF8EA4F0000
ncryptsslp.dll                   0x7FF8F0010000
nvToolsExt64_1.dll               0x7FF8F8F80000
MpOav.dll                        0x7FF8F9200000
nvcuda64.dll                     0x7FF8FD3C0000
MessageBus.dll                   0x7FF8FFA90000
webio.dll                        0x7FF900680000
amsi.dll                         0x7FF902100000
inputhost.dll                    0x7FF904110000
Windows.UI.dll                   0x7FF904730000
MSVCP140.dll                     0x7FF9057B0000
VCRUNTIME140_1.dll               0x7FF905A20000
VCRUNTIME140.dll                 0x7FF905A30000
OneCoreCommonProxyStub.dll       0x7FF907F70000
textinputframework.dll           0x7FF908020000
AUDIOSES.DLL                     0x7FF908580000
rasadhlp.dll                     0x7FF9088A0000
WINSPOOL.DRV                     0x7FF909800000
COMCTL32.dll                     0x7FF9098A0000
MSIMG32.dll                      0x7FF909D00000
wbemsvc.dll                      0x7FF909DF0000
fastprox.dll                     0x7FF909E10000
MessageBus.dll                   0x7FF909FD0000
nvwgf2umx.dll                    0x7FF90B200000
nvapi64.dll                      0x7FF910610000
nvgpucomp64.dll                  0x7FF910DC0000
nvldumdx.dll                     0x7FF913120000
DbgHelp.dll                      0x7FF9131E0000
OneCoreUAPCommonProxyStub.dll    0x7FF913410000
wbemcomn.dll                     0x7FF915DA0000
wbemprox.dll                     0x7FF915E20000
fwpuclnt.dll                     0x7FF916D30000
MMDevApi.dll                     0x7FF917030000
drvstore.dll                     0x7FF917630000
CoreUIComponents.dll             0x7FF917790000
cryptnet.dll                     0x7FF917C90000
dhcpcsvc.DLL                     0x7FF917CD0000
dhcpcsvc6.DLL                    0x7FF917E40000
WINHTTP.dll                      0x7FF9181B0000
directxdatabasehelper.dll        0x7FF918670000
WINMM.dll                        0x7FF9188A0000
VERSION.dll                      0x7FF919160000
avrt.dll                         0x7FF919180000
msdmo.dll                        0x7FF919770000
WindowsCodecs.dll                0x7FF91A140000
D3DCOMPILER_47.dll               0x7FF91A2F0000
d3d11.dll                        0x7FF91AB70000
dcomp.dll                        0x7FF91B3C0000
CoreMessaging.dll                0x7FF91BA30000
WINNSI.DLL                       0x7FF91BFA0000
UxTheme.dll                      0x7FF91C010000
dxcore.dll                       0x7FF91C0F0000
dxgi.dll                         0x7FF91C220000
dwmapi.dll                       0x7FF91C420000
resourcepolicyclient.dll         0x7FF91C4A0000
wintypes.dll                     0x7FF91C890000
windows.storage.dll              0x7FF91C9D0000
HID.DLL                          0x7FF91D2D0000
IpHlpAPI.dll                     0x7FF91D530000
