[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     TheMarshland.esm
[08]     TheSewers.esm
[09]     TheWilderness.esm
[0A]     Unofficial Fallout 4 Patch.esp
[0B]     TheForest.esm
[0C]     HUDFramework.esm
[0D]     ArmorKeywords.esm
[0E]     TheRooftops.esm
[0F]     TacticalReload.esm
[10]     XDI.esm
[11]     Garage.esm
[12]     Settlement Electricity Overhaul.esm
[13]     CWWorkshopMaster.esm
[14]     SimSettlements.esm
[15]     WorkshopFramework.esm
[16]     SS2.esm
[17]     SS2_XPAC_Chapter2.esm
[18]     SS2_XPAC_Chapter3.esm
[19]     More Radstags - Triple.esp
[1A]     Minutemen Supply Caches.esp
[1B]     SSTMinutemanWatchtowers.esp
[1C]     Annie.esp
[1D]     LongRangeBulletHoles.esp
[1E]     LooksMenu Customization Compendium.esp
[1F]     TrueGrass.esp
[20]     ZombieWalkers.esp
[21]     The Death Tunnel.esp
[22]     SOTS.esp
[23]     PlaneWreck.esp
[24]     SKKCombatStalkers.esp
[25]     PiperCaitCurieDialogueOverhaul.esp
[26]     3dscopes.esp
[27]     RynsFallout4.esp
[28]     Rsiyo'sLocationPack.esp
[29]     RightHandedHuntingRifle.esp
[2A]     Reverb and Ambiance Overhaul.esp
[2B]     Realistic_conversations.esp
[2C]     RaiderOverhaul.esp
[2D]     PlayerComments.esp
[2E]     TDOW_LC.esp
[2F]     Pine Trees Redone.esp
[30]     moreXplore.esp
[31]     [MW] Wetsuit Collection.esp
[32]     jsrs.esp
[33]     ImmersivePipboyRadio.esp
[34]     ImmersiveGenericDialogues.esp
[35]     ImmersiveAnimationFramework.esp
[36]     Heightstest.esp
[37]     HeightstestNukaWorld.esp
[38]     GOT.esp
[39]     Flashy_CrimeAndPunishment_GunForHire_Addon.esp
[3A]     GoodneighborExpanded.esp
[3B]     GetDirty.esp
[3C]     FO4 NPCs Travel.esp
[3D]     FO4Hotkeys.esp
[3E]     FC-BetterCheckPoints.esp
[3F]     Faster Terminal Displays (20x).esp
[40]     FastTravelAIDetectionFix.esp
[41]     Coos Bay stuff Version 3 - Copy.esp
[42]     Scopes.esp
[43]     EPO_LowHDR.esp
[44]     EnhancedLightsandFX.esp
[45]     dD-Enhanced Blood Basic.esp
[46]     EasyHacking.esp
[47]     DynamicInteriorFogRemoval.esp
[48]     detailedferalghouls.esp
[49]     Stm_DiamondCityExpansion.esp
[4A]     BetterNightVision.esp
[4B]     DarkerNights.esp
[4C]     CROSS_GoreCrits.esp
[4D]     CROSS_GoreCrits_FarHarborPatch.esp
[4E]     CompanionAccuracy.esp
[4F]     Ceft_Main.esp
[50]     BPR - Bullet Penetration & Ricochet.esp
[51]     Boston Natural Surroundings.esp
[52]     UFOCrashSite.esp
[53]     TrainBar.esp
[54]     BetterBostonAirport.esp
[55]     cat_wildlands.esp
[56]     Armorsmith Extended.esp
[57]     Ambient Wasteland.esp
[58]     a1dixy2.esp
[59]     Scavver's Backpacks.esp
[5A]     shotgun ballistics.esp
[5B]     PlayerComments_UFO4P_Patch.esp
[5C]     PlayerComments_ImmersiveGenericDialogues_Patch.esp
[5D]     Complex Vendors.esp
[5E]     Clean Water - Clear.esp
[5F]     Croup Manor Navmesh - retakrew7.esp
[60]     OpenCommonwealth.esp
[61]     SurvivalOptions.esp
[62]     Gas Masks of the Wasteland.esp
[63]     FlaconOil_BA2_1K_Part1.esp
[64]     FlaconOil_BA2_1K_Part2.esp
[65]     FlaconOil_BA2_1K_Part3.esp
[66]     CheatTerminal.esp
[67]     FCOM.esp
[68]     GiC's - Western Operator.esp
[69]     Mongrel Outfit.esp
[6A]     Helios Outfit.esp
[6B]     More_Clothes_Textures.esp
[6C]     Reinforcements.esp
[6D]     WWM Gear Pack.esp
[6E]     WestTekTacticalOptics.esp
[6F]     TAC.esp
[70]     CBBE.esp
[71]     KSHairdos.esp
[72]     The Eyes Of Beauty.esp
[73]     HKUSP9mm.esp
[74]     Krebs.esp
[75]     SA80.esp
[76]     SigMCX.esp
[77]     AAC_HoneyBadger.esp
[78]     Water Tower Home REDUX.esp
[79]     Nexus_PMC.esp
[7A]     PMC Operators Pack.esp
[7B]     Flashy_Infestations.esp
[7C]     AmbientTunnels.esp
[7D]     RealAI.esp
[7E]     Vault-Tec Armor.esp
[7F]     Winters_FJX-Imperium.esp
[80]     [MW2022] Shadow Company.esp
[81]     CommonWealth Remastered.esp
[82]     BH_StG44.esp
[83]     BOS Jets.esp
[84]     Nox Outfit.esp
[85]     Russian_Operator_Pack.esp
[86]     PAC - Project Apocalyptic Commonwealth.esp
[87]     [BOCW] SEAL Team 10.esp
[88]     Cyberpunk 2077 G-58 Dian.esp
[89]     aBitBetterGunnerFaces.esp
[8A]     AzarPonytailHairstyles.esp
[8B]     shoddymemone.esp
[8C]     NPCs Use Items.esp
[8D]     Radical.esp
[8E]     Nac X Fogline Fix.esp
[8F]     STREETSWEEPER.esp
[90]     Escape from Boston - MSBS Grot B.esp
[91]     RiotShotgun.esp
[92]     MWIItango9.esp
[93]     CWMP5.esp
[94]     Replaceable_Armor_Plates.esp
[95]     RoboArmorPaints.esp
[96]     [BOCW] Kitsune.esp
[97]     Strela-P.esp
[98]     ThickRimGlasses.esp
[99]     RoundGlasses.esp
[9A]     CSEPCompanion.esp
[9B]     [weap] 1911 Complex.esp
[9C]     FTS.esp
[9D]     HiPolyFaces.esp
[9E]     llamaCompanionHeatherv2.esp
[9F]     ellen.esp
[A0]     UltraInteriorLighting.esp
