XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000070040000
steam_api64.dll               0x000070050000
BulletCountedReload.dll       0x027AA2380000
Fallout4.exe                  0x7FF7869B0000
Buffout4.dll                  0x7FFF3C070000
steamclient64.dll             0x7FFF3CF40000
nvspcap64.dll                 0x7FFF4DE10000
DSOUND.DLL                    0x7FFF745C0000
MSVCP140.dll                  0x7FFF77120000
VCRUNTIME140.dll              0x7FFF78800000
VCRUNTIME140_1.dll            0x7FFF79150000
gameoverlayrenderer64.dll     0x7FFF7D5B0000
XAudio2_7.dll                 0x7FFF873C0000
wsfw_identifier.dll           0x7FFF87450000
AUDIOSES.DLL                  0x7FFF88D50000
place.dll                     0x7FFF89E50000
mcm.dll                       0x7FFF89ED0000
f4ee.dll                      0x7FFF89F70000
UneducatedShooter.dll         0x7FFF8A090000
PowerGridTools.dll            0x7FFF8A350000
DamageThresholdFramework.dll  0x7FFF8A3C0000
f4se_1_10_163.dll             0x7FFF8A4C0000
tier0_s64.dll                 0x7FFF8A5A0000
vstdlib_s64.dll               0x7FFF8A740000
flexRelease_x64.dll           0x7FFF8A800000
MSVCR110.dll                  0x7FFF8A950000
cudart64_75.dll               0x7FFF8AB10000
GFSDK_SSAO_D3D11.win64.dll    0x7FFF8AD70000
MSVCP110.dll                  0x7FFF8AE00000
Secur32.dll                   0x7FFF8DBB0000
AMSIExt.dll                   0x7FFF8DF30000
MpOav.dll                     0x7FFF8DFF0000
amsi.dll                      0x7FFF8E070000
OneCoreCommonProxyStub.dll    0x7FFF8E210000
fastprox.dll                  0x7FFF8FBF0000
wbemsvc.dll                   0x7FFF902C0000
wbemprox.dll                  0x7FFF902E0000
ncryptsslp.dll                0x7FFF90C20000
COMCTL32.dll                  0x7FFF936C0000
mskeyprotect.dll              0x7FFF93C40000
wbemcomn.dll                  0x7FFF93C70000
GFSDK_GodraysLib.x64.dll      0x7FFF949B0000
f4se_steam_loader.dll         0x7FFF94D80000
bink2w64.dll                  0x7FFF94DC0000
nvwgf2umx.dll                 0x7FFF95460000
fwpuclnt.dll                  0x7FFF99D90000
nvapi64.dll                   0x7FFF99E80000
webio.dll                     0x7FFF9AAB0000
InputHost.dll                 0x7FFF9AFA0000
textinputframework.dll        0x7FFF9B100000
Windows.UI.dll                0x7FFF9B200000
dbghelp.dll                   0x7FFF9B7F0000
WINMM.dll                     0x7FFF9DF50000
OneCoreUAPCommonProxyStub.dll 0x7FFF9DFF0000
WINHTTP.dll                   0x7FFF9F2C0000
nvldumdx.dll                  0x7FFF9F580000
dxcore.dll                    0x7FFF9F6C0000
dhcpcsvc6.DLL                 0x7FFF9F8A0000
dhcpcsvc.DLL                  0x7FFFA00D0000
WINNSI.DLL                    0x7FFFA0260000
rasadhlp.dll                  0x7FFFA02E0000
MMDevApi.dll                  0x7FFFA0540000
drvstore.dll                  0x7FFFA06C0000
twinapi.appcore.dll           0x7FFFA09D0000
WindowManagementAPI.dll       0x7FFFA0BF0000
cryptnet.dll                  0x7FFFA0E80000
VERSION.dll                   0x7FFFA1240000
avrt.dll                      0x7FFFA1250000
d3d11.dll                     0x7FFFA2400000
PROPSYS.dll                   0x7FFFA2810000
winmmbase.dll                 0x7FFFA2950000
dcomp.dll                     0x7FFFA32A0000
wintypes.dll                  0x7FFFA3AB0000
CoreUIComponents.dll          0x7FFFA3C10000
CoreMessaging.dll             0x7FFFA3F70000
flexExtRelease_x64.dll        0x7FFFA42A0000
nvToolsExt64_1.dll            0x7FFFA4320000
uxtheme.dll                   0x7FFFA4510000
resourcepolicyclient.dll      0x7FFFA46E0000
dwmapi.dll                    0x7FFFA47E0000
kernel.appcore.dll            0x7FFFA4AD0000
windows.storage.dll           0x7FFFA4CD0000
HID.DLL                       0x7FFFA5470000
dxgi.dll                      0x7FFFA54B0000
schannel.DLL                  0x7FFFA5B00000
rsaenh.dll                    0x7FFFA5BF0000
ntmarta.dll                   0x7FFFA5D30000
IPHLPAPI.DLL                  0x7FFFA5FD0000
DNSAPI.dll                    0x7FFFA6060000
MSWSOCK.dll                   0x7FFFA62E0000
CRYPTBASE.DLL                 0x7FFFA6530000
CRYPTSP.dll                   0x7FFFA6540000
Wldp.dll                      0x7FFFA65E0000
UMPDC.dll                     0x7FFFA6610000
powrprof.dll                  0x7FFFA6630000
NTASN1.dll                    0x7FFFA6680000
ncrypt.dll                    0x7FFFA66C0000
msasn1.dll                    0x7FFFA67E0000
devobj.dll                    0x7FFFA6800000
DPAPI.DLL                     0x7FFFA6A00000
SSPICLI.DLL                   0x7FFFA6AC0000
USERENV.dll                   0x7FFFA6B00000
profapi.dll                   0x7FFFA6B40000
win32u.dll                    0x7FFFA6C10000
cfgmgr32.dll                  0x7FFFA6CF0000
bcryptPrimitives.dll          0x7FFFA6D40000
WINTRUST.DLL                  0x7FFFA6DD0000
KERNELBASE.dll                0x7FFFA6E40000
CRYPT32.dll                   0x7FFFA7140000
msvcp_win.dll                 0x7FFFA72A0000
bcrypt.dll                    0x7FFFA7340000
ucrtbase.dll                  0x7FFFA7370000
gdi32full.dll                 0x7FFFA7470000
PSAPI.DLL                     0x7FFFA7830000
ADVAPI32.dll                  0x7FFFA7840000
RPCRT4.dll                    0x7FFFA78F0000
sechost.dll                   0x7FFFA7A20000
clbcatq.dll                   0x7FFFA7AC0000
ole32.dll                     0x7FFFA7B70000
shlwapi.dll                   0x7FFFA7CA0000
USER32.dll                    0x7FFFA7D00000
MSCTF.dll                     0x7FFFA7EB0000
imagehlp.dll                  0x7FFFA7FD0000
IMM32.DLL                     0x7FFFA7FF0000
WS2_32.dll                    0x7FFFA8080000
NSI.dll                       0x7FFFA8170000
combase.dll                   0x7FFFA8180000
COMDLG32.dll                  0x7FFFA84E0000
SETUPAPI.dll                  0x7FFFA85C0000
GDI32.dll                     0x7FFFA8A90000
OLEAUT32.dll                  0x7FFFA8AC0000
SHELL32.dll                   0x7FFFA8B90000
SHCORE.dll                    0x7FFFA92E0000
msvcrt.dll                    0x7FFFA9390000
KERNEL32.DLL                  0x7FFFA9430000
ntdll.dll                     0x7FFFA9530000
