[00]     Fallout4.esm
[01]     DLCRobot.esm
[02]     DLCworkshop01.esm
[03]     DLCCoast.esm
[04]     DLCworkshop02.esm
[05]     DLCworkshop03.esm
[06]     DLCNukaWorld.esm
[07]     Unofficial Fallout 4 Patch.esp
[08]     HUDFramework.esm
[09]     ArmorKeywords.esm
[0A]     WorkshopFramework.esm
[0B]     SpringCleaning.esm
[0C]     DamageThresholdFramework.esm
[0D]     Damage Threshold.esm
[0E]     Homemaker.esm
[0F]     SettlementKeywords.esm
[10]     TacticalReload.esm
[11]     Arbitration - Resources.esm
[12]     VisibleCompanionAffinity.esp
[13]     AnyModAnyWeapon2.esp
[14]     Armorsmith Extended.esp
[15]     WelcometoGoodneighbor.esp
[16]     GunnersOverhaul.esp
[17]     OutcastsAndRemnants.esp
[18]     clothingoverhaul.esp
[19]     MojaveImports.esp
[1A]     Depravity.esp
[1B]     Mansion.esp
[1C]     TrainBar.esp
[1D]     America Rising - A Tale of the Enclave.esp
[1E]     Eli_Armour_Compendium.esp
[1F]     DeadlierDeathclaws.esp
[20]     QuazDiamondCityApartment.esp
[21]     Vault4.esp
[22]     NEST_BUNKER_PROJECT.esp
[23]     W.A.T.Minutemen.esp
[24]     GR005-Scavs.esp
[25]     The Sanctuary Bridge.esp
[26]     Eli_Faction Housing Overhaul  - The Castle.esp
[27]     Backpacks of the Commonwealth.esp
[28]     Escape from Boston - G36.esp
[29]     MilitarizedMinutemen.esp
[2A]     TWH_TheWayHome.esp
[2B]     Mercenary.esp
[2C]     DOOMMerged.esp
[2D]     EnclaveFactionItems.esp
[2E]     Eli_Sanctuary Bunker.esp
[2F]     MisriahArmory.esp
[30]     powerarmort49.esp
[31]     CSEPBountyMod.esp
[32]     ProjectValkyrie.esp
[33]     BH_MCX_Spear.esp
[34]     SigMCX.esp
[35]     1CAS_ServiceRifle.esp
[36]     ar15_family.esp
[37]     saya_scar.esp
[38]     MWM4.esp
[39]     Ak5C.esp
[3A]     CorvalhoWidowShotgun.esp
[3B]     MK18.esp
[3C]     CyberneticImplantationLaboratory.esp
[3D]     Wana_SA58.esp
[3E]     LString_Bow.esp
[3F]     M1Garand.esp
[40]     Rangergearnew.esp
[41]     RRTV_UndergroundHideout_Redux.esp
[42]     ECV_Remnants.esp
[43]     RU556.esp
[44]     RU556Armouryprojectv3.esp
[45]     Galac-TactREDUX.esp
[46]     Heavy BoS.esp
[47]     Mossberg500.esp
[48]     sayaC21.esp
[49]     tsuki no hana.esp
[4A]     AK74M.esp
[4B]     DX_Black_Widow.esp
[4C]     AKMnv.esp
[4D]     G3A3.esp
[4E]     HuntingShotgun.esp
[4F]     MP7.esp
[50]     NCRenegade.esp
[51]     G3Family.esp
[52]     HK_MP5.esp
[53]     G36Complex.esp
[54]     HK_UMP.esp
[55]     Glock19x.esp
[56]     HaxRPG7.esp
[57]     9x39Project.esp
[58]     Max_VHW.esp
[59]     DX Adventurer Outfit.esp
[5A]     Archimedes-II.esp
[5B]     RobotFactionPaint.esp
[5C]     AEWS.esp
[5D]     MsAutomatronPartsCollection.esp
[5E]     AutomatronWheelLegs.esp
[5F]     Black Widow Suit.esp
[60]     Consistent Power Armor Overhaul.esp
[61]     CorpusPraesidium.esp
[62]     ClassicBehemoth.esp
[63]     ChineseStealthSuit.esp
[64]     NAC.esp
[65]     Colt Python.esp
[66]     Eli_ArmourCollection.esp
[67]     Elys - SettlementBuildMaxSize.esp
[68]     EnclaveX02.esp
[69]     Factor.esp
[6A]     P90.esp
[6B]     FatherCompanion.esp
[6C]     GS Lever Action Shotgun.esp
[6D]     AmericaRising-GearOfTheEnclave.esp
[6E]     Journal.esp
[6F]     Journey.esp
[70]     KrissVector.esp
[71]     Krebs.esp
[72]     PIP-Pad.esp
[73]     LooksMenu Customization Compendium.esp
[74]     M1Garand - AWKCR.esp
[75]     MCXREDACTED.esp
[76]     MK18_Deluxe.esp
[77]     MW-Krueger.esp
[78]     MWPP19.esp
[79]     MasterworkArchitectureProject.esp
[7A]     Military Gorka Suit.esp
[7B]     Mosin.esp
[7C]     FOC_NCR_Armors.esp
[7D]     Minutemenoverhaul.esp
[7E]     PAMAP.esp
[7F]     RustBelt Replace.esp
[80]     SanctuaryParts.esp
[81]     SettlementMenuManager.esp
[82]     SurvivalOptions.esp
[83]     ClothingOverhaulSP_XB1_PC.esp
[84]     More Power Armour Mods - Automatron.esp
[85]     WD_44.esp
[86]     WorkshopPack.esp
[87]     M60.esp
[88]     octi_taticaloutfit.esp
[89]     win1897.esp
[8A]     ar500.esp
[8B]     AKM_AKMS.esp
[8C]     rpampas.esp
[8D]     3dscopes-replacer.esp
[8E]     StartMeUp.esp
[8F]     StartMeUpNukaWorldPatch.esp
[FE:000] BerettaM9FS.esl
[FE:001] FOVSlider.esl
[FE:002] Natural Landscapes.esl
[FE:003] SpawnSettlerButton.esl
[FE:004] GTFOB.esl
[FE:005] Cerruti MSV.esl
[FE:006] SavrenX HD Vanilla Clothes Optimized.esp
[FE:007] GeneraloftheArmy.esp
[FE:008] ehtyeci_MPX.esp
[FE:009] XM2010_SniperRifle_by_tooun.esp
[FE:00A] HK416.esp
[FE:00B] jDS__HP_Skull_Mask.esp
[FE:00C] Better Workshop Street Oil Lamps.esp
[FE:00D] CROSS_CoA.esp
[FE:00E] CROSS_CourserStrigidae.esp
[FE:00F] CBBE.esp
[FE:010] Clean Wasteland Workshop.esp
[FE:011] Clean Water - Tropical.esp
[FE:012] CustomCamera.esp
[FE:013] Impervious Power Armour.esp
[FE:014] Danse GTFO Power Armor.esp
[FE:015] Lush Landscapes.esp
[FE:016] DevtacRonin.esp
