XINPUT1_3.dll                 0x000000400000
X3DAudio1_7.dll               0x000065EC0000
steam_api64.dll               0x000065ED0000
MSCTF.dll                     0x0204DA0C0000
Fallout4.exe                  0x7FF768DF0000
nvwgf2umx.dll                 0x7FFA3B430000
nvspcap64.dll                 0x7FFA58840000
nvgpucomp64.dll               0x7FFA65850000
steamclient64.dll             0x7FFA67A40000
DSOUND.DLL                    0x7FFA709F0000
gameoverlayrenderer64.dll     0x7FFA70E70000
Buffout4.dll                  0x7FFA71000000
nvldumdx.dll                  0x7FFA74850000
XDI.dll                       0x7FFA7EFB0000
wsfw_identifier.dll           0x7FFA8C8C0000
TIM.dll                       0x7FFA8C9C0000
PrivateProfileRedirector.dll  0x7FFA8CA20000
PowerGridTools.dll            0x7FFA8CA80000
place.dll                     0x7FFA8CCF0000
NVIDIA_Reflex.dll             0x7FFA905B0000
mcm.dll                       0x7FFA90680000
XAudio2_7.dll                 0x7FFA913E0000
tier0_s64.dll                 0x7FFA91C40000
CONCRT140.dll                 0x7FFA937C0000
Interior-NavCut-Fix.dll       0x7FFA93810000
HighFPSPhysicsFix.dll         0x7FFA93860000
DisableExitSave.dll           0x7FFA94490000
BakaScrapHeap.dll             0x7FFA944E0000
flexRelease_x64.dll           0x7FFA946C0000
f4se_1_10_163.dll             0x7FFA95390000
BetterConsole.dll             0x7FFA955F0000
vstdlib_s64.dll               0x7FFA95660000
MSVCR110.dll                  0x7FFA95720000
crafting_highlight_fix.dll    0x7FFA975D0000
cudart64_75.dll               0x7FFA97620000
GFSDK_GodraysLib.x64.dll      0x7FFAA0F50000
GFSDK_SSAO_D3D11.win64.dll    0x7FFAA1110000
flexExtRelease_x64.dll        0x7FFAA1A40000
MSVCP140.dll                  0x7FFAA1AA0000
VCRUNTIME140.dll              0x7FFAA1B40000
VCRUNTIME140_1.dll            0x7FFAA1B60000
winmmbase.dll                 0x7FFAA9070000
PriorityMod.dll               0x7FFAB1700000
PlotUI.dll                    0x7FFAB2400000
MSVCP110.dll                  0x7FFAB37C0000
bink2w64.dll                  0x7FFAB3950000
f4se_steam_loader.dll         0x7FFAB6750000
WeaponDebrisCrashFix.dll      0x7FFAB89F0000
SprintStutteringFix.dll       0x7FFABA760000
InputHost.dll                 0x7FFABABA0000
OneCoreCommonProxyStub.dll    0x7FFABAFC0000
Windows.UI.dll                0x7FFABB790000
textinputframework.dll        0x7FFABC590000
COMCTL32.dll                  0x7FFAC2B00000
nvToolsExt64_1.dll            0x7FFAC3CE0000
MessageBus.dll                0x7FFAC4730000
nvapi64.dll                   0x7FFAC6140000
igc64.dll                     0x7FFAC8E40000
igdgmm64.dll                  0x7FFACCC10000
IntelControlLib.dll           0x7FFACD050000
drvstore.dll                  0x7FFACD0E0000
igd10um64xe.DLL               0x7FFACD230000
cryptnet.dll                  0x7FFACEB30000
igd10iumd64.dll               0x7FFACEB70000
WINMM.dll                     0x7FFACF5E0000
dxcore.dll                    0x7FFACFBF0000
OneCoreUAPCommonProxyStub.dll 0x7FFAD1F50000
Secur32.dll                   0x7FFAD3AC0000
dhcpcsvc.DLL                  0x7FFAD3B50000
VERSION.dll                   0x7FFAD3B80000
MMDevApi.dll                  0x7FFAD3C40000
AUDIOSES.DLL                  0x7FFAD3CD0000
twinapi.appcore.dll           0x7FFAD4250000
WindowManagementAPI.dll       0x7FFAD4490000
avrt.dll                      0x7FFAD4EE0000
WINHTTP.dll                   0x7FFAD4FD0000
PROPSYS.dll                   0x7FFAD5A50000
wintypes.dll                  0x7FFAD61F0000
d3d11.dll                     0x7FFAD67B0000
dcomp.dll                     0x7FFAD6FE0000
CoreUIComponents.dll          0x7FFAD71D0000
CoreMessaging.dll             0x7FFAD78B0000
apphelp.dll                   0x7FFAD7AF0000
uxtheme.dll                   0x7FFAD7C40000
resourcepolicyclient.dll      0x7FFAD81F0000
dwmapi.dll                    0x7FFAD82F0000
windows.storage.dll           0x7FFAD88A0000
dbghelp.dll                   0x7FFAD9040000
HID.DLL                       0x7FFAD9250000
kernel.appcore.dll            0x7FFAD9260000
dxgi.dll                      0x7FFAD92D0000
rsaenh.dll                    0x7FFAD9A70000
ntmarta.dll                   0x7FFAD9B90000
UMPDC.dll                     0x7FFAD9E50000
IPHLPAPI.DLL                  0x7FFAD9E70000
powrprof.dll                  0x7FFAD9F90000
MSWSOCK.dll                   0x7FFADA1D0000
CRYPTBASE.DLL                 0x7FFADA3C0000
CRYPTSP.dll                   0x7FFADA3D0000
Wldp.dll                      0x7FFADA470000
msasn1.dll                    0x7FFADA600000
devobj.dll                    0x7FFADA7C0000
SSPICLI.DLL                   0x7FFADA910000
profapi.dll                   0x7FFADA960000
KERNELBASE.dll                0x7FFADAA30000
msvcp_win.dll                 0x7FFADAD30000
cfgmgr32.dll                  0x7FFADADD0000
wintrust.dll                  0x7FFADAE20000
ucrtbase.dll                  0x7FFADAE90000
bcryptPrimitives.dll          0x7FFADAF90000
win32u.dll                    0x7FFADB020000
gdi32full.dll                 0x7FFADB100000
bcrypt.dll                    0x7FFADB220000
CRYPT32.dll                   0x7FFADB250000
IMM32.DLL                     0x7FFADB3B0000
KERNEL32.DLL                  0x7FFADB3E0000
shlwapi.dll                   0x7FFADB5C0000
SETUPAPI.dll                  0x7FFADB620000
GDI32.dll                     0x7FFADBA90000
SHELL32.dll                   0x7FFADBB80000
ADVAPI32.dll                  0x7FFADC2D0000
USER32.dll                    0x7FFADC410000
msvcrt.dll                    0x7FFADC5B0000
OLEAUT32.dll                  0x7FFADC660000
PSAPI.DLL                     0x7FFADC730000
imagehlp.dll                  0x7FFADC740000
combase.dll                   0x7FFADC760000
clbcatq.dll                   0x7FFADCB20000
NSI.dll                       0x7FFADCBD0000
sechost.dll                   0x7FFADCD90000
WS2_32.dll                    0x7FFADCE30000
COMDLG32.dll                  0x7FFADCF20000
RPCRT4.dll                    0x7FFADD000000
ole32.dll                     0x7FFADD130000
SHCORE.dll                    0x7FFADD260000
ntdll.dll                     0x7FFADD350000
